Item,Frequency
"살해당했는데 복수하지",20
"There''s an",20
"죽이지 않았으니 말이지",20
"언제나 그런사람이야",20
"보여 줬지",20
"골목에 서있었지",20
"일이 제",20
"삶을 빼앗아 버렸습니다",20
"죽을걸세 표식의 주인을 죽여도",20
"날 원망하지",20
"고마워하게 될 거야",20
"들어가서 문을",20
"대화하고 싶습니다 이렇게 빨리",20
"혼자가 아닐",20
"차는 그냥 차가 아니야",20
"삼 년",20
"너한테 보여줄 게 있어",20
"뉴욕 경찰청에서",20
"세계에서 살고있던 그가",20
"죽음도 내",20
"만약 당신이 산티노를",20
"날카롭게 갈아뒀습니다",20
"같은 소리 하고 자빠졌네",20
"쓰는 것처럼",20
"그녀를 죽였다고",20
"달라요 전",20
"있을때 도망쳤어야지 카모라가",20
"내가 안 가면",20
"보게 됐어",20
"더 편해",20
"만약 또",20
"표식에서 자유로운 그가 뭘",20
"일이 태산이야",20
"무슨 말 하는 거예요",20
"너한테 좋을",20
"나는 그를 본 적이",20
"사람들 대부분은",20
"뭘 준",20
"난 가봐야 해",20
"죽음의 냄새가",20
"다치지 않았어",20
"상관하지 않을",20
"있는 곳인데",20
"원하신다면 개인적으로 맡아드리겠습니다 고맙습니다",20
"나중에 통화해",20
"너희 덕분에",20
"너 때문에 온",20
"같아 자기",20
"하기도 해요",20
"상대가 안 돼요",20
"마무리해야 해",20
"표식은 지켜져야한다 내 생각에",20
"여러분 최고 의원회의",20
"골목에 서있었지 나는 자네가",20
"죽인 거요",20
"테니 그만",20
"하고싶은데요 이걸 보여드리게 되어서",20
"사람들 생각을",20
"부르는 그",20
"기회야 내가",20
"난 저렇게",20
"그냥 해보는",20
"기억 때문에",20
"그 남자들은",20
"빨리 도와줘",20
"원하지 않든",20
"언제나 도망칠수",20
"그러나 너는",20
"너희 인간들은",20
"아주 가까워",20
"구속이지 딴",20
"구속이지 딴 사람 찾아봐",20
"그 남자처럼",20
"너희 회사",20
"애는 여기",20
"구속이지 딴 사람",20
"관리하에 있는 차를 말이지",20
"있는 모두에게 말이지 그래",20
"세군대 있고",20
"것이 나의",20
"있는 모든 사람이",20
"달러 있어요",20
"너 말이",20
"들어가야 합니다",20
"상처 주고 싶지",20
"없애버리면 되지않을까요",20
"너 맘에",20
"사람들 처럼",20
"보안 회사",20
"어디에서 왔습니까",20
"별말을 다",20
"만져도 돼요",20
"상태 좀",20
"좀 찾았나",20
"상태가 너무 안",20
"있는 사람 중에",20
"한 달째",20
"자네좀 보게",20
"있는 이야기입니다 염병할",20
"너 목에 걸린 현상금은",20
"혼내 줄",20
"초 준다",20
"상황 종료",20
"달러는 적은돈이",20
"그녀를 집으로",20
"죽이려고 했다고",20
"너 무슨 짓을",20
"같이 하실래요",20
"상황을 벗어났다고 하는건가",20
"차를 훔쳤지 차를",20
"You haven''t",20
"이게 자네가 동의한거 아닌가",20
"다친 사람이",20
"너 말하는",20
"계산하겠지 어떻게 할건지",20
"can never",20
"넌 경찰이",20
"안 사면",20
"뉴욕도 차지할거고 그리고 너가",20
"나라의 모든",20
"뉴욕도 차지할거고 그리고",20
"상황이 어떤가",20
"상황이 훨씬",20
"있는 우리가",20
"해 주셨으면",20
"차버릴 거야",20
"있는 유일한 사람은",20
"같아 제발",20
"너 뭔",20
"표식 누구한테 줬었는데",20
"오래 살면",20
"있는 유일한 길은",20
"죽인 거잖아",20
"마세요 안녕하세요",20
"택티컬하게 해주십시요",20
"뭘 하든 난",20
"대신 일",20
"새 신분을",20
"있는 일을 하고",20
"운영하고 있지",20
"새 이름",20
"새 일을",20
"원한다면 뭐든지 해주지",20
"넌 나와 가깝던 사람을",20
"사람들은 나한테",20
"있는 제일",20
"인간에 가깝나",20
"낭비하지 않는군",20
"무슨 부탁",20
"너 벌써",20
"쓰고 싶은데",20
"계세요 그",20
"죽인다면 카모라와 최고 의원회가",20
"무슨 사연이",20
"FBI 요원의",20
"코를 곤다",20
"내 방식대로 할",20
"일이야 다 지난",20
"너 사고",20
"새로운 기회를",20
"넌 네 인생을",20
"달리 갈 데가",20
"레프코위츠 뉴욕 주",20
"것 같네요 고마워요",20
"같은 편인",20
"원할 뿐이에요",20
"같아 집에",20
"안토니오 때문이지 자네 현상금이",20
"새로운 시각을 얻으시길",20
"사람들은 어때",20
"다크 아미",20
"순간부터 난",20
"그 때 나는",20
"있는 회사",20
"적은돈이 아니지",20
"can tell you",20
"넌 도망칠 수",20
"넌 도움이 안",20
"사람들은 우리의",20
"새로울 것도",20
"한 말은 다",20
"고마워 맙소사",20
"있는데 거기에",20
"박힐수도 있어요",20
"하나와 개때문에 그놈이 이제",20
"원해 산티노가 업타운을",20
"원해 산티노가 업타운을 장악한다음",20
"샘 키스 마이크 드린젠버그가",20
"없어 당신의",20
"샛어 자네 다시",20
"안전할 것이다",20
"죽일수 있을지",20
"사람들을 구하기",20
"Sherlock Holmes",20
"없어 더는",20
"그럼 안녕히 계세요",20
"깨워서 미안해",20
"내가 요구 할수 있다는걸",20
"자네 건강에 해로울걸세 가격이",20
"수신 양호",20
"죽지 않았다고",20
"차지하겠지 뉴욕도 차지할거고 그리고",20
"죽지 않았습니다",20
"세라믹 방탄판입니다 최첨단",20
"넌 사랑을",20
"그럼 안되지",20
"생각날 거야",20
"생각날 것이다''",20
"있는데 좋은",20
"뉴욕을 장악하길",20
"난 경찰이다",20
"뭘 해야 할까",20
"나는 그사람이 필요해",20
"그녀가 그녀의",20
"죽인다고 해도 너 목에",20
"넌 선을",20
"생각만 했어요",20
"많아요 네",20
"춥니 다",20
"생각에 이 사건은",20
"생각에 이 사건은 최고",20
"죽인다면 카모라와",20
"안토니오 같은",20
"난 할래",20
"안토니오 저택의 원본 지도입니다",20
"a tree",20
"안토니오를 보러 왔소 라운지에서",20
"오래된 거",20
"생각으로 그런건가 산티노",20
"생각으로 그런건가 산티노 드",20
"그 말을 믿지",20
"너 어디 있어",20
"사람들을 보고",20
"원했던 것처럼",20
"이게 정말 좋은",20
"내 방식대로 선택하겠어",20
"얘기 했는데",20
"맞춘 것",20
"그 말이 맞는",20
"어디서 났냐고",20
"넌 알지",20
"하지만 당신은 그",20
"착하지 뭐하는거야",20
"생각을 잘",20
"앉게 나도 이러고싶지 않아",20
"say a",20
"착한 개더군요 맡게",20
"사람들을 위해서요",20
"하퍼 디어링",20
"되면 그렇게",20
"있는지 압니다",20
"때 전화해",20
"미안하네 자네 인생도 끝이구만",20
"원했던 대로",20
"생각이 드는지",20
"어디로 갑니까",20
"생각이 많은",20
"생각이 뭔지",20
"꺼내 자네의",20
"빼내려고 말이야",20
"있는지는 몰라도",20
"같은데 한",20
"안 쓰셔도 돼요",20
"he even",20
"넌 왜 항상",20
"너 없인 아무것도 못할거야",20
"월 마리아를",20
"문 잠그는",20
"있다 갈게",20
"얘기는 한 번도",20
"일 보러",20
"생각하게 된",20
"생각하게 이번",20
"생각하게 이번 역은 브로드",20
"생각하겠냐고 응",20
"another way",20
"그리고 스스로",20
"그 목걸이를",20
"진짜로 궁금한건",20
"몇 건이나",20
"사람들이 가져다",20
"넌 이짓 중독이야 복수말이야",20
"있다 너무",20
"사람들이 가지고",20
"고치면 알려줘 알았어 크리스마스",20
"많은 대화를",20
"사람들이 그러는데",20
"거 우린",20
"가지 지옥으로의 여정은 여기서",20
"걱정 마 잘",20
"있다 아이가",20
"어떤새끼가 그런짓을 할수있어",20
"괜찮을 줄 알았는데",20
"같을 수",20
"느껴 봐요",20
"안 둘 줄",20
"하나 사서",20
"보고 배워요",20
"생각한다면 그건",20
"기억나지도 않는군 그리고 내가",20
"생각할 겨를이",20
"생각할 시간은",20
"생각할수도 있는거 알아 하지만",20
"하지만 확실히 아는",20
