Item,Frequency
전기를 끊어,5
먼저 생각할,5
전기세를 안,5
전기를 이용했다는,5
전까지 거기서,5
먼저 생각했어,5
먼저 생각한,5
전까지 네,5
전까지 내가,5
먼저 선수를 쳐야,5
전까지 다,5
나는 아빠에게,5
나는 아빠를,5
나는 아버지와,5
가장 유명한 사람,5
전까지 무슨,5
전까지 멈추지 않을 겁니다,5
전까지 여기 있었는데,5
먼저 시작하세요,5
먼저 시작하면,5
먼저 시작할,5
전까지 초콜릿 요거트로,5
전까지 할,5
전까지 초콜릿 요거트로 알았잖아,5
전까지 초콜릿,5
나는 아주 좋은,5
나는 아이들이,5
나는 아직도 내,5
전까지는 아직,5
전까지는 어떤,5
전까지는 알,5
전까지는 안 돼,5
먼저 쏘라고,5
전까지는 잘,5
전까지는 여기서,5
전까지는 정말,5
먼저 쐈다고,5
전까지는 확실히,5
나는 아키텍트다,5
나는 아침,5
나는 아직도 그,5
것이라고 했다,5
전까지만 해도 그는,5
전까지요 그래서,5
전까지만 해도 그,5
전까진 걔들이 제일,5
전까진 걔들이 제일 이뻤는데,5
전까진 걔들이,5
먼저 쐈지,5
전까진 괜찮았어,5
전까진 그럴,5
먼저 씻을래,5
나는 악당이,5
전까진 다,5
전까진 모든,5
전까진 모두,5
나는 악마가,5
나는 아프다,5
전까진 아무데도,5
전까진 아무에게도 고마워,5
먼저 알아,5
전까진 아무에게도 고마워 하지,5
먼저 알았어,5
먼저 알려드릴게요,5
전까진 우리가,5
전까진 있었는데,5
전까진 입,5
전까진 우리,5
전까진 한,5
전날 밤에는,5
전까진 할,5
먼저 얘기한,5
먼저 얘기하는 게,5
나는 안할거야,5
나는 아파트에서,5
가장 이상적인,5
전남편과 함께,5
전남편 얘기,5
전날 밤에요,5
전능하신 임모탄,5
전능하신 주님을,5
전능하신 임모탄 님이시다,5
먼저 없애야,5
나는 알 권리가,5
전단지를 보고,5
전능하신 하나님과,5
전달 받았습니다,5
전달 바란다,5
먼저 연락해,5
전달이 가능하더라도,5
전달 장소는,5
먼저 연락한,5
나는 알 수 있었다,5
것이라는 사실을,5
전달이 가능하더라도 머프가 그걸,5
전달하는 거지,5
전달하는 거야,5
전달이 가능하더라도 머프가,5
전달하지 않으면,5
전달하죠 새 명령이다,5
전달한 택배는,5
전달하죠 새,5
먼저 올라가서,5
전달할 뿐이야,5
전달할 방법을,5
전달할 서류가,5
먼저 와 있어,5
나는 알고 있어,5
전달할 수 있습니다,5
전달할 수 있는,5
전달해 줘요,5
전달해 줘,5
나는 알고 있지,5
것이라는 확고한 신념에 젖어,5
것이라는 확고한 신념에,5
가장 이익이 되는,5
가장 이상한 점은,5
전달했을 때 완벽한 것,5
전달했을 때 완벽한,5
전달했을 때,5
전데요 네,5
전동 공구는,5
전당포에 맡긴,5
전당에 오를,5
나는 알아 내려고,5
전두엽 피질,5
전두엽 절제술을,5
전동 휠체어,5
전등을 저 아래,5
전등을 저,5
전등을 저 아래 비춰봐,5
먼저 이곳에,5
먼저 이게,5
먼저 우리를,5
것이며 어떤,5
전략 중,5
전략 같은 거야,5
전략을 쓰는,5
전략을 쓰고,5
전략을 바꿔야 해,5
먼저 일어난,5
먼저 일어나도,5
전략을 짜야 합니다,5
전략이 필요해 조금만 도와줘,5
전략이 필요해 조금만,5
