File,Checked,Kept,Dropped
Korean Ngram list_part_0001.csv,10000,9488,512
Korean Ngram list_part_0002.csv,10000,9570,430
Korean Ngram list_part_0003.csv,10000,9529,471
Korean Ngram list_part_0004.csv,10000,9600,400
Korean Ngram list_part_0005.csv,10000,9575,425
Korean Ngram list_part_0006.csv,10000,9589,411
Korean Ngram list_part_0007.csv,10000,9587,413
Korean Ngram list_part_0008.csv,10000,9581,419
Korean Ngram list_part_0009.csv,10000,9565,435
Korean Ngram list_part_0010.csv,10000,9616,384
Korean Ngram list_part_0011.csv,10000,9598,402
Korean Ngram list_part_0012.csv,10000,9593,407
Korean Ngram list_part_0013.csv,10000,9576,424
Korean Ngram list_part_0014.csv,10000,9574,426
Korean Ngram list_part_0015.csv,10000,9605,395
Korean Ngram list_part_0016.csv,10000,9583,417
Korean Ngram list_part_0017.csv,10000,9671,329
Korean Ngram list_part_0018.csv,10000,9582,418
Korean Ngram list_part_0019.csv,10000,9580,420
Korean Ngram list_part_0020.csv,10000,9588,412
Korean Ngram list_part_0021.csv,10000,9604,396
Korean Ngram list_part_0022.csv,10000,9553,447
Korean Ngram list_part_0023.csv,10000,9527,473
Korean Ngram list_part_0024.csv,10000,9545,455
Korean Ngram list_part_0025.csv,10000,9511,489
Korean Ngram list_part_0026.csv,10000,9547,453
Korean Ngram list_part_0027.csv,10000,9506,494
Korean Ngram list_part_0028.csv,10000,9512,488
Korean Ngram list_part_0029.csv,10000,9600,400
Korean Ngram list_part_0030.csv,10000,9479,521
Korean Ngram list_part_0031.csv,10000,9574,426
Korean Ngram list_part_0032.csv,10000,9651,349
Korean Ngram list_part_0033.csv,10000,9472,528
Korean Ngram list_part_0034.csv,10000,9478,522
Korean Ngram list_part_0035.csv,10000,9589,411
Korean Ngram list_part_0036.csv,10000,9596,404
Korean Ngram list_part_0037.csv,10000,9418,582
Korean Ngram list_part_0038.csv,10000,9456,544
Korean Ngram list_part_0039.csv,10000,9633,367
Korean Ngram list_part_0040.csv,10000,9656,344
Korean Ngram list_part_0041.csv,10000,9525,475
Korean Ngram list_part_0042.csv,10000,9438,562
Korean Ngram list_part_0043.csv,10000,9452,548
Korean Ngram list_part_0044.csv,10000,9658,342
Korean Ngram list_part_0045.csv,10000,9638,362
Korean Ngram list_part_0046.csv,10000,9688,312
Korean Ngram list_part_0047.csv,10000,9488,512
Korean Ngram list_part_0048.csv,10000,9358,642
Korean Ngram list_part_0049.csv,10000,9309,691
Korean Ngram list_part_0050.csv,10000,9565,435
Korean Ngram list_part_0051.csv,10000,9683,317
Korean Ngram list_part_0052.csv,10000,9649,351
Korean Ngram list_part_0053.csv,10000,9670,330
Korean Ngram list_part_0054.csv,10000,9682,318
Korean Ngram list_part_0055.csv,10000,9374,626
Korean Ngram list_part_0056.csv,10000,9378,622
Korean Ngram list_part_0057.csv,10000,9407,593
Korean Ngram list_part_0058.csv,10000,9353,647
Korean Ngram list_part_0059.csv,10000,9609,391
Korean Ngram list_part_0060.csv,10000,9675,325
Korean Ngram list_part_0061.csv,10000,9638,362
Korean Ngram list_part_0062.csv,10000,9697,303
Korean Ngram list_part_0063.csv,10000,9659,341
Korean Ngram list_part_0064.csv,10000,9676,324
Korean Ngram list_part_0065.csv,10000,9631,369
Korean Ngram list_part_0066.csv,10000,9397,603
Korean Ngram list_part_0067.csv,10000,9353,647
Korean Ngram list_part_0068.csv,10000,9391,609
Korean Ngram list_part_0069.csv,10000,9377,623
Korean Ngram list_part_0070.csv,10000,9311,689
Korean Ngram list_part_0071.csv,10000,9398,602
Korean Ngram list_part_0072.csv,10000,9674,326
Korean Ngram list_part_0073.csv,10000,9666,334
Korean Ngram list_part_0074.csv,10000,9676,324
Korean Ngram list_part_0075.csv,10000,9640,360
Korean Ngram list_part_0076.csv,10000,9653,347
Korean Ngram list_part_0077.csv,10000,9669,331
Korean Ngram list_part_0078.csv,10000,9667,333
Korean Ngram list_part_0079.csv,10000,9676,324
Korean Ngram list_part_0080.csv,10000,9689,311
Korean Ngram list_part_0081.csv,10000,9661,339
Korean Ngram list_part_0082.csv,10000,9593,407
Korean Ngram list_part_0083.csv,10000,9292,708
Korean Ngram list_part_0084.csv,10000,9306,694
Korean Ngram list_part_0085.csv,10000,9260,740
Korean Ngram list_part_0086.csv,10000,9243,757
Korean Ngram list_part_0087.csv,10000,9314,686
Korean Ngram list_part_0088.csv,10000,9243,757
Korean Ngram list_part_0089.csv,10000,9267,733
Korean Ngram list_part_0090.csv,10000,9266,734
Korean Ngram list_part_0091.csv,10000,9317,683
Korean Ngram list_part_0092.csv,10000,9571,429
Korean Ngram list_part_0093.csv,10000,9643,357
Korean Ngram list_part_0094.csv,10000,9624,376
Korean Ngram list_part_0095.csv,10000,9596,404
Korean Ngram list_part_0096.csv,10000,9615,385
Korean Ngram list_part_0097.csv,10000,9605,395
Korean Ngram list_part_0098.csv,10000,9619,381
Korean Ngram list_part_0099.csv,10000,9615,385
Korean Ngram list_part_0100.csv,10000,9627,373
Korean Ngram list_part_0101.csv,10000,9613,387
Korean Ngram list_part_0102.csv,10000,9611,389
Korean Ngram list_part_0103.csv,10000,9636,364
Korean Ngram list_part_0104.csv,10000,9611,389
Korean Ngram list_part_0105.csv,10000,9663,337
Korean Ngram list_part_0106.csv,10000,9589,411
Korean Ngram list_part_0107.csv,10000,9605,395
Korean Ngram list_part_0108.csv,295,278,17
