Item,Frequency
"왜 갖고 있죠",8
"미쳐 돌아가고 있어",8
"말아야 할 건",8
"말아야 할 걸",8
"말아야 할 게",8
"말아야 할 때를",8
"말아야 할 선을",8
"끄는 데",8
"말아야 할텐데",8
"있을 것이다 네",8
"있을 것이다''",8
"He''ll be fine",8
"처음 들어봤어",8
"있을 경우에",8
"가스 마스크",8
"끈 거야",8
"것 너를",8
"끈 다음",8
"끈 묶는",8
"가스 마신",8
"좋아해요 어릴",8
"a member",8
"미쳐버릴 거예요",8
"가스 불",8
"있을 때 실컷",8
"있을 때 왜",8
"있을 때 제가",8
"있을 때 해야",8
"되는 생각을",8
"있을 때가 더",8
"말아요 어떻게",8
"있을 때라",8
"있을 때와",8
"끊고 나서",8
"있을 리 없어요",8
"끊고 싶지",8
"말아요 잘",8
"끊고 싶어",8
"계속 시도해",8
"갇혀 있네",8
"a member of",8
"있을 사람이 아니야",8
"있을 수 없다고",8
"그렇게 보이지 않아",8
"말았어야 한다고",8
"있을 수 있겠어요",8
"있을 수 있는 居場所",8
"있을 수 있는 일이죠",8
"있을 수 있는데",8
"있을 수가 없었다",8
"끊어 봐",8
"있을 수는 없지",8
"있을 수도 없어",8
"미쳤어 그",8
"말야 그녀는",8
"끊어 주세요",8
"왜 계획을",8
"있을 수도 있으니까",8
"거 같아요 그러니까",8
"있을 순 없잖아요",8
"왜 계속 웃는",8
"있을 여유가",8
"있을 이유는",8
"왜 관심",8
"좋아했으면 좋겠다",8
"있을 자격이 없어",8
"있을 자리는",8
"한다 네 잘못을",8
"있을 줄 알았거든",8
"있을 줄은 몰랐어",8
"말야 다시",8
"가스 폭발",8
"처음 뵙는데",8
"있을 터",8
"말야 맞아",8
"있을 테니까 필요하면",8
"말야 모두",8
"있을 텐가",8
"있을 텐데 넌",8
"있을 텐데 말이야",8
"말야 미안해",8
"끊었나 봐요",8
"있을 필요는 없어",8
"a mighty",8
"말야 아냐",8
"있을거 같은데요",8
"처음 시작했을 때는",8
"있을거라 생각했어요",8
"있을거라고 생각하지",8
"것 마치",8
"가스가 새는",8
"것 만으로",8
"말야 어쩌면",8
"처음 쓰는",8
"있을거야 이게",8
"것 만은",8
"있을것 같군요",8
"처음 오셨나요",8
"있을게 고마워",8
"있을게 나도",8
"왜 그건",8
"있을게 안녕",8
"끊을 수 있는",8
"말야 이젠",8
"끊을게 그래",8
"있을수도 있고",8
"있을수록 더",8
"끊이지 않고",8
"있을지 누가 알아",8
"말에 관심",8
"날 못 믿나",8
"Bee Gees",8
"가스로 된",8
"말에 대답이나 해",8
"것 말이야 나는",8
"말에 더",8
"끊지 마라",8
"말에 동의한다",8
"있을지는 모르겠어요",8
"있을지도 모르겠네",8
"말에 따라야",8
"있을지도 모르고요",8
"끊지 않고",8
"처음도 아닐",8
"것 말이오",8
"있을지도 모른대요",8
"있을지도 몰라 나는",8
"있을지도 몰라 그럼",8
"말에 어떻게",8
"끌 것",8
"끌 게",8
"말에 전적으로",8
"말에 책임질",8
"말에 탄",8
"날 못 쏴",8
"있음을 알고",8
"있음을 압니다",8
"있잖니 그게",8
"말은 결국",8
"know how you do",8
"말은 고맙지만 난",8
"되는 줄 알았는데",8
"있잖아 가자",8
"끌 필요",8
"있잖아 그것도",8
"있잖아 그들은",8
"말은 그게 아냐",8
"말은 그게 다예요",8
"말은 그게 아니고",8
"말은 그게 아니야 내가",8
"끌고 가겠다",8
"a model",8
"있잖아 나랑",8
"끌고 가는 것을",8
"끌고 가는 것을 봤어요",8
"말은 그를",8
"되는 줄 알았어요",8
"있잖아 니가",8
"있잖아 당신의",8
"있잖아 당연히",8
"끌고 가자",8
"있잖아 둘이",8
"있잖아 며칠",8
"know if he",8
"말은 너도",8
"있잖아 빨리",8
"있잖아 생각해",8
"있잖아 시간이",8
"있잖아 솔직히",8
"끌고 갔다고",8
"있잖아 아무것도",8
"한다고 당신이",8
"있잖아 어젯밤",8
"있잖아 여기가",8
"말은 당신의",8
"처음에는 그",8
"말은 도움이 안",8
"끌고 나와서",8
"계속 알려줘요",8
"것 방금",8
"있잖아 이미",8
"되는게 아냐",8
"미친 녀석",8
"시간에 이",8
"있잖아 전부",8
"있잖아 좋아요",8
"못 받는 거야",8
"말은 딱",8
"되는데 굳이",8
"끌고 싶은",8
"있잖아요 고마워요",8
"끌고 싶지",8
"끌고 오기",8
"말은 맞는",8
"말은 못 들은 걸로",8
"있잖아요 다들",8
"말은 무시하세요",8
"말은 무엇이든",8
"가슴 속의",8
"말은 믿기",8
"끌고 왔는지",8
"있잖아요 바로",8
"처음으로 네가",8
"끌고 왔다고",8
"있잖아요 아버지",8
"말은 바로 해야죠",8
"있잖아요 어제",8
"보내라고 하지",8
"있잖아요 오",8
"말은 법정에서 불리하게 사용될",8
"왜 그러시나",8
"말은 분명히",8
"말은 사실입니다",8
"끌고 팔꿈치가",8
"끌고 팔꿈치가 허리를",8
"있잖아요 좋아요",8
"처음은 아니겠지",8
"있죠 가장",8
"있죠 거기서",8
"끌려고 한",8
"있죠 괜찮아요",8
"am sure",8
"끌려는 거야",8
"처음은 있는",8
"미친 사람을",8
"know it''s true",8
"있죠 그를",8
"말은 안 돼",8
"말은 안 믿어",8
"말은 안 하죠",8
"있죠 둘 다",8
"말은 안 했습니다",8
"있죠 또한",8
"말은 안 했죠",8
"있죠 많은",8
"있죠 매일",8
"처음이야 이렇게",8
"know just how",8
"있죠 미안해요",8
"것 뿐이야 그래서",8
"날 미치게 만들었어",8
"있죠 아무도",8
"것 뿐이야 네",8
"있죠 알겠어요",8
"있죠 안녕",8
"말은 왜 해",8
"말은 완전히",8
"끌어내는 거야",8
"있죠 어떡하죠",8
"가슴 엄청",8
"있죠 엄청난",8
"know just what you",8
"한다고 제가",8
"있죠 예를 들면",8
"있죠 우리 모두",8
"내 최초의",8
"말은 이제 안",8
"말은 자네가",8
"끌어낼 수 있는",8
"끌어낼 수 있을",8
"있죠 이번엔",8
"있죠 이해가",8
"있죠 자기",8
"가슴 태워",8
"있죠 절",8
"끌어들이고 싶지 않아",8
"있죠 젠장",8
"가슴 털",8
"있죠 참",8
"말은 지키는",8
"있죠 하나",8
"처해질 것이다",8
"처해 있다고",8
"있죠 한번",8
"처형 해",8
"있지 계속",8
"있지 그녀는",8
"말은 하지 말아요",8
"있지 그렇군",8
"있지 그렇다고",8
"Baby got",8
"있지 난 그런",8
"있지 난 네",8
"척 버드",8
"끌어들일 수는",8
"왜 그런지 설명이",8
"있지 다음",8
"있지 대체",8
"미친 할망구",8
"척 연기할",8
"날 믿니",8
"말을 가려",8
"있지 말고요",8
"know one thing",8
"있지 맙소사",8
"있지 맞아요",8
"있지 못해서",8
"있지 못했을",8
"있지 아무튼",8
"a move",8
"있지 안 돼",8
"것 아니죠",8
"있지 않게",8
"말을 걸었을",8
"있지 않고서야",8
"있지 않기 때문이다",8
"있지 않다면요",8
"know right now",8
"가슴속에 있으니까 決して散ることはない",8
"되는지 모르겠는데",8
"척 했죠",8
"있지 않았겠지",8
"가슴속에 있으니까 決して散ることはない 결코",8
"있지 않았습니까",8
"있지 않았으면",8
"것 아닙니다",8
"말을 꺼내기가",8
"있지 않으냐",8
"말을 꺼내지",8
"말을 꺼내야 할지",8
"know she",8
"끔찍한 계획이야",8
"것 아주",8
"있지 어제",8
"있지 엄마가",8
"It''s good to",8
"것 안녕",8
"날 믿어도 되",8
"있지 응",8
"미칠 수 있어",8
"말을 두",8
"말을 듣게 되어 유감이에요",8
"말을 듣겠어",8
"있지 젠장",8
"것 알아요 하지만",8
"척하는 게 아니라",8
"있지 특히",8
"끔찍한 사건을",8
"말을 듣는 게 좋을",8
"끔찍한 사건의",8
"끔찍한 사고",8
"말을 듣자",8
"있지도 않았는데",8
"끔찍한 사람이야",8
"있지도 않은데",8
"있지만 가장",8
"끔찍한 상황에",8
"있지만 그러지",8
"말을 들어보면",8
"끔찍한 선택을",8
"천 개쯤",8
"있지만 다음",8
"것 얼마나",8
"있지만 많은",8
"있지만 신은 가까이",8
"있지만 아닐",8
"있지만 아직은",8
"있지만 어쨌든",8
"끔찍한 악몽을",8
"끔찍한 악몽이",8
"있지만 이번",8
"있지만 일단",8
"말을 들으니 정말",8
"말을 들으실",8
"있지요 제가",8
"좋은 감정",8
"말을 들을 거예요",8
"있진 않을까",8
"있진 않잖아요",8
"있질 않아",8
"말을 들을 수 있어",8
"말을 들을까",8
"천 만",8
"천 명에",8
"끔찍한 일을 많이",8
"잊고 사는",8
"말을 똑같이",8
"a n",8
"되니까 이제",8
"왜 그쪽",8
"잊고 있었죠",8
"끔찍한 일이 일어난",8
"끔찍한 일이 일어났어",8
"말을 못 들은",8
"잊는 건",8
"잊는 법이",8
"말을 못 알아들어",8
"잊어 난",8
"잊어 버렸다",8
"끔찍한 일이었어",8
"잊어버려 그",8
"가슴에 화살을",8
"잊어버렸나 봐요",8
"잊어버린 건",8
"끔찍한 잘못을",8
"말을 믿느냐",8
"끔찍한 줄리안",8
"끔찍한 짓은",8
"것 왜냐하면",8
"천국 갈",8
"되다 넌",8
"왜 나 한테 말",8
"되다니 난",8
"잊은 거죠",8
"말을 믿어줄",8
"잊은 것이냐",8
"천국에 계신",8
"날 믿지 않았어요",8
"잊은 채",8
"잊을 리",8
"끔찍할 거예요",8
"잊을 수 있다",8
"말을 바꾼",8
"말을 바꿔",8
"한다면 어떤",8
"잊을까 봐",8
"말을 받아",8
"것 위에",8
"말을 별로 안",8
"잊지 마 넌",8
"잊지 마 잊지",8
"왜 나오지",8
"잊지 마시고",8
"말을 쉬게",8
"왜 나와있어",8
"말을 신경",8
"말을 써서",8
"왜 나일까",8
"He''s dead",8
"잊지 말자고",8
"말을 쓸",8
"말을 아끼는",8
"잊지 못",8
"잊지 않겠다고",8
"잊지 않겠소",8
"잊지 않겠어요",8
"잊지 않겠어",8
"말을 안 듣더라",8
"잊지 않을 것입니다",8
"잊지 않죠",8
"자 가서",8
"민 학장이",8
"말을 안 믿죠",8
"천만 달러 상당의",8
"것 이상",8
"끝까지 가고",8
"자 됐어요",8
"자 들어봐",8
"끝까지 가서",8
"말을 안 해서 그렇지",8
"자 말이야",8
"자 말해봐",8
"자 모두를",8
"계속 울어",8
"천만 번",8
"끝까지 감출 수 있다고",8
"끝까지 감출 수",8
"말을 안해서",8
"자 안 돼",8
"말을 알고",8
"끝까지 그",8
"민간인이 있다",8
"자 여기에",8
"자 여깄다",8
"말을 어찌",8
"계속 움직여라",8
"것 이외에",8
"자 이런",8
"말을 왜 그렇게 해",8
"자 이제 가자",8
"It''s him",8
"끝까지 당신을",8
"민들레 철도",8
"자 잠깐만",8
"자 전",8
"관여하는 게",8
"갑시다 빨리",8
"It''s his",8
"말을 입",8
"자 한번",8
"자가 아닙니다",8
"자가 어디",8
"자가 어떻게",8
"끝까지 물고",8
"자가 있었어",8
"천상의 우레",8
"말을 전한다",8
"자가 치유",8
"천사인 줄",8
"자게 내버려",8
"끝까지 보고",8
"갇힌 거지",8
"끝까지 봐야 해",8
"자격 있죠",8
"know we''re not",8
"자격을 박탈하고",8
"말을 하게 될 줄이야",8
"자격이 없는 거야",8
"것 자체는",8
"시간을 보내고 있었다",8
"자격이 있는 건",8
"날 밝는 대로",8
"말을 하고 있었는지",8
"천천히 갑시다",8
"자격이 있어 네",8
"가슴이 미어질",8
"천천히 그리고",8
"천천히 날",8
"갖고 노는 건",8
"것 적어도",8
"자고 난",8
"말을 하는 건지 모르겠어",8
"되돌아 오는",8
"자고 싶었어",8
"자고 여기서",8
"자고 와",8
"말을 하는지 모르겠네요",8
"자고 있었던",8
"말을 하다니 믿을 수",8
"말을 하더라고",8
"왜 내가 너한테",8
"자고 있을 거예요",8
"확실히 가지고",8
