Item,Frequency,Formal_IPA,Casual_IPA
해요 그건 만,5,[hɛ.jo.kɯ.kʌn.man],[hɛ.jo.gɯ.gʌn.man]
해요 그건 좀,5,[hɛ.jo.kɯ.kʌn.tʃom],[hɛ.jo.gɯ.gʌn.dʒom]
볼 가능성이,5,[pol.ka.nɯŋ.sʌŋ.i],[bol.ga.nɯŋ.sʌŋ.i]
본질에 대해서,5,[pon.tʃil.e.tɛ.hɛ.sʌ],[bon.tʃil.e.dɛ.hɛ.sʌ]
본지 몇,5,[pon.tʃi.mjʌt̚],[bon.tʃi.mjʌt̚]
갔죠 아주,5,[kat̚.tʃjo.a.tʃu],[gat̚.tʃjo.a.dʒu]
해요 그게 우리가,5,[hɛ.jo.kɯ.ke.u.ɾi.ka],[hɛ.jo.gɯ.ge.u.ɾi.ga]
해요 그게 바로,5,[hɛ.jo.kɯ.ke.pa.ɾo],[hɛ.jo.gɯ.ge.ba.ɾo]
해요 그걸로,5,[hɛ.jo.kɯ.kʌl.ɾo],[hɛ.jo.gɯ.gʌl.ɾo]
해요 그들도,5,[hɛ.jo.kɯ.tɯl.to],[hɛ.jo.gɯ.dɯl.to]
볼 거 없어요,5,[pol.kʌ.ʌp̚.ʌ.jo],[bol.gʌ.ʌp̚.ʌ.jo]
해요 그래서요,5,[hɛ.jo.kɯ.ɾɛ.sʌ.jo],[hɛ.jo.gɯ.ɾɛ.sʌ.jo]
내가 떠나라고,5,[nɛ.ka.t͈ʌ.na.ɾa.ko],[nɛ.ga.t͈ʌ.na.ɾa.go]
내가 떠나길 바라는,5,[nɛ.ka.t͈ʌ.na.kil.pa.ɾa.nɯn],[nɛ.ga.t͈ʌ.na.gil.ba.ɾa.nɯn]
해요 그러다가,5,[hɛ.jo.kɯ.ɾʌ.ta.ka],[hɛ.jo.gɯ.ɾʌ.da.ga]
볼 거라곤,5,[pol.kʌ.ɾa.kon],[bol.gʌ.ɾa.gon]
해요 그런 걸,5,[hɛ.jo.kɯ.ɾʌŋ.kʌl],[hɛ.jo.gɯ.ɾʌn.gʌl]
해요 그런 건,5,[hɛ.jo.kɯ.ɾʌŋ.kʌn],[hɛ.jo.gɯ.ɾʌn.gʌn]
볼 거라고요,5,[pol.kʌ.ɾa.ko.jo],[bol.gʌ.ɾa.go.jo]
해요 그럴 필요 없어,5,[hɛ.jo.kɯ.ɾʌl.pʰil.jo.ʌp̚.ʌ],[hɛ.jo.gɯ.ɾʌl.pʰil.jo.ʌp̚.ʌ]
볼 거야 그런,5,[pol.kʌ.ja.kɯ.ɾʌn],[bol.gʌ.ja.gɯ.ɾʌn]
볼 거야 그래,5,[pol.kʌ.ja.kɯ.ɾɛ],[bol.gʌ.ja.gɯ.ɾɛ]
볼 거야 그건,5,[pol.kʌ.ja.kɯ.kʌn],[bol.gʌ.ja.gɯ.gʌn]
해요 그렇게는,5,[hɛ.jo.kɯ.ɾʌt̚.ke.nɯn],[hɛ.jo.gɯ.ɾʌt̚.ke.nɯn]
볼 거야 그리고,5,[pol.kʌ.ja.kɯ.ɾi.ko],[bol.gʌ.ja.gɯ.ɾi.go]
볼 거야 그런 다음,5,[pol.kʌ.ja.kɯ.ɾʌn.ta.ɯm],[bol.gʌ.ja.gɯ.ɾʌn.da.ɯm]
공포를 느꼈다는,5,[kom.pʰo.ɾɯl.lɯ.k͈jʌt̚.ta.nɯn],[gom.pʰo.ɾɯl.lɯ.k͈jʌt̚.ta.nɯn]
공포로 몰아넣고,5,[kom.pʰo.ɾo.mol.a.nʌt̚.ko],[gom.pʰo.ɾo.mol.a.nʌt̚.ko]
공포로 가득하니,5,[kom.pʰo.ɾo.ka.tɯk̚.ha.ni],[gom.pʰo.ɾo.ga.dɯk̚.ha.ni]
갔죠 난,5,[kat̚.tʃjo.nan],[gat̚.tʃjo.nan]
because he doesn''t know,5,,
because I''m not,5,,
해요 그리고 나서,5,[hɛ.jo.kɯ.ɾi.ko.na.sʌ],[hɛ.jo.gɯ.ɾi.go.na.sʌ]
해요 그리고 그,5,[hɛ.jo.kɯ.ɾi.ko.kɯ],[hɛ.jo.gɯ.ɾi.go.gɯ]
볼 거야 안,5,[pol.kʌ.ja.an],[bol.gʌ.ja.an]
해요 그만해요,5,[hɛ.jo.kɯ.man.hɛ.jo],[hɛ.jo.gɯ.man.hɛ.jo]
