Order Number,Item,Pinyin,Frequency
1,一 个,yi1   ge4,2597
4,了 一,le   yi1,1293
7,是 一,shi4   yi1,685
8,的 一,de   yi1,651
11,有 一,you3   yi1,560
13,一 只,yi1   zhi3,553
20,着 一,zhe   yi1,492
32,一 声,yi1   sheng1,422
51,一 种,yi1   zhong3,349
56,一 条,yi1   tiao2,330
70,是 一 个,shi4   yi1   ge4,277
74,一 把,yi1   ba3,269
76,了 一 个,le   yi1   ge4,258
85,了 一下,le   yi1 xia4,241
93,一 次,yi1   ci4,221
96,一 大,yi1   da4,220
108,在 一,zai4   yi1,206
115,一 张,yi1   zhang1,195
117,一 个 人,yi1   ge4   ren2,192
118,另 一,ling4   yi1,190
122,一 阵,yi1   zhen4,187
125,有 一 个,you3   yi1   ge4,186
132,一 片,yi1   pian4,180
134,一 家,yi1   jia1,179
138,一 件,yi1   jian4,177
145,这 一,zhe4   yi1,170
155,一 眼,yi1   yan3,165
161,他 一,ta1   yi1,162
168,一 句,yi1   ju4,159
179,一 道,yi1   dao4,153
197,的 一 个,de   yi1   ge4,144
204,一 根,yi1   gen1,142
225,一 口,yi1   kou3,134
233,一 块,yi1   kuai4,130
246,那 一,na4   yi1,125
266,一 头,yi1   tou2,118
268,像 一,xiang4   yi1,118
281,一 位,yi1   wei4,114
283,最后 一,zui4 hou4   yi1,114
291,一 天,yi1   tian1,112
303,一 副,yi1   fu4,109
330,了 一 声,le   yi1   sheng1,102
340,一直 在,yi4 zhi2   zai4,101
343,了 一些,le   yi1 xie1,100
344,着 一 个,zhe   yi1   ge4,100
363,一 点,yi1   dian3,95
372,哈利 一,ha1 li4   yi1,93
393,每 一,mei3   yi1,90
395,了 一 口,le   yi1   kou3,90
399,把 一,ba3   yi1,89
403,又 一,you4   yi1,89
417,在 一起,zai4   yi4 qi3,87
424,和 一,he2   yi1,85
428,一 股,yi1   gu3,85
432,还 有 一,hai2   you3   yi1,85
433,第一 次,di4 yi1   ci4,85
453,一 遍,yi1   bian4,83
491,一切 都,yi1 qie4   dou1,79
494,第一 个,di4 yi1   ge4,79
499,发出 一,fa1 chu1   yi1,78
502,一 大 堆,yi1   da4   dui1,78
538,是 一 种,shi4   yi1   zhong3,74
552,过 一,guo4   yi1,73
562,这 是 一,zhe4   shi4   yi1,72
565,一 本,yi1   ben3,71
585,的 一 声,de   yi1   sheng1,70
600,了 一 眼,le   yi1   yan3,68
603,一 边,yi1   bian1,68
618,一 双,yi1   shuang1,67
630,的 第一,de   di4 yi1,66
635,这 一 点,zhe4   yi1   dian3,66
647,一 场,yi1   chang3,64
680,一 只 手,yi1   zhi3   shou3,62
682,了 一 句,le   yi1   ju4,62
715,一 封,yi1   feng1,61
720,一 年,yi1   nian2,60
724,我 一直,wo3   yi4 zhi2,60
725,一 扇,yi1   shan4,60
737,德思礼 一,de2 si1 li3   yi1,59
747,没有 一,mei2 you3   yi1,59
749,德思礼 一 家,de2 si1 li3   yi1   jia1,59
757,用 一,yong4   yi1,59
763,传来 一,chuan2 lai2   yi1,58
764,一 年级,yi1   nian2 ji2,58
774,一 份,yi1   fen4,58
794,在 一 个,zai4   yi1   ge4,57
802,一 步,yi1   bu4,57
807,我 一,wo3   yi1,56
812,一 段,yi1   duan4,56
820,一 丝,yi1   si1,56
824,一定 是,yi2 ding4   shi4,56
855,了 一 大,le   yi1   da4,54
858,一 口 气,yi1   kou3   qi4,54
862,另 一 个,ling4   yi1   ge4,54
878,一 个 大,yi1   ge4   da4,53
890,一点儿 也,yi4 dian3 er2   ye3,53
892,的 一切,de   yi1 qie4,53
907,发出 一 声,fa1 chu1   yi1   sheng1,52
931,一 间,yi1   jian1,51
942,一 跳,yi1   tiao4,51
957,看见 一,kan4 jian4   yi1,50
986,出 一,chu1   yi1,50
1006,下 一,xia4   yi1,49
1037,一 看,yi1   kan4,48
1043,你 一,ni3   yi1,48
1044,说 一,shuo1   yi1,48
1069,的 每 一,de   mei3   yi1,47
1075,只 有 一,zhi3   you3   yi1,47
1087,一点儿 也 不,yi4 dian3 er2   ye3   bu4,46
1096,了 一 口 气,le   yi1   kou3   qi4,46
1106,说 了 一,shuo1   le   yi1,45
1128,有 一 种,you3   yi1   zhong3,45
1137,一起 去,yi4 qi3   qu4,44
1143,一 堆,yi1   dui1,44
1153,一边 把,yi1 bian1   ba3,44
1163,了 一 种,le   yi1   zhong3,44
1168,又 一 次,you4   yi1   ci4,44
1172,了 一 遍,le   yi1   bian4,44
1173,一 个 很,yi1   ge4   hen3,44
1182,了 一会儿,le   yi1 hui4 er,43
1187,的 另 一,de   ling4   yi1,43
1192,一 群,yi1   qun2,43
1200,有 一些,you3   yi1 xie1,43
1211,一 团,yi1   tuan2,42
1220,一 对,yi1   dui4,42
1236,掏出 一,tao1 chu1   yi1,42
1238,就 一直,jiu4   yi4 zhi2,42
1275,不 是 一,bu4   shi4   yi1,41
1280,了 一 只,le   yi1   zhi3,41
1281,一 套,yi1   tao4,41
1325,被 一,bei4   yi1,40
1331,她 一,ta1   yi1,39
1338,一 顶,yi1   ding3,39
1387,的 那 一,de   na4   yi1,38
1393,上 一,shang4   yi1,38
1400,一 句 话,yi1   ju4   hua4,38
1404,一 把 抓住,yi1   ba3   zhua1 zhu4,38
1411,一 封 信,yi1   feng1   xin4,38
1420,一 辆,yi1   liang4,38
1425,这 一切,zhe4   yi1 qie4,38
1426,一 只 猫头鹰,yi1   zhi3   mao1 tou2 ying1,38
1427,这 是 一 个,zhe4   shi4   yi1   ge4,38
1452,的 最后 一,de   zui4 hou4   yi1,37
1453,一 支,yi1   zhi1,37
1460,从 一,cong2   yi1,37
1462,另 一 边,ling4   yi1   bian1,37
1467,一 个 小,yi1   ge4   xiao3,37
1480,变成 了 一,bian4 cheng2   le   yi1,37
1488,没有 一 个,mei2 you3   yi1   ge4,37
1510,上 的 一,shang4   de   yi1,36
1539,一 棵,yi1   ke1,36
1541,一 分钟,yi1   fen1 zhong1,36
1543,那 是 一,na4   shi4   yi1,36
1550,还 有 一 个,hai2   you3   yi1   ge4,35
1577,着 一 只,zhe   yi1   zhi3,35
1586,一 看见,yi1   kan4 jian4,35
1592,他 一 个,ta1   yi1   ge4,35
1595,他们 一,ta1 men   yi1,35
1596,一 座,yi1   zuo4,35
1613,一边 说,yi1 bian1   shuo1,34
1620,了 一 件,le   yi1   jian4,34
1624,另外 一,ling4 wai4   yi1,34
1631,一 杯,yi1   bei1,34
1635,不 一样,bu4   yi1 yang4,34
1640,的 一 只,de   yi1   zhi3,34
1643,是 一 条,shi4   yi1   tiao2,34
1661,一 小,yi1   xiao3,33
1662,他 一直,ta1   yi4 zhi2,33
1678,一动不动 地,yi1 dong4 bu4 dong4   di4,33
1692,里 一,li3   yi1,33
1700,穿 着 一,chuan1   zhe   yi1,33
1715,一 年级 新生,yi1   nian2 ji2   xin1 sheng1,32
1726,一 个 声音,yi1   ge4   sheng1 yin1,32
1727,有 一 只,you3   yi1   zhi3,32
1744,变成 一,bian4 cheng2   yi1,32
1753,这样 一,zhe4 yang4   yi1,32
1760,一定 要,yi2 ding4   yao4,32
1773,露出 一,lu4 chu1   yi1,31
1776,最后 一 个,zui4 hou4   yi1   ge4,31
1786,了 一 条,le   yi1   tiao2,31
1845,一 个 个,yi1   ge4   ge4,30
1854,的 是 一,de   shi4   yi1,30
1864,一 个 字,yi1   ge4   zi4,30
1865,一 小时,yi1   xiao3 shi2,30
1870,第一 个 项目,di4 yi1   ge4   xiang4 mu4,30
1872,着 一 件,zhe   yi1   jian4,30
1886,一 层,yi1   ceng2,30
1903,前 一,qian2   yi1,30
1912,着 一 条,zhe   yi1   tiao2,30
1937,伸出 一,shen1 chu1   yi1,29
1956,一 个 月,yi1   ge4   yue4,29
1957,又 是 一,you4   shi4   yi1,29
2012,吓 了 一,xia4   le   yi1,28
2015,唯一 的,wei2 yi1   de,28
2023,一 名,yi1   ming2,28
2024,一 个 星期,yi1   ge4   xing1 qi1,28
2070,不 是 一 个,bu4   shi4   yi1   ge4,28
2074,只 是 一,zhi3   shi4   yi1,28
2104,同 一,tong2   yi1,27
2131,着 一 张,zhe   yi1   zhang1,27
2164,带 着 一,dai4   zhe   yi1,27
2173,一 顿,yi1   dun4,27
2175,一定 会,yi2 ding4   hui4,27
2176,了 一 跳,le   yi1   tiao4,27
2179,每 一 个,mei3   yi1   ge4,27
2180,扫 了 一,sao3   le   yi1,27
2190,过 一 个,guo4   yi1   ge4,27
2193,吓 了 一 跳,xia4   le   yi1   tiao4,27
2194,一 两,yi1   liang3,27
2210,看见 一 个,kan4 jian4   yi1   ge4,26
2216,到 一,dao4   yi1,26
2226,其中 一,qi2 zhong1   yi1,26
2259,了 他 一,le   ta1   yi1,26
2267,一 眨眼,yi1   zha3 yan3,26
2272,吸 了 一,xi1   le   yi1,26
2277,在 一 片,zai4   yi1   pian4,26
2279,一 脸,yi1   lian3,26
2321,像 是 一,xiang4   shi4   yi1,25
2322,有 一 次,you3   yi1   ci4,25
2335,一 大 群,yi1   da4   qun2,25
2354,举起 一,ju3 qi3   yi1,25
2358,一般 的,yi4 ban1   de,25
2382,整整 一,zheng3 zheng3   yi1,25
2395,一 个 巫师,yi1   ge4   wu1 shi1,25
2402,找 一,zhao3   yi1,25
2417,是 一 件,shi4   yi1   jian4,25
2439,扫 了 一 眼,sao3   le   yi1   yan3,24
2460,另 一 只,ling4   yi1   zhi3,24
2461,一直 没有,yi4 zhi2   mei2 you3,24
2462,的 一 把,de   yi1   ba3,24
2465,着 一 种,zhe   yi1   zhong3,24
2476,他 一边,ta1   yi1 bian1,24
2479,说 一 句,shuo1   yi1   ju4,24
2487,的 一些,de   yi1 xie1,24
2493,拿 着 一,na2   zhe   yi1,24
2494,着 一些,zhe   yi1 xie1,24
2497,像 一 个,xiang4   yi1   ge4,24
2505,在 一旁,zai4   yi1 pang2,24
2507,吸 了 一 口,xi1   le   yi1   kou3,24
2526,里 有 一,li3   you3   yi1,24
2536,随着 一,sui2 zhe   yi1,24
2567,一 排,yi1   pai2,23
2571,是 一 只,shi4   yi1   zhi3,23
2578,一下子 就,yi1 xia4 zi   jiu4,23
2584,一 个 小时,yi1   ge4   xiao3 shi2,23
2586,真 是 一,zhen1   shi4   yi1,23
2588,一 扇 门,yi1   shan4   men2,23
2610,出现 了 一,chu1 xian4   le   yi1,23
2611,把 一 只,ba3   yi1   zhi3,23
2614,说 了 一 句,shuo1   le   yi1   ju4,23
2638,一 把 椅子,yi1   ba3   yi3 zi,23
2657,一 条 火龙,yi1   tiao2   huo3 long2,23
2687,一样 的,yi1 yang4   de,23
2694,一 星期,yi1   xing1 qi1,23
2697,一 笑,yi1   xiao4,23
2702,往常 一样,wang3 chang2   yi1 yang4,23
2718,只 有 一 个,zhi3   you3   yi1   ge4,23
2737,一 番,yi1   fan1,22
2738,着 一 大,zhe   yi1   da4,22
2772,的 一 张,de   yi1   zhang1,22
2780,一 件 事,yi1   jian4   shi4,22
2821,就 像 一,jiu4   xiang4   yi1,22
2840,穿 着 一 件,chuan1   zhe   yi1   jian4,22
2874,看 了 一,kan4   le   yi1,22
2875,传来 一 阵,chuan2 lai2   yi1   zhen4,22
2904,一 圈,yi1   quan1,21
2948,买 一,mai3   yi1,21
2954,了 一 道,le   yi1   dao4,21
2957,一边 用,yi1 bian1   yong4,21
2981,的 一 条,de   yi1   tiao2,21
2984,人 一,ren2   yi1,21
2994,一 屁股,yi1   pi4 gu3,21
3021,一眼 就,yi1 yan3   jiu4,21
3025,他 的 一,ta1   de   yi1,21
3026,来 一,lai2   yi1,21
3063,里 掏出 一,li3   tao1 chu1   yi1,21
3075,人 一起,ren2   yi4 qi3,21
3080,和 一 个,he2   yi1   ge4,21
3084,罗恩 一边,luo2 en1   yi1 bian1,21
3086,成 一,cheng2   yi1,20
3091,一直 不,yi4 zhi2   bu4,20
3111,了 哈利 一,le   ha1 li4   yi1,20
3144,我 一 个,wo3   yi1   ge4,20
3147,一 个 非常,yi1   ge4   fei1 chang2,20
3153,一 节,yi1   jie2,20
3157,抱 着 一,bao4   zhe   yi1,20
3167,哼 了 一 声,heng1   le   yi1   sheng1,20
3177,一 种 很,yi1   zhong3   hen3,20
3179,挂 着 一,gua4   zhe   yi1,20
3212,哈利 一直,ha1 li4   yi4 zhi2,20
3215,一 大 块,yi1   da4   kuai4,20
3220,他们 一起,ta1 men   yi4 qi3,20
3253,哼 了 一,heng1   le   yi1,20
3265,看到 一,kan4 dao4   yi1,19
3272,着 一 把,zhe   yi1   ba3,19
3276,的 一 种,de   yi1   zhong3,19
3279,坐 在 一,zuo4   zai4   yi1,19
3286,哈利 一边,ha1 li4   yi1 bian1,19
3293,来到 一,lai2 dao4   yi1,19
3302,伸出 一 只,shen1 chu1   yi1   zhi3,19
3325,做 一,zuo4   yi1,19
3336,听见 一,ting1 jian4   yi1,19
3382,上 有 一,shang4   you3   yi1,19
3383,抽出 一,chou1 chu1   yi1,19
3389,一 根 魔杖,yi1   gen1   mo2 zhang4,19
3400,一直 想,yi4 zhi2   xiang3,19
3413,一 秒钟,yi1   miao3 zhong1,19
3425,用 一 种,yong4   yi1   zhong3,19
3432,罗恩 一,luo2 en1   yi1,19
3444,的 每 一 个,de   mei3   yi1   ge4,19
3447,一 口 冷气,yi1   kou3   leng3 qi4,19
3453,没有 一 个 人,mei2 you3   yi1   ge4   ren2,19
3457,一 个个,yi1   ge4 ge4,19
3479,你 一定,ni3   yi2 ding4,19
3483,感到 一,gan3 dao4   yi1,19
3491,看 了 一 眼,kan4   le   yi1   yan3,19
3501,喊 一,han3   yi1,18
3503,做 了 一,zuo4   le   yi1,18
3504,一 盏,yi1   zhan3,18
3526,哈利 一 眼,ha1 li4   yi1   yan3,18
3565,他 一 眼,ta1   yi1   yan3,18
3569,长 着 一,zhang3   zhe   yi1,18
3578,莱 一 家,lai2   yi1   jia1,18
3592,一 幅,yi1   fu2,18
3611,一 只 大,yi1   zhi3   da4,18
3616,赫敏 一起,he4 min3   yi4 qi3,18
3621,一 刻,yi1   ke4,18
3637,一 架,yi1   jia4,18
3640,莱 一,lai2   yi1,18
3646,戴 着 一,dai4   zhe   yi1,18
3649,喊 一 声,han3   yi1   sheng1,18
3656,过 了 一会儿,guo4   le   yi1 hui4 er,18
3668,一 大 口,yi1   da4   kou3,18
3685,一 颗,yi1   ke1,18
