Order Number,Item,Pinyin,Frequency
130,三 个,san1   ge4,182
686,三 个 人,san1   ge4   ren2,62
841,三 强,san1   qiang2,55
923,三 强 争霸赛,san1   qiang2   zheng1 ba4 sai4,52
1191,他们 三,ta1 men   san1,43
1560,了 三,le   san1,35
1801,他们 三 个,ta1 men   san1   ge4,31
2081,第三 个,di4 san1   ge4,28
2094,三 人,san1   ren2,28
2295,三 年级,san1   nian2 ji2,26
2379,有 三,you3   san1,25
2807,三 强 争霸赛 的,san1   qiang2   zheng1 ba4 sai4   de,22
3344,三 步,san1   bu4,19
3500,三 把,san1   ba3,18
3604,的 三,de   san1,18
3890,三 把 扫帚,san1   ba3   sao4 zhou3,17
4107,第三 个 项目,di4 san1   ge4   xiang4 mu4,16
4321,在 三,zai4   san1,16
4626,三 年,san1   nian2,15
5117,是 三,shi4   san1,14
5373,你们 三,ni3 men   san1,13
5425,三 步 并,san1   bu4   bing4,13
5427,三 步 并 作,san1   bu4   bing4   zuo4,13
5428,三 步 并 作 两,san1   bu4   bing4   zuo4   liang3,13
5429,三 步 并 作 两 步,san1   bu4   bing4   zuo4   liang3   bu4,13
5978,你们 三 个,ni3 men   san1   ge4,12
5985,三 个 人 都,san1   ge4   ren2   dou1,12
5995,三 口,san1   kou3,12
5999,三 天,san1   tian1,12
6011,十三 年,shi2 san1   nian2,12
6311,三 个 脑袋,san1   ge4   nao3 dai4,12
6668,到 三,dao4   san1,11
6700,三 更,san1   geng4,11
6702,半夜 三,ban4 ye4   san1,11
6703,半夜 三 更,ban4 ye4   san1   geng4,11
7327,第三 次,di4 san1   ci4,10
7508,三 个 脑袋 的,san1   ge4   nao3 dai4   de,10
7560,十三 岁,shi2 san1   sui4,10
7959,他们 三 个 人,ta1 men   san1   ge4   ren2,10
8193,一 家 三,yi1   jia1   san1,9
8198,一 家 三 口,yi1   jia1   san1   kou3,9
8310,家 三 口,jia1   san1   kou3,9
8311,家 三,jia1   san1,9
8648,参加 三,can1 jia1   san1,9
8649,参加 三 强,can1 jia1   san1   qiang2,9
8650,参加 三 强 争霸赛,can1 jia1   san1   qiang2   zheng1 ba4 sai4,9
8967,那 三,na4   san1,9
9127,他们 三 人,ta1 men   san1   ren2,9
9269,的 第三,de   di4 san1,9
9876,三 下,san1   xia4,8
9929,三 年级 学生,san1   nian2 ji2   xue2 sheng1,8
9935,三 张,san1   zhang1,8
9973,三强 争霸赛,san1 qiang2   zheng1 ba4 sai4,8
10200,数 到 三,shu4   dao4   san1,8
10341,有 三 个,you3   san1   ge4,8
10397,条 三,tiao2   san1,8
10398,条 三 个,tiao2   san1   ge4,8
10399,条 三 个 脑袋,tiao2   san1   ge4   nao3 dai4,8
10400,条 三 个 脑袋 的,tiao2   san1   ge4   nao3 dai4   de,8
11685,德思礼 一 家 三,de2 si1 li3   yi1   jia1   san1,7
11687,德思礼 一 家 三 口,de2 si1 li3   yi1   jia1   san1   kou3,7
11734,三 位,san1   wei4,7
13860,还 有 三,hai2   you3   san1,6
13883,这 三,zhe4   san1,6
14008,那 三 个,na4   san1   ge4,6
14472,三 年级 的,san1   nian2 ji2   de,6
14495,我 三,wo3   san1,6
14504,三 楼,san1   lou2,6
14519,三 次,san1   ci4,6
14622,我们 三,wo3 men   san1,6
14642,个 三,ge4   san1,6
14647,他 三,ta1   san1,6
15051,是 三 强,shi4   san1   qiang2,6
15052,是 三 强 争霸赛 的,shi4   san1   qiang2   zheng1 ba4 sai4   de,6
15053,是 三 强 争霸赛,shi4   san1   qiang2   zheng1 ba4 sai4,6
15738,的 三 个,de   san1   ge4,6
16308,着 三,zhe   san1,5
16682,第三 只,di4 san1   zhi3,5
17879,那 条 三,na4   tiao2   san1,5
17881,那 条 三 个 脑袋,na4   tiao2   san1   ge4   nao3 dai4,5
17882,那 条 三 个 脑袋 的,na4   tiao2   san1   ge4   nao3 dai4   de,5
17883,那 条 三 个,na4   tiao2   san1   ge4,5
18484,三 个 脑袋 的 大 狗,san1   ge4   nao3 dai4   de   da4   gou3,5
18485,三 个 脑袋 的 大,san1   ge4   nao3 dai4   de   da4,5
18532,三 名,san1   ming2,5
18569,三 年 前,san1   nian2   qian2,5
18570,三 叶草,san1   ye4 cao3,5
18631,三 年级 时,san1   nian2 ji2   shi2,5
18708,三 级,san1   ji2,5
18792,我们 三 个,wo3 men   san1   ge4,5
18938,把 三,ba3   san1,5
19020,另外 三,ling4 wai4   san1,5
19199,一 个 三,yi1   ge4   san1,5
19801,条 三 个 脑袋 的 大,tiao2   san1   ge4   nao3 dai4   de   da4,5
20429,的 三叶草,de   san1 ye4 cao3,5
20455,在 三 把,zai4   san1   ba3,5
20459,在 三 把 扫帚,zai4   san1   ba3   sao4 zhou3,5
20534,在 半夜 三 更,zai4   ban4 ye4   san1   geng4,5
20535,在 半夜 三,zai4   ban4 ye4   san1,5
20731,在 第三,zai4   di4 san1,5
20970,了 三 强 争霸赛,le   san1   qiang2   zheng1 ba4 sai4,5
20971,了 三 强,le   san1   qiang2,5
20987,了 三 下,le   san1   xia4,5
