Order Number,Item,Pinyin,Frequency
5,不 是,bu4   shi4,961
15,不 会,bu4   hui4,545
18,不 能,bu4   neng2,510
24,是 不,shi4   bu4,460
30,不 知道,bu4   zhi1 dao4,426
33,也 不,ye3   bu4,416
41,我 不,wo3   bu4,390
59,是 不 是,shi4   bu4   shi4,317
73,他 不,ta1   bu4,270
81,不 要,bu4   yao4,248
106,你 不,ni3   bu4,207
120,不 可能,bu4   ke3 neng2,189
152,都 不,dou1   bu4,166
156,不 见,bu4   jian4,164
158,不 敢,bu4   gan3,164
162,不 想,bu4   xiang3,162
192,看 不,kan4   bu4,146
239,就 不,jiu4   bu4,128
285,不 到,bu4   dao4,113
289,并 不,bing4   bu4,112
294,不 住,bu4   zhu4,111
305,哈利 不,ha1 li4   bu4,109
313,可 不,ke3   bu4,106
350,不 让,bu4   rang4,99
368,能 不,neng2   bu4,94
373,很 不,hen3   bu4,93
408,看 不 见,kan4   bu4   jian4,88
409,我 不 知道,wo3   bu4   zhi1 dao4,88
411,不 用,bu4   yong4,87
422,还 不,hai2   bu4,86
441,能 不 能,neng2   bu4   neng2,84
452,不 出,bu4   chu1,83
455,根本 不,gen1 ben3   bu4,82
467,不见 了,bu2 jian4   le,82
478,不 了,bu4   le,81
501,不 明白,bu4   ming2 bai2,78
514,不 行,bu4   xing2,77
525,不 太,bu4   tai4,75
526,不 愿意,bu4   yuan4 yi4,75
535,不 停,bu4   ting2,75
559,不 敢 相信,bu4   gan3   xiang1 xin4,72
566,也 不 会,ye3   bu4   hui4,71
568,不 知,bu4   zhi1,71
578,不 再,bu4   zai4,70
584,不 耐烦,bu4   nai4 fan2,70
586,他们 不,ta1 men   bu4,70
598,不 在,bu4   zai4,69
599,不 着,bu4   zhe,68
608,我们 不,wo3 men   bu4,68
615,不 应该,bu4   ying1 gai1,67
633,不 像,bu4   xiang4,66
683,不 许,bu4   xu3,62
698,这 不,zhe4   bu4,61
711,为什么 不,wei4 shen2 me   bu4,61
753,不 耐烦 地,bu4   nai4 fan2   di4,59
782,不 去,bu4   qu4,57
787,真 不,zhen1   bu4,57
799,不停 地,bu4 ting2   di4,57
877,听 不,ting1   bu4,53
893,用 不,yong4   bu4,53
919,个 不,ge4   bu4,52
937,不 喜欢,bu4   xi3 huan1,51
946,不 对,bu4   dui4,51
952,不 肯,bu4   ken3,51
971,得 不,de2   bu4,50
977,说 不,shuo1   bu4,50
1065,不 好,bu4   hao3,47
1087,一点儿 也 不,yi4 dian3 er2   ye3   bu4,46
1111,忍 不,ren3   bu4,45
1120,忍 不 住,ren3   bu4   zhu4,45
1123,我 不 能,wo3   bu4   neng2,45
1140,用 不 着,yong4   bu4   zhe,44
1147,她 不,ta1   bu4,44
1161,不 会 有,bu4   hui4   you3,44
1176,想 不,xiang3   bu4,44
1240,不 需要,bu4   xu1 yao4,42
1253,不 清,bu4   qing1,41
1271,不 相信,bu4   xiang1 xin4,41
1275,不 是 一,bu4   shi4   yi1,41
1282,谁 也 不,shui2   ye3   bu4,41
1313,不 愿,bu4   yuan4,40
1343,我 不 是,wo3   bu4   shi4,39
1348,不 见 了,bu4   jian4   le,39
1377,不 是 吗,bu4   shi4   ma,38
1384,再 也 不,zai4   ye3   bu4,38
1419,会 不,hui4   bu4,38
1431,也 不 知道,ye3   bu4   zhi1 dao4,38
1443,才 不,cai2   bu4,37
1458,不 起,bu4   qi3,37
1472,不 耐烦 地 说,bu4   nai4 fan2   di4   shuo1,37
1484,你们 不,ni3 men   bu4,37
1496,也 不 能,ye3   bu4   neng2,36
1498,个 不 停,ge4   bu4   ting2,36
1517,不 想 让,bu4   xiang3   rang4,36
1521,不 够,bu4   gou4,36
1542,不 停 地,bu4   ting2   di4,36
1614,绝对 不,jue2 dui4   bu4,34
1617,不 希望,bu4   xi1 wang4,34
1635,不 一样,bu4   yi1 yang4,34
1648,不 是 我,bu4   shi4   wo3,34
1652,会 不 会,hui4   bu4   hui4,34
1665,而 不,er2   bu4,33
1678,一动不动 地,yi1 dong4 bu4 dong4   di4,33
1690,的 不,de   bu4,33
1702,这 不 是,zhe4   bu4   shi4,33
1718,听 不 见,ting1   bu4   jian4,32
1781,绝 不,jue2   bu4,31
1782,罗恩 不,luo2 en1   bu4,31
1784,要 不,yao4   bu4,31
1787,喘 不,chuan3   bu4,31
1795,他 不 会,ta1   bu4   hui4,31
1800,不 在乎,bu4   zai4 hu1,31
1809,他 不 能,ta1   bu4   neng2,31
1849,似乎 不,si4 hu1   bu4,30
1850,他 不 知道,ta1   bu4   zhi1 dao4,30
1863,不 上,bu4   shang4,30
1871,你 能 不 能,ni3   neng2   bu4   neng2,30
1875,自己 不,zi4 ji3   bu4,30
1896,你 能 不,ni3   neng2   bu4,30
1902,不 过,bu4   guo4,30
1915,不过 我,bu4 guo4   wo3,30
1919,决 不,jue2   bu4,29
1947,不 见 的,bu4   jian4   de,29
1948,不 知道 自己,bu4   zhi1 dao4   zi4 ji3,29
1949,肯定 不,ken3 ding4   bu4,29
1951,赫敏 不,he4 min3   bu4,29
1970,就 不 会,jiu4   bu4   hui4,29
1977,不 可,bu4   ke3,29
1995,不 及,bu4   ji2,29
2011,不 动,bu4   dong4,29
2020,是 不 会,shi4   bu4   hui4,28
2033,都 不 会,dou1   bu4   hui4,28
2070,不 是 一 个,bu4   shi4   yi1   ge4,28
2075,不 高兴,bu4   gao1 xing4,28
2088,不 大,bu4   da4,28
2105,不 管,bu4   guan3,27
2106,已经 不,yi3 jing1   bu4,27
2116,不 说,bu4   shuo1,27
2122,哈利 不 知道,ha1 li4   bu4   zhi1 dao4,27
2123,什么 也 不,shen2 me   ye3   bu4,27
2166,他 不 是,ta1   bu4   shi4,27
2177,来 不,lai2   bu4,27
2183,也 看 不,ye3   kan4   bu4,27
2184,毫 不,hao2   bu4,27
2185,都 不 能,dou1   bu4   neng2,27
2207,我 不 想,wo3   bu4   xiang3,27
2208,找 不,zhao3   bu4,27
2214,对 不,dui4   bu4,26
2225,你 不 能,ni3   bu4   neng2,26
2229,不 舒服,bu4   shu1 fu2,26
2273,不 能 让,bu4   neng2   rang4,26
2296,从来 不,cong2 lai2   bu4,26
2334,最 不,zui4   bu4,25
2336,来 不 及,lai2   bu4   ji2,25
2345,人 不,ren2   bu4,25
2352,永远 不,yong3 yuan3   bu4,25
2364,那 不,na4   bu4,25
2383,可 不 是,ke3   bu4   shi4,25
2389,当然 不,dang1 ran2   bu4,25
2409,你 不 会,ni3   bu4   hui4,25
2442,我 可 不,wo3   ke3   bu4,24
2456,它 不,ta1   bu4,24
2495,如果 不,ru2 guo3   bu4,24
2538,不过 他,bu4 guo4   ta1,24
2549,看 不 见 的,kan4   bu4   jian4   de,24
2550,简直 不,jian3 zhi2   bu4,24
2552,我 真 不,wo3   zhen1   bu4,24
2557,不 小心,bu4   xiao3 xin1,24
2558,找 不 到,zhao3   bu4   dao4,24
2598,对 不 对,dui4   bu4   dui4,23
2602,你 是 不,ni3   shi4   bu4,23
2615,完全 不,wan2 quan2   bu4,23
2637,我 也 不,wo3   ye3   bu4,23
2639,说 不 出,shuo1   bu4   chu1,23
2644,是 不 可能,shi4   bu4   ke3 neng2,23
2649,不 过 气 来,bu4   guo4   qi4   lai2,23
2695,不 过 气,bu4   guo4   qi4,23
2698,你 不 是,ni3   bu4   shi4,23
2706,不 记得,bu4   ji4 de,23
2710,又 不,you4   bu4,23
2715,不 准,bu4   zhun3,23
2723,现在 不,xian4 zai4   bu4,23
2764,不 能 再,bu4   neng2   zai4,22
2788,不 知道 他,bu4   zhi1 dao4   ta1,22
2800,的 不 是,de   bu4   shi4,22
2814,不 把,bu4   ba3,22
2829,你 不 知道,ni3   bu4   zhi1 dao4,22
2836,不 知道 你,bu4   zhi1 dao4   ni3,22
2899,不 敢 相信 地,bu4   gan3   xiang1 xin4   di4,21
2912,也 看 不 见,ye3   kan4   bu4   jian4,21
2945,喘 不 过 气,chuan3   bu4   guo4   qi4,21
2960,不 算,bu4   suan4,21
2961,喘 不 过,chuan3   bu4   guo4,21
2962,喘 不 过 气 来,chuan3   bu4   guo4   qi4   lai2,21
2963,不 及 了,bu4   ji2   le,21
3091,一直 不,yi4 zhi2   bu4,20
3093,迫不及待 地,po4 bu4 ji2 dai4   di4,20
3096,着 不,zhe   bu4,20
3127,我 不 会,wo3   bu4   hui4,20
3130,不 得,bu4   de2,20
3140,并 不 是,bing4   bu4   shi4,20
3226,了不起 的,liao3 bu4 qi3   de,20
3273,真 不 敢,zhen1   bu4   gan3,19
3295,也 不 是,ye3   bu4   shi4,19
3313,你 是 不 是,ni3   shi4   bu4   shi4,19
3327,要 不 要,yao4   bu4   yao4,19
3369,来 不 及 了,lai2   bu4   ji2   le,19
3390,而 不 是,er2   bu4   shi4,19
3441,并不 是,bing4 bu4   shi4,19
3458,了 不,le   bu4,19
3494,不 出 话,bu4   chu1   hua4,18
3517,不 出来,bu4   chu1 lai2,18
3530,绝 不 会,jue2   bu4   hui4,18
3535,却 不,que4   bu4,18
3585,不同 的,bu4 tong2   de,18
3595,不管 怎么 说,bu4 guan3   zen3 me   shuo1,18
3605,说 不 出 话 来,shuo1   bu4   chu1   hua4   lai2,18
3606,说 不 出 话,shuo1   bu4   chu1   hua4,18
3642,不过 你,bu4 guo4   ni3,18
3644,不 能 把,bu4   neng2   ba3,18
3664,不 如,bu4   ru2,18
3669,不 该,bu4   gai1,18
3673,不 出 话 来,bu4   chu1   hua4   lai2,18
3693,看 不 出,kan4   bu4   chu1,18
3733,不管 怎么,bu4 guan3   zen3 me,18
3742,这 是 不,zhe4   shi4   bu4,18
3760,真 不 敢 相信,zhen1   bu4   gan3   xiang1 xin4,17
3766,但 不,dan4   bu4,17
3807,不 是 你,bu4   shi4   ni3,17
3821,千万 不,qian1 wan4   bu4,17
3848,不 能 说,bu4   neng2   shuo1,17
3883,阿不思•邓布 利多,a1 bu4 si1 • deng4 bu4   li4 duo1,17
3886,从 不,cong2   bu4,17
3904,我们 不 能,wo3 men   bu4   neng2,17
3928,不 看,bu4   kan4,17
3932,闷闷不乐 地,men4 men4 bu4 le4   di4,17
3979,不 会 把,bu4   hui4   ba3,17
3981,还是 不,hai2 shi4   bu4,17
4010,不 会 让,bu4   hui4   rang4,17
4072,也 不 想,ye3   bu4   xiang3,16
4080,不 成,bu4   cheng2,16
4131,不 让 他,bu4   rang4   ta1,16
4135,不 是 这样,bu4   shi4   zhe4 yang4,16
4143,他 不 可能,ta1   bu4   ke3 neng2,16
4144,不 容易,bu4   rong2 yi4,16
4156,如果 你 不,ru2 guo3   ni3   bu4,16
4170,漫不经心 地,man4 bu4 jing1 xin1   di4,16
4188,我 不 明白,wo3   bu4   ming2 bai2,16
4206,不 能 在,bu4   neng2   zai4,16
4209,不 会 是,bu4   hui4   shi4,16
4305,目不转睛 地,mu4 bu4 zhuan3 jing1   di4,16
4311,不断 地,bu4 duan4   di4,16
4349,不 可能 是,bu4   ke3 neng2   shi4,16
4351,尽量 不,jin3 liang4   bu4,16
4357,不 是 他,bu4   shi4   ta1,16
4367,什么 也 看 不,shen2 me   ye3   kan4   bu4,16
4407,不 懂,bu4   dong3,15
4409,也 不 愿,ye3   bu4   yuan4,15
4414,哈利 不 敢,ha1 li4   bu4   gan3,15
4426,不 敢 相信 自己,bu4   gan3   xiang1 xin4   zi4 ji3,15
4445,谁 都 不,shui2   dou1   bu4,15
4447,不 是 在,bu4   shi4   zai4,15
4464,不 来,bu4   lai2,15
4471,比 不,bi3   bu4,15
4475,他 不 想,ta1   bu4   xiang3,15
4493,做 不,zuo4   bu4,15
4497,不安 地,bu4 an1   di4,15
4504,不 认识,bu4   ren4 shi2,15
4518,受 不,shou4   bu4,15
4527,我 不 应该,wo3   bu4   ying1 gai1,15
4578,就 不 能,jiu4   bu4   neng2,15
4588,就 不见,jiu4   bu2 jian4,15
4605,就 不见 了,jiu4   bu2 jian4   le,15
4632,不 跟,bu4   gen1,15
4643,那 不 是,na4   bu4   shi4,15
4692,很 不 舒服,hen3   bu4   shu1 fu2,15
4693,不 受,bu4   shou4,15
4714,不 告诉,bu4   gao4 su4,15
