Order Number,Item,Pinyin,Frequency
3056,与 他,yu3   ta1,21
5385,与 哈利,yu3   ha1 li4,13
8530,与 他们,yu3   ta1 men,9
9883,与 魔法,yu3   mo2 fa3,8
11705,与 邓布,yu3   deng4 bu4,7
11707,与 邓布 利多,yu3   deng4 bu4   li4 duo1,7
11934,他 与,ta1   yu3,7
12625,哈利·波特 与,ha1 li4 · bo1 te4   yu3,7
14378,与 你,yu3   ni3,6
15781,在 与,zai4   yu3,6
16246,与 一,yu3   yi1,6
18413,与 吸血鬼 同,yu3   xi1 xue4 gui3   tong2,5
18422,与 吸血鬼 同 船 旅行,yu3   xi1 xue4 gui3   tong2   chuan2   lv3 xing2,5
18423,与 吸血鬼 同 船,yu3   xi1 xue4 gui3   tong2   chuan2,5
18424,与 吸血鬼,yu3   xi1 xue4 gui3,5
18440,与 狼人,yu3   lang2 ren2,5
18441,与 她,yu3   ta1,5
18466,与 那个,yu3   na4 ge,5
19770,哈利 与,ha1 li4   yu3,5
20888,地 与,di4   yu3,5
