Order Number,Item,Pinyin,Frequency
60,两 个,liang3   ge4,313
261,两 只,liang3   zhi3,121
302,两 人,liang3   ren2,109
534,的 两,de   liang3,75
654,了 两,le   liang3,64
714,有 两,you3   liang3,61
835,两 个 人,liang3   ge4   ren2,55
1001,那 两,na4   liang3,49
1202,两 边,liang3   bian1,43
1409,两 次,liang3   ci4,38
1520,着 两,zhe   liang3,36
1525,这 两,zhe4   liang3,36
1563,两 条,liang3   tiao2,35
1736,你们 两,ni3 men   liang3,32
1884,你们 两 个,ni3 men   liang3   ge4,30
2186,的 两 个,de   liang3   ge4,27
2194,一 两,yi1   liang3,27
2299,有 两 个,you3   liang3   ge4,26
2519,两 步,liang3   bu4,24
2623,两 根,liang3   gen1,23
2955,那 两 个,na4   liang3   ge4,21
3089,了 两 个,le   liang3   ge4,20
3195,两 人 都,liang3   ren2   dou1,20
3613,两 只 手,liang3   zhi3   shou3,18
3900,两 眼,liang3   yan3,17
3988,这 两 个,zhe4   liang3   ge4,17
4189,两 个 星期,liang3   ge4   xing1 qi1,16
4249,是 两,shi4   liang3,16
4269,在 两,zai4   liang3,16
4939,两 位,liang3   wei4,14
4963,他 两,ta1   liang3,14
5065,还 有 两,hai2   you3   liang3,14
5207,着 两 个,zhe   liang3   ge4,13
5253,作 两,zuo4   liang3,13
5254,作 两 步,zuo4   liang3   bu4,13
5305,步 并 作 两 步,bu4   bing4   zuo4   liang3   bu4,13
5428,三 步 并 作 两,san1   bu4   bing4   zuo4   liang3,13
5429,三 步 并 作 两 步,san1   bu4   bing4   zuo4   liang3   bu4,13
5436,两 张,liang3   zhang1,13
5448,两 根 魔杖,liang3   gen1   mo2 zhang4,13
5464,他们 两,ta1 men   liang3,13
5499,并 作 两 步,bing4   zuo4   liang3   bu4,13
5634,步 并 作 两,bu4   bing4   zuo4   liang3,13
5645,并 作 两,bing4   zuo4   liang3,13
6202,他 的 两,ta1   de   liang3,12
6449,着 两 只,zhe   liang3   zhi3,11
6484,两 人 一起,liang3   ren2   yi4 qi3,11
6698,两 个 摄魂怪,liang3   ge4   she4 hun2 guai4,11
6739,两 边 的,liang3   bian1   de,11
6798,另外 两,ling4 wai4   liang3,11
7272,一 两 个,yi1   liang3   ge4,10
7418,那 两 只,na4   liang3   zhi3,10
7588,两 年,liang3   nian2,10
7590,两 扇,liang3   shan4,10
7595,两 条 腿,liang3   tiao2   tui3,10
7608,两 道,liang3   dao4,10
7815,有 一 两,you3   yi1   liang3,10
8603,两 侧,liang3   ce4,9
8609,两 只 眼睛,liang3   zhi3   yan3 jing1,9
8614,两 天,liang3   tian1,9
8638,两 节,liang3   jie2,9
8746,另外 两 个,ling4 wai4   liang3   ge4,9
9281,分成 两,fen1 cheng2   liang3,9
9669,还 有 两 个,hai2   you3   liang3   ge4,8
9941,两 个 人 的,liang3   ge4   ren2   de,8
9963,两 半,liang3   ban4,8
10057,把 两,ba3   liang3,8
10681,的 两 只,de   liang3   zhi3,8
10877,的 那 两,de   na4   liang3,8
11027,作 两 步 地,zuo4   liang3   bu4   di4,7
11516,并 作 两 步 地,bing4   zuo4   liang3   bu4   di4,7
11801,两 个 小时,liang3   ge4   xiao3 shi2,7
11807,两 个 字,liang3   ge4   zi4,7
11814,两 个 男孩,liang3   ge4   nan2 hai2,7
11831,两 件,liang3   jian4,7
11837,两 分钟,liang3   fen1 zhong1,7
11840,两 口,liang3   kou3,7
11848,两 名,liang3   ming2,7
11850,两 声,liang3   sheng1,7
11861,两 把,liang3   ba3,7
11868,两 步 地,liang3   bu4   di4,7
12461,其中 两,qi2 zhong1   liang3,7
12503,步 并 作 两 步 地,bu4   bing4   zuo4   liang3   bu4   di4,7
12708,他们 两 个,ta1 men   liang3   ge4,7
12715,用 两,yong4   liang3,7
13059,了 两 次,le   liang3   ci4,7
13809,过 两,guo4   liang3,6
13832,像 两,xiang4   liang3,6
14009,那 两 人,na4   liang3   ren2,6
14025,其中 两 个,qi2 zhong1   liang3   ge4,6
14509,两 个 月,liang3   ge4   yue4,6
14541,两 只 脚,liang3   zhi3   jiao3,6
14564,两 样,liang3   yang4,6
14587,两 端,liang3   duan1,6
14590,两 腿,liang3   tui3,6
14591,两 英寸,liang3   ying1 cun4,6
15261,他 的 两 个,ta1   de   liang3   ge4,6
15745,的 两 边,de   liang3   bian1,6
17643,这 两 样,zhe4   liang3   yang4,5
18618,两 个 大拇指,liang3   ge4   da4 mu3 zhi3,5
18629,两 个 巫师,liang3   ge4   wu1 shi1,5
18630,两 个 双胞胎,liang3   ge4   shuang1 bao1 tai1,5
18634,我 两,wo3   liang3,5
18656,两 人 的,liang3   ren2   de,5
18657,两 人 一,liang3   ren2   yi1,5
18682,两 倍,liang3   bei4,5
18726,两 旁,liang3   pang2,5
18790,两 颗,liang3   ke1,5
18794,我们 两,wo3 men   liang3,5
19022,另外 两 个 人,ling4 wai4   liang3   ge4   ren2,5
19073,只 有 两,zhi3   you3   liang3,5
19200,一 两 次,yi1   liang3   ci4,5
19575,和 两,he2   liang3,5
19669,有 一 两 个,you3   yi1   liang3   ge4,5
19688,有 两 个 人,you3   liang3   ge4   ren2,5
19692,有 两 次,you3   liang3   ci4,5
19954,步 两,bu4   liang3,5
20116,举起 两,ju3 qi3   liang3,5
21008,了 两 半,le   liang3   ban4,5
