Order Number,Item,Pinyin,Frequency
1,一 个,yi1   ge4,2597
16,个 人,ge4   ren2,515
60,两 个,liang3   ge4,313
70,是 一 个,shi4   yi1   ge4,277
76,了 一 个,le   yi1   ge4,258
78,那 个,na4   ge4,255
83,这 个,zhe4   ge4,247
101,几 个,ji3   ge4,216
109,是 个,shi4   ge4,203
117,一 个 人,yi1   ge4   ren2,192
125,有 一 个,you3   yi1   ge4,186
130,三 个,san1   ge4,182
178,了 个,le   ge4,154
197,的 一 个,de   yi1   ge4,144
227,每 个,mei3   ge4,134
344,着 一 个,zhe   yi1   ge4,100
374,个 星期,ge4   xing1 qi1,93
443,的 那个,de   na4 ge,84
477,每 个 人,mei3   ge4   ren2,81
494,第一 个,di4 yi1   ge4,79
497,个 项目,ge4   xiang4 mu4,78
551,个 月,ge4   yue4,73
554,个 人 都,ge4   ren2   dou1,72
577,个 大,ge4   da4,70
597,个 小时,ge4   xiao3 shi2,69
676,个 小,ge4   xiao3,63
686,三 个 人,san1   ge4   ren2,62
710,个 声音,ge4   sheng1 yin1,61
780,个 巫师,ge4   wu1 shi1,58
793,打 了 个,da3   le   ge4,57
794,在 一 个,zai4   yi1   ge4,57
795,个 很,ge4   hen3,57
829,的 那 个,de   na4   ge4,55
831,每 个 人 都,mei3   ge4   ren2   dou1,55
835,两 个 人,liang3   ge4   ren2,55
862,另 一 个,ling4   yi1   ge4,54
864,第二 个,di4 er4   ge4,54
878,一 个 大,yi1   ge4   da4,53
919,个 不,ge4   bu4,52
998,整 个,zheng3   ge4,49
1002,个 男孩,ge4   nan2 hai2,49
1085,有 个,you3   ge4,46
1100,个 字,ge4   zi4,46
1157,四 个,si4   ge4,44
1173,一 个 很,yi1   ge4   hen3,44
1328,几 个 人,ji3   ge4   ren2,40
1361,个 人 的,ge4   ren2   de,39
1427,这 是 一 个,zhe4   shi4   yi1   ge4,38
1467,一 个 小,yi1   ge4   xiao3,37
1488,没有 一 个,mei2 you3   yi1   ge4,37
1498,个 不 停,ge4   bu4   ting2,36
1550,还 有 一 个,hai2   you3   yi1   ge4,35
1592,他 一 个,ta1   yi1   ge4,35
1639,个 房间,ge4   fang2 jian1,34
1726,一 个 声音,yi1   ge4   sheng1 yin1,32
1732,个 问题,ge4   wen4 ti2,32
1776,最后 一 个,zui4 hou4   yi1   ge4,31
1801,他们 三 个,ta1 men   san1   ge4,31
1845,一 个 个,yi1   ge4   ge4,30
1864,一 个 字,yi1   ge4   zi4,30
1870,第一 个 项目,di4 yi1   ge4   xiang4 mu4,30
1884,你们 两 个,ni3 men   liang3   ge4,30
1889,个 个,ge4   ge4,30
1956,一 个 月,yi1   ge4   yue4,29
2010,个 咒语,ge4   zhou4 yu3,29
2024,一 个 星期,yi1   ge4   xing1 qi1,28
2070,不 是 一 个,bu4   shi4   yi1   ge4,28
2072,个 地方,ge4   di4 fang1,28
2081,第三 个,di4 san1   ge4,28
2101,他 是 个,ta1   shi4   ge4,28
2142,个 学生,ge4   xue2 sheng1,27
2179,每 一 个,mei3   yi1   ge4,27
2186,的 两 个,de   liang3   ge4,27
2190,过 一 个,guo4   yi1   ge4,27
2210,看见 一 个,kan4 jian4   yi1   ge4,26
2240,个 名字,ge4   ming2 zi4,26
2256,有 几 个,you3   ji3   ge4,26
2281,个 好,ge4   hao3,26
2299,有 两 个,you3   liang3   ge4,26
2312,的 每 个,de   mei3   ge4,26
2325,个 非常,ge4   fei1 chang2,25
2395,一 个 巫师,yi1   ge4   wu1 shi1,25
2485,了 那个,le   na4 ge,24
2497,像 一 个,xiang4   yi1   ge4,24
2584,一 个 小时,yi1   ge4   xiao3 shi2,23
2620,半 个,ban4   ge4,23
2635,个 摄魂怪,ge4   she4 hun2 guai4,23
2653,个 女人,ge4   nv3 ren2,23
2688,在 这 个,zai4   zhe4   ge4,23
2709,个 男人,ge4   nan2 ren2,23
2718,只 有 一 个,zhi3   you3   yi1   ge4,23
2774,几 个 小时,ji3   ge4   xiao3 shi2,22
2816,个 麻瓜,ge4   ma2 gua1,22
2831,像 个,xiang4   ge4,22
2871,个 座位,ge4   zuo4 wei4,22
2955,那 两 个,na4   liang3   ge4,21
2996,十 个,shi2   ge4,21
3080,和 一 个,he2   yi1   ge4,21
3089,了 两 个,le   liang3   ge4,20
3114,那 个 人,na4   ge4   ren2,20
3123,你 这 个,ni3   zhe4   ge4,20
3124,个 角落,ge4   jiao3 luo4,20
3144,我 一 个,wo3   yi1   ge4,20
3147,一 个 非常,yi1   ge4   fei1 chang2,20
3180,个 东西,ge4   dong1 xi1,20
3238,个 朋友,ge4   peng2 you3,20
3277,五 个,wu3   ge4,19
3391,个 学校,ge4   xue2 xiao4,19
3444,的 每 一 个,de   mei3   yi1   ge4,19
3453,没有 一 个 人,mei2 you3   yi1   ge4   ren2,19
3457,一 个个,yi1   ge4 ge4,19
3482,是 那个,shi4   na4 ge,19
3486,个 穿,ge4   chuan1,19
3496,十二 个,shi2 er4   ge4,18
3540,那 个 声音,na4   ge4   sheng1 yin1,18
3559,把 这个,ba3   zhe4 ge,18
3653,的 几 个,de   ji3   ge4,18
3699,你 一 个,ni3   yi1   ge4,18
3777,个 食死徒,ge4   shi2 si3 tu2,17
3797,转 了 个,zhuan3   le   ge4,17
3805,第二 个 项目,di4 er4   ge4   xiang4 mu4,17
3831,你 是 个,ni3   shi4   ge4,17
3922,其中 一 个,qi2 zhong1   yi1   ge4,17
3943,个 家养,ge4   jia1 yang3,17
3956,个 巨大,ge4   ju4 da4,17
3957,个 巨大 的,ge4   ju4 da4   de,17
3982,那个 人,na4 ge   ren2,17
3988,这 两 个,zhe4   liang3   ge4,17
3996,哪 个,na3   ge4,17
3997,个 晚上,ge4   wan3 shang4,17
4054,七 个,qi1   ge4,16
4069,了 几 个,le   ji3   ge4,16
