Order Number,Item,Pinyin,Frequency
260,我 认为,wo3   ren4 wei2,121
280,是 因为,shi4   yin1 wei4,114
332,因为 他,yin1 wei4   ta1,102
699,还 以为,hai2   yi3 wei2,61
709,为什么 要,wei4 shen2 me   yao4,61
711,为什么 不,wei4 shen2 me   bu4,61
815,是 为了,shi4   wei4 le,56
884,认为 他,ren4 wei2   ta1,53
910,他 为什么,ta1   wei4 shen2 me,52
1013,你 认为,ni3   ren4 wei2,49
1079,你 为什么,ni3   wei4 shen2 me,46
1406,因为 我,yin1 wei4   wo3,38
1491,因为 他们,yin1 wei4   ta1 men,37
1740,他 认为,ta1   ren4 wei2,32
1861,以为 他,yi3 wei2   ta1,30
1876,的 行为,de   xing2 wei2,30
1909,为 他,wei4   ta1,30
2058,以为 你,yi3 wei2   ni3,28
2097,认为 你,ren4 wei2   ni3,28
2278,我 以为,wo3   yi3 wei2,26
2424,是 因为 他,shi4   yin1 wei4   ta1,25
2496,为 你,wei4   ni3,24
2539,以为 是,yi3 wei2   shi4,24
2565,为 我,wei4   wo3,23
2577,为 自己,wei4   zi4 ji3,23
2685,我 还 以为,wo3   hai2   yi3 wei2,23
2689,他 以为,ta1   yi3 wei2,23
2720,认为 这,ren4 wei2   zhe4,23
2790,认为 是,ren4 wei2   shi4,22
2928,为什么 会,wei4 shen2 me   hui4,21
2998,以为 我,yi3 wei2   wo3,21
3149,以为 自己,yi3 wei2   zi4 ji3,20
3204,就 因为,jiu4   yin1 wei4,20
3311,因为 她,yin1 wei4   ta1,19
3357,他们 为什么,ta1 men   wei4 shen2 me,19
3480,会 为,hui4   wei4,19
3866,在 为,zai4   wei4,17
3874,认为 我,ren4 wei2   wo3,17
4260,他 为什么 要,ta1   wei4 shen2 me   yao4,16
4797,你 为什么 不,ni3   wei4 shen2 me   bu4,14
4871,我 为什么,wo3   wei4 shen2 me,14
4895,认为 他们,ren4 wei2   ta1 men,14
5082,作为 一,zuo4 wei2   yi1,14
5087,都 以为,dou1   yi3 wei2,14
5249,哈利 以为,ha1 li4   yi3 wei2,13
5275,你 以为,ni3   yi3 wei2,13
5279,为 他们,wei4   ta1 men,13
5707,因为 它,yin1 wei4   ta1,13
5730,会 以为,hui4   yi3 wei2,13
5949,都 认为,dou1   ren4 wei2,12
6131,以为 我们,yi3 wei2   wo3 men,12
6142,是 为,shi4   wei4,12
6569,我 认为 你,wo3   ren4 wei2   ni3,11
6694,成为 一,cheng2 wei2   yi1,11
6765,他 为什么 不,ta1   wei4 shen2 me   bu4,11
7230,作为 一 个,zuo4 wei2   yi1   ge4,10
7318,认为 他 是,ren4 wei2   ta1   shi4,10
7319,认为 我们,ren4 wei2   wo3 men,10
7352,为 哈利,wei4   ha1 li4,10
7673,因为 这,yin1 wei4   zhe4,10
7677,因为 这个,yin1 wei4   zhe4 ge,10
7685,只 是 为了,zhi3   shi4   wei4 le,10
7725,还 以为 你,hai2   yi3 wei2   ni3,10
