Order Number,Item,Pinyin,Frequency
1156,的 主人,de   zhu3 ren2,44
2520,学生会 主席,xue2 sheng1 hui4   zhu3 xi2,24
3300,我 的 主人,wo3   de   zhu3 ren2,19
3730,男生 学生会 主席,nan2 sheng1   xue2 sheng1 hui4   zhu3 xi2,18
3985,主人 的,zhu3 ren2   de,17
6443,了 主意,le   zhu3 yi4,11
6981,主要 是,zhu3 yao4   shi4,11
7870,不由自主 地,bu4 you2 zi4 zhu3   di4,10
8594,我 主人,wo3   zhu3 ren2,9
8708,打定 主意,da3 ding4   zhu3 yi4,9
9672,女 主人,nv3   zhu3 ren2,8
11176,好 主意,hao3   zhu3 yi4,7
14658,个 主意,ge4   zhu3 yi4,6
17193,学生会 主席 的,xue2 sheng1 hui4   zhu3 xi2   de,5
18155,一 个 主意,yi1   ge4   zhu3 yi4,5
19113,拿定 了 主意,na2 ding4   le   zhu3 yi4,5
19114,拿定 主意,na2 ding4   zhu3 yi4,5
19783,本 书 主人公,ben3   shu1   zhu3 ren2 gong1,5
20020,主宾席 上,zhu3 bin1 xi2   shang4,5
20030,主意 要,zhu3 yi4   yao4,5
20031,主席 的,zhu3 xi2   de,5
20035,主要 人物 表,zhu3 yao4   ren2 wu4   biao3,5
20036,主要 人物,zhu3 yao4   ren2 wu4,5
20569,的 女 主人,de   nv3   zhu3 ren2,5
20674,书 主人公,shu1   zhu3 ren2 gong1,5
