Order Number,Item,Pinyin,Frequency
191,和 乔治,he2   qiao2 zhi4,147
224,弗雷德 和 乔治,fu2 lei2 de2   he2   qiao2 zhi4,134
539,乔治 说,qiao2 zhi4   shuo1,74
2692,乔治 和,qiao2 zhi4   he2,23
5139,乔治 的,qiao2 zhi4   de,14
5668,乔治 和 金妮,qiao2 zhi4   he2   jin1 ni1,13
7037,弗雷德 和 乔治 的,fu2 lei2 de2   he2   qiao2 zhi4   de,11
7169,和 乔治 的,he2   qiao2 zhi4   de,11
8900,和 乔治•韦斯莱,he2   qiao2 zhi4 • wei2 si1 lai2,9
9123,弗雷德 和 乔治•韦斯莱,fu2 lei2 de2   he2   qiao2 zhi4 • wei2 si1 lai2,9
11035,着 弗雷德 和 乔治,zhe   fu2 lei2 de2   he2   qiao2 zhi4,7
12623,乔治 也,qiao2 zhi4   ye3,7
12628,乔治 把,qiao2 zhi4   ba3,7
15160,和 乔治 在,he2   qiao2 zhi4   zai4,6
15583,乔治 在,qiao2 zhi4   zai4,6
16256,伯莎•乔金斯 的,bo2 sha1 • qiao2 jin1 si1   de,5
19479,是 弗雷德 和 乔治,shi4   fu2 lei2 de2   he2   qiao2 zhi4,5
19579,和 乔治 都,he2   qiao2 zhi4   dou1,5
19580,和 乔治 说,he2   qiao2 zhi4   shuo1,5
19851,哈利 和 乔治,ha1 li4   he2   qiao2 zhi4,5
20238,乔治 都,qiao2 zhi4   dou1,5
20256,乔治 说 着,qiao2 zhi4   shuo1   zhe,5
20257,乔治 又,qiao2 zhi4   you4,5
