Order Number,Item,Pinyin,Frequency
33,也 不,ye3   bu4,416
98,也 没有,ye3   mei2 you3,220
231,也 是,ye3   shi4,131
277,什么 也,shen2 me   ye3,115
391,谁 也,shui2   ye3,91
402,我 也,wo3   ye3,89
487,他 也,ta1   ye3,79
516,再 也,zai4   ye3,76
566,也 不 会,ye3   bu4   hui4,71
587,也 没,ye3   mei2,70
637,你 也,ni3   ye3,65
660,哈利 也,ha1 li4   ye3,64
703,也 在,ye3   zai4,61
890,一点儿 也,yi4 dian3 er2   ye3,53
1048,也 有,ye3   you3,48
1087,一点儿 也 不,yi4 dian3 er2   ye3   bu4,46
1112,也 会,ye3   hui4,45
1282,谁 也 不,shui2   ye3   bu4,41
1384,再 也 不,zai4   ye3   bu4,38
1431,也 不 知道,ye3   bu4   zhi1 dao4,38
1496,也 不 能,ye3   bu4   neng2,36
1584,也 看,ye3   kan4,35
1607,也许 是,ye3 xu3   shi4,34
1703,谁 也 没有,shui2   ye3   mei2 you3,33
1829,什么 也 没有,shen2 me   ye3   mei2 you3,31
1988,什么 也 没,shen2 me   ye3   mei2,29
2026,也 能,ye3   neng2,28
2100,自己 也,zi4 ji3   ye3,28
2102,赫敏 也,he4 min3   ye3,28
2123,什么 也 不,shen2 me   ye3   bu4,27
2129,她 也,ta1   ye3,27
2183,也 看 不,ye3   kan4   bu4,27
2202,他们 也,ta1 men   ye3,27
2235,也 就,ye3   jiu4,26
2239,我们 也,wo3 men   ye3,26
2332,罗恩 也,luo2 en1   ye3,25
2333,也许 他,ye3 xu3   ta1,25
2347,人 也,ren2   ye3,25
2518,也 很,ye3   hen3,24
2637,我 也 不,wo3   ye3   bu4,23
2912,也 看 不 见,ye3   kan4   bu4   jian4,21
2999,这 也,zhe4   ye3,21
3295,也 不 是,ye3   bu4   shi4,19
3375,也 想,ye3   xiang3,19
3670,里 也,li3   ye3,18
3715,也 没 说,ye3   mei2   shuo1,18
3780,也 跟,ye3   gen1,17
3829,似乎 也,si4 hu1   ye3,17
4072,也 不 想,ye3   bu4   xiang3,16
4173,怎么 也,zen3 me   ye3,16
4271,什么 也 看,shen2 me   ye3   kan4,16
4282,也 都,ye3   dou1,16
4319,也 是 一,ye3   shi4   yi1,16
4367,什么 也 看 不,shen2 me   ye3   kan4   bu4,16
4409,也 不 愿,ye3   bu4   yuan4,15
4463,肯定 也,ken3 ding4   ye3,15
4469,永远 也,yong3 yuan3   ye3,15
4507,也 被,ye3   bei4,15
4601,也 来,ye3   lai2,15
4696,也 要,ye3   yao4,15
4724,什么 也 没 说,shen2 me   ye3   mei2   shuo1,15
5170,看 也,kan4   ye3,14
5192,也 知道,ye3   zhi1 dao4,13
5293,也 对,ye3   dui4,13
5732,也 没有 说话,ye3   mei2 you3   shuo1 hua4,13
5734,也 说,ye3   shuo1,13
5780,什么 也 看 不 见,shen2 me   ye3   kan4   bu4   jian4,13
6020,也 不 敢,ye3   bu4   gan3,12
6310,也 和,ye3   he2,12
6358,也 跟着,ye3   gen1 zhe,12
6575,事 也,shi4   ye3,11
6577,再 也 不 能,zai4   ye3   bu4   neng2,11
6647,你们 也,ni3 men   ye3,11
6701,我 什么 也,wo3   shen2 me   ye3,11
6711,谁 也 不 会,shui2   ye3   bu4   hui4,11
6771,他 什么 也,ta1   shen2 me   ye3,11
6906,和 赫敏 也,he2   he4 min3   ye3,11
6932,那 也,na4   ye3,11
6979,永远 也 不,yong3 yuan3   ye3   bu4,11
7049,也 应该,ye3   ying1 gai1,11
7058,也 是 这样,ye3   shi4   zhe4 yang4,11
7078,也 消失,ye3   xiao1 shi1,11
7270,邓布 利多 也,deng4 bu4   li4 duo1   ye3,10
7325,大概 也,da4 gai4   ye3,10
7458,海格 也,hai3 ge2   ye3,10
7480,它 也,ta1   ye3,10
7482,利多 也,li4 duo1   ye3,10
7571,谁 也 没有 说话,shui2   ye3   mei2 you3   shuo1 hua4,10
7577,也 不 看,ye3   bu4   kan4,10
7621,一点 也,yi4 dian3   ye3,10
7635,他 也 不,ta1   ye3   bu4,10
7642,一点 也 不,yi4 dian3   ye3   bu4,10
7659,他 再 也,ta1   zai4   ye3,10
7878,再 也 没有,zai4   ye3   mei2 you3,10
7984,也 感到,ye3   gan3 dao4,10
8000,也 比,ye3   bi3,10
8030,也 说 不,ye3   shuo1   bu4,10
8131,看 也 不,kan4   ye3   bu4,10
8595,我 也 是,wo3   ye3   shi4,9
8599,我 再 也,wo3   zai4   ye3,9
8604,谁 也 不 知道,shui2   ye3   bu4   zhi1 dao4,9
8704,他 也许,ta1   ye3 xu3,9
8851,这 也 是,zhe4   ye3   shi4,9
8949,也 跟 了,ye3   gen1   le,9
9016,再 也 不 会,zai4   ye3   bu4   hui4,9
9033,永远 也 不 会,yong3 yuan3   ye3   bu4   hui4,9
9109,也 不 可能,ye3   bu4   ke3 neng2,9
9131,也 像,ye3   xiang4,9
9137,也 可以,ye3   ke3 yi3,9
9177,也 无法,ye3   wu2 fa3,9
9331,看 也 不 看,kan4   ye3   bu4   kan4,9
9354,眼睛 也,yan3 jing1   ye3,8
9464,罗恩 和 赫敏 也,luo2 en1   he2   he4 min3   ye3,8
9905,话 也,hua4   ye3,8
9947,我 也 不 知道,wo3   ye3   bu4   zhi1 dao4,8
9992,我 自己 也,wo3   zi4 ji3   ye3,8
10040,一 句 话 也,yi1   ju4   hua4   ye3,8
10087,句 话 也,ju4   hua4   ye3,8
10151,就 再 也,jiu4   zai4   ye3,8
10189,教授 也,jiao4 shou4   ye3,8
10206,斯内普 也,si1 nei4 pu3   ye3,8
10590,也 不 会 知道,ye3   bu4   hui4   zhi1 dao4,8
10593,也 不 像,ye3   bu4   xiang4,8
10633,也 做,ye3   zuo4,8
10703,也 来 了,ye3   lai2   le,8
10730,也 消失 了,ye3   xiao1 shi1   le,8
