Order Number,Item,Pinyin,Frequency
4,了 一,le   yi1,1293
40,了 他,le   ta1,394
46,了 起来,le   qi3 lai2,368
72,好 了,hao3   le,274
76,了 一 个,le   yi1   ge4,258
85,了 一下,le   yi1 xia4,241
103,走 了,zou3   le,214
105,到 了,dao4   le,209
129,了 出来,le   chu1 lai2,184
131,看 了,kan4   le,180
143,了 哈利,le   ha1 li4,172
146,了 他 的,le   ta1   de,169
147,了 吗,le   ma,169
176,了 下来,le   xia4 lai2,155
178,了 个,le   ge4,154
180,去 了,qu4   le,151
184,了 什么,le   shen2 me,150
187,来 了,lai2   le,149
205,看见 了,kan4 jian4   le,141
211,说 了,shuo1   le,137
228,了 几,le   ji3,132
241,了 我,le   wo3,128
269,笑 了,xiao4   le,117
276,消失 了,xiao1 shi1   le,115
288,变成 了,bian4 cheng2   le,113
295,做 了,zuo4   le,111
309,过 了,guo4   le,108
319,死 了,si3   le,104
330,了 一 声,le   yi1   sheng1,102
335,回来 了,hui2 lai2   le,101
343,了 一些,le   yi1 xie1,100
352,多 了,duo1   le,99
355,站 了,zhan4   le,98
358,出 了,chu1   le,97
362,打 了,da3   le,95
364,站 了 起来,zhan4   le   qi3 lai2,95
365,离开 了,li2 kai1   le,95
381,了 他们,le   ta1 men,92
395,了 一 口,le   yi1   kou3,90
425,了 那,le   na4,85
427,了 口,le   kou3,85
437,出现 了,chu1 xian4   le,84
438,了 这,le   zhe4,84
467,不见 了,bu2 jian4   le,82
478,不 了,bu4   le,81
482,出来 了,chu1 lai2   le,80
493,听见 了,ting1 jian4   le,79
511,对 了,dui4   le,77
532,坐 了,zuo4   le,75
549,发生 了,fa1 sheng1   le,73
558,了 过去,le   guo4 qu4,72
589,极 了,ji2   le,69
590,了 她,le   ta1,69
596,明白 了,ming2 bai2   le,69
600,了 一 眼,le   yi1   yan3,68
601,了 吧,le   ba,68
602,了 口 气,le   kou3   qi4,68
607,说话 了,shuo1 hua4   le,68
627,成 了,cheng2   le,67
628,了 看,le   kan4,67
639,了 出去,le   chu1 qu4,65
642,有 了,you3   le,65
654,了 两,le   liang3,64
664,摇 了,yao2   le,63
665,看到 了,kan4 dao4   le,63
666,开 了,kai1   le,63
668,进 了,jin4   le,63
672,看 了 看,kan4   le   kan4,63
674,抓住 了,zhua1 zhu4   le,63
682,了 一 句,le   yi1   ju4,62
685,在 了,zai4   le,62
688,了 过来,le   guo4 lai2,62
697,上 了,shang4   le,61
726,打开 了,da3 kai1   le,60
731,了 点,le   dian3,60
777,了 进去,le   jin4 qu4,58
781,了 进来,le   jin4 lai2,57
789,点 了,dian3   le,57
793,打 了 个,da3   le   ge4,57
805,知道 了,zhi1 dao4   le,56
815,是 为了,shi4   wei4 le,56
819,了 你,le   ni3,56
825,了 摇头,le   yao2 tou2,56
