Order Number,Item,Pinyin,Frequency
580,第二 天,di4 er4   tian1,70
864,第二 个,di4 er4   ge4,54
3257,的 第二,de   di4 er4,20
3296,第二 次,di4 er4   ci4,19
3496,十二 个,shi2 er4   ge4,18
3805,第二 个 项目,di4 er4   ge4   xiang4 mu4,17
4252,二 年级,er4   nian2 ji2,16
4620,二十 分钟,er4 shi2   fen1 zhong1,15
4803,第二 天 早晨,di4 er4   tian1   zao3 chen2,14
4930,十二 年,shi2 er4   nian2,14
5742,二十 英尺,er4 shi2   ying1 chi3,13
6660,了 第二,le   di4 er4,11
7252,了 十二,le   shi2 er4,10
9270,的 第二 个,de   di4 er4   ge4,9
10342,有 二十,you3   er4 shi2,8
11062,第二 个 声音,di4 er4   ge4   sheng1 yin1,7
12256,二 楼,er4   lou2,7
12376,有 十二,you3   shi2 er4,7
13336,第二 天 早上,di4 er4   tian1   zao3 shang4,6
13909,二 年级 学生,er4   nian2 ji2   xue2 sheng1,6
13980,八月 二日,ba1 yue4   er4 ri4,6
14493,十二 英尺,shi2 er4   ying1 chi3,6
17703,二十 个,er4 shi2   ge4,5
17722,二月 二十四日,er4 yue4   er4 shi2 si4 ri4,5
17723,二十 分钟 后,er4 shi2   fen1 zhong1   hou4,5
17724,二 年级 的,er4   nian2 ji2   de,5
18273,得 一干二净,de2   yi1 gan1 er4 jing4,5
18406,忘 得 一干二净,wang4   de2   yi1 gan1 er4 jing4,5
20735,在 第二,zai4   di4 er4,5
