Order Number,Item,Pinyin,Frequency
343,了 一些,le   yi1 xie1,100
624,的 那些,de   na4 xie1,67
1200,有 一些,you3   yi1 xie1,43
1255,些 什么,xie1   shen2 me,41
1946,那些 人,na4 xie1   ren2,29
2203,这些 人,zhe4 xie1   ren2,27
2250,有些 人,you3 xie1   ren2,26
2487,的 一些,de   yi1 xie1,24
2494,着 一些,zhe   yi1 xie1,24
2547,显得 有些,xian3 de   you3 xie1,24
2759,把 这些,ba3   zhe4 xie1,22
2971,着 那些,zhe   na4 xie1,21
3229,说 些,shuo1   xie1,20
3636,了 那些,le   na4 xie1,18
3691,说 些 什么,shuo1   xie1   shen2 me,18
3903,那些 摄魂怪,na4 xie1   she4 hun2 guai4,17
4162,有 些,you3   xie1,16
4571,把 那些,ba3   na4 xie1,15
5302,一些 事情,yi1 xie1   shi4 qing2,13
5575,这些 东西,zhe4 xie1   dong1 xi1,13
5578,这些 日子,zhe4 xie1   ri4 zi,13
5797,微微 有些,wei1 wei1   you3 xie1,12
5847,一些 人,yi1 xie1   ren2,12
6007,感到 有些,gan3 dao4   you3 xie1,12
6071,在 说 些 什么,zai4   shuo1   xie1   shen2 me,12
6125,还 有 一些,hai2   you3   yi1 xie1,12
6173,是 那些,shi4   na4 xie1,12
6389,在 说 些,zai4   shuo1   xie1,12
6679,你们 这些,ni3 men   zhe4 xie1,11
7278,声音 有些,sheng1 yin1   you3 xie1,10
7650,把 一些,ba3   yi1 xie1,10
7758,是 一些,shi4   yi1 xie1,10
8342,做 一些,zuo4   yi1 xie1,9
8897,这些 都,zhe4 xie1   dou1,9
9105,他 那些,ta1   na4 xie1,9
9234,的 这些,de   zhe4 xie1,9
9302,的 那些 人,de   na4 xie1   ren2,9
9344,了 些,le   xie1,9
9696,这些 话,zhe4 xie1   hua4,8
10294,这些 书,zhe4 xie1   shu1,8
10483,那些 麻瓜,na4 xie1   ma2 gua1,8
10994,知道 一些,zhi1 dao4   yi1 xie1,7
11103,你 在 说 些,ni3   zai4   shuo1   xie1,7
11104,你 在 说 些 什么,ni3   zai4   shuo1   xie1   shen2 me,7
11129,一些 非常,yi1 xie1   fei1 chang2,7
11173,好 一些,hao3   yi1 xie1,7
11311,了 这些,le   zhe4 xie1,7
11346,做 些 什么,zuo4   xie1   shen2 me,7
11445,这些 人 的,zhe4 xie1   ren2   de,7
11562,里 那些,li3   na4 xie1,7
11974,做 些,zuo4   xie1,7
12208,上 的 那些,shang4   de   na4 xie1,7
12229,是 些,shi4   xie1,7
12303,这些 小,zhe4 xie1   xiao3,7
12304,这些 攻击,zhe4 xie1   gong1 ji1,7
12379,有 哪些,you3   na3 xie1,7
12395,有些 吃惊,you3 xie1   chi1 jing1,7
12529,那些 东西,na4 xie1   dong1 xi1,7
12948,在 那些,zai4   na4 xie1,7
13941,这些 事情,zhe4 xie1   shi4 qing2,6
13944,这些 是,zhe4 xie1   shi4,6
13978,些 什么 呀,xie1   shen2 me   ya,6
14332,得 更 清楚 些,de2   geng4   qing1 chu3   xie1,6
14491,我 一些,wo3   yi1 xie1,6
14654,我们 这些,wo3 men   zhe4 xie1,6
14684,所有 这些,suo3 you3   zhe4 xie1,6
15183,更 清楚 些,geng4   qing1 chu3   xie1,6
15225,有 一些 人,you3   yi1 xie1   ren2,6
15271,有些 紧张,you3 xie1   jin3 zhang1,6
15273,有些 颤抖,you3 xie1   chan4 dou3,6
15288,望 着 那些,wang4   zhe   na4 xie1,6
15443,那些 书,na4 xie1   shu1,6
15569,清楚 些,qing1 chu3   xie1,6
16236,看见 那些,kan4 jian4   na4 xie1,6
16601,你 一些,ni3   yi1 xie1,5
16802,一些 东西,yi1 xie1   dong1 xi1,5
16866,一些 时间,yi1 xie1   shi2 jian1,5
16867,一些 小,yi1 xie1   xiao3,5
17255,让 那些,rang4   na4 xie1,5
17308,说 些 什么 呀,shuo1   xie1   shen2 me   ya,5
17740,这些 事,zhe4 xie1   shi4,5
17800,些 什么 呢,xie1   shen2 me   ne,5
17909,那些 事情,na4 xie1   shi4 qing2,5
17913,那些 被,na4 xie1   bei4,5
17914,那些 日子,na4 xie1   ri4 zi,5
17965,都 有 哪些,dou1   you3   na3 xie1,5
17996,采取 一些,cai3 qu3   yi1 xie1,5
18149,不止 这些,bu4 zhi3   zhe4 xie1,5
18197,需要 一些,xu1 yao4   yi1 xie1,5
18850,所有 那些,suo3 you3   na4 xie1,5
19568,是 这些,shi4   zhe4 xie1,5
19610,他 有些,ta1   you3 xie1,5
20774,在 说 些 什么 呀,zai4   shuo1   xie1   shen2 me   ya,5
