Order Number,Item,Pinyin,Frequency
1897,他 仍然,ta1   reng2 ran2,30
2504,仍 在,reng2   zai4,24
2786,仍然 在,reng2 ran2   zai4,22
4391,眼睛 仍然,yan3 jing1   reng2 ran2,15
5138,仍然 很,reng2 ran2   hen3,14
7006,里 仍然,li3   reng2 ran2,11
7522,仍然 盯,reng2 ran2   ding1,10
7526,仍然 盯 着,reng2 ran2   ding1   zhe,10
8561,仍然 是,reng2 ran2   shi4,9
9483,她 仍然,ta1   reng2 ran2,8
9949,我 仍然,wo3   reng2 ran2,8
10972,但 仍然,dan4   reng2 ran2,7
10976,但 他 仍然,dan4   ta1   reng2 ran2,7
11172,脸上 仍然,lian3 shang4   reng2 ran2,7
11595,一边 仍然,yi1 bian1   reng2 ran2,7
11737,仍然 没有,reng2 ran2   mei2 you3,7
12433,哈利 仍然,ha1 li4   reng2 ran2,7
13325,你 仍然,ni3   reng2 ran2,6
15302,哈利 仍,ha1 li4   reng2,6
15689,他们 仍然,ta1 men   reng2 ran2,6
18501,仍然 不,reng2 ran2   bu4,5
18502,仍 能,reng2   neng2,5
18514,仍然 能,reng2 ran2   neng2,5
18515,仍然 用,reng2 ran2   yong4,5
18523,仍然 认为,reng2 ran2   ren4 wei2,5
20757,的 眼睛 仍然,de   yan3 jing1   reng2 ran2,5
