Order Number,Item,Pinyin,Frequency
629,我 可以,wo3   ke3 yi3,67
699,还 以为,hai2   yi3 wei2,61
924,哈利 可以,ha1 li4   ke3 yi3,52
967,他 可以,ta1   ke3 yi3,50
1015,你 可以,ni3   ke3 yi3,49
1066,就 可以,jiu4   ke3 yi3,47
1227,我们 可以,wo3 men   ke3 yi3,42
1357,可以 看见,ke3 yi3   kan4 jian4,39
1859,他 以前,ta1   yi3 qian2,30
1861,以为 他,yi3 wei2   ta1,30
1928,以前 从,yi3 qian2   cong2,29
1998,以前 从 没,yi3 qian2   cong2   mei2,29
2058,以为 你,yi3 wei2   ni3,28
2076,可以 把,ke3 yi3   ba3,28
2278,我 以为,wo3   yi3 wei2,26
2316,可以 听见,ke3 yi3   ting1 jian4,26
2388,可以 肯定,ke3 yi3   ken3 ding4,25
2459,比 以前,bi3   yi3 qian2,24
2539,以为 是,yi3 wei2   shi4,24
2685,我 还 以为,wo3   hai2   yi3 wei2,23
2689,他 以为,ta1   yi3 wei2,23
2711,所以 我,suo3 yi3   wo3,23
2796,我 以前,wo3   yi3 qian2,22
2825,可以 在,ke3 yi3   zai4,22
2834,哈利 以前,ha1 li4   yi3 qian2,22
2854,他们 可以,ta1 men   ke3 yi3,22
2998,以为 我,yi3 wei2   wo3,21
3029,你们 可以,ni3 men   ke3 yi3,21
3149,以为 自己,yi3 wei2   zi4 ji3,20
3371,所以 他,suo3 yi3   ta1,19
4002,以前 的,yi3 qian2   de,17
4365,哈利 可以 看见,ha1 li4   ke3 yi3   kan4 jian4,16
5066,那 以后,na4   yi3 hou4,14
5087,都 以为,dou1   yi3 wei2,14
5249,哈利 以为,ha1 li4   yi3 wei2,13
5275,你 以为,ni3   yi3 wei2,13
5596,还 可以,hai2   ke3 yi3,13
5663,以前 就,yi3 qian2   jiu4,13
5730,会 以为,hui4   yi3 wei2,13
6131,以为 我们,yi3 wei2   wo3 men,12
6211,从 那 以后,cong2   na4   yi3 hou4,12
6221,不 可以,bu4   ke3 yi3,12
6826,可以 告诉,ke3 yi3   gao4 su4,11
6829,可以 走 了,ke3 yi3   zou3   le,11
6830,可以 跟,ke3 yi3   gen1,11
6886,可以 走,ke3 yi3   zou3,11
6940,哈利 可以 肯定,ha1 li4   ke3 yi3   ken3 ding4,11
7257,有史以来 最,you3 shi3 yi3 lai2   zui4,10
7280,未成年 巫师 加以 合理,wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7281,未成年 巫师 加以,wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
7351,对 未成年 巫师 加以 合理,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7427,都 可以,dou1   ke3 yi3,10
7537,加以 合理,jia1 yi3   he2 li3,10
7653,对 未成年 巫师 加以,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
7708,可以 去,ke3 yi3   qu4,10
7711,可以 感觉,ke3 yi3   gan3 jue2,10
7712,可以 感觉 到,ke3 yi3   gan3 jue2   dao4,10
7713,可以 看到,ke3 yi3   kan4 dao4,10
7714,可以 让,ke3 yi3   rang4,10
7725,还 以为 你,hai2   yi3 wei2   ni3,10
7771,是 可以,shi4   ke3 yi3,10
7780,可以 想象,ke3 yi3   xiang3 xiang4,10
7844,哈利 可以 听见,ha1 li4   ke3 yi3   ting1 jian4,10
8051,以为 会,yi3 wei2   hui4,10
8057,以为 那,yi3 wei2   na4,10
8068,以后 再,yi3 hou4   zai4,10
8147,巫师 加以 合理,wu1 shi1   jia1 yi3   he2 li3,10
8150,巫师 加以,wu1 shi1   jia1 yi3,10
8207,大概 以为,da4 gai4   yi3 wei2,9
8483,当然 可以,dang1 ran2   ke3 yi3,9
8619,原 以为,yuan2   yi3 wei2,9
8798,可以 看出,ke3 yi3   kan4 chu1,9
8802,可以 说,ke3 yi3   shuo1,9
9137,也 可以,ye3   ke3 yi3,9
