Order Number,Item,Pinyin,Frequency
465,伏地魔 的,fu2 di4 mo2   de,82
3241,是 伏地魔,shi4   fu2 di4 mo2,20
3998,在 伏地魔,zai4   fu2 di4 mo2,17
4133,了 伏地魔,le   fu2 di4 mo2,16
4726,和 伏地魔,he2   fu2 di4 mo2,15
7139,伏地魔 回来,fu2 di4 mo2   hui2 lai2,11
7199,着 伏地魔,zhe   fu2 di4 mo2,10
7935,潜伏 在,qian2 fu2   zai4,10
8090,伏地魔 在,fu2 di4 mo2   zai4,10
9280,伏地魔 的 魔杖,fu2 di4 mo2   de   mo2 zhang4,9
10855,伏地魔 轻声,fu2 di4 mo2   qing1 sheng1,8
10998,知道 伏地魔,zhi1 dao4   fu2 di4 mo2,7
12940,伏地魔 回来 了,fu2 di4 mo2   hui2 lai2   le,7
12945,伏地魔 杀死,fu2 di4 mo2   sha1 si3,7
12949,伏地魔 说,fu2 di4 mo2   shuo1,7
13105,了 伏地魔 的,le   fu2 di4 mo2   de,6
13635,让 伏地魔,rang4   fu2 di4 mo2,6
14460,从 伏地魔,cong2   fu2 di4 mo2,6
15047,向 伏地魔,xiang4   fu2 di4 mo2,6
15349,哈利 和 伏地魔,ha1 li4   he2   fu2 di4 mo2,6
16055,伏地魔 又,fu2 di4 mo2   you4,6
16060,伏地魔 怎样,fu2 di4 mo2   zen3 yang4,6
17075,如果 伏地魔,ru2 guo3   fu2 di4 mo2,5
18560,从 伏地魔 的,cong2   fu2 di4 mo2   de,5
19419,是 伏地魔 的,shi4   fu2 di4 mo2   de,5
19594,和 伏地魔 的,he2   fu2 di4 mo2   de,5
20513,在 伏地魔 的,zai4   fu2 di4 mo2   de,5
20805,伏地魔 会,fu2 di4 mo2   hui4,5
20806,伏–– 对不起,fu2 ––  dui4 bu4 qi3,5
20818,伏地魔 就,fu2 di4 mo2   jiu4,5
20820,伏地魔 的 杖尖,fu2 di4 mo2   de   zhang4 jian1,5
20821,伏地魔 把,fu2 di4 mo2   ba3,5
20828,伏地魔 轻声 说,fu2 di4 mo2   qing1 sheng1   shuo1,5
