Order Number,Item,Pinyin,Frequency
763,传来 一,chuan2 lai2   yi1,58
2103,传来 了,chuan2 lai2   le,27
2619,里 传来,li3   chuan2 lai2,23
2875,传来 一 阵,chuan2 lai2   yi1   zhen4,22
3878,身后 传来,shen1 hou4   chuan2 lai2,17
4055,传来 一 声,chuan2 lai2   yi1   sheng1,16
4433,突然 传来,tu1 ran2   chuan2 lai2,15
4742,传来 一 个,chuan2 lai2   yi1   ge4,14
6565,上 传来,shang4   chuan2 lai2,11
6901,远处 传来,yuan3 chu4   chuan2 lai2,11
7234,突然 传来 一,tu1 ran2   chuan2 lai2   yi1,10
8183,地方 传来,di4 fang1   chuan2 lai2,9
8756,身后 传来 一,shen1 hou4   chuan2 lai2   yi1,9
8850,后面 传来,hou4 mian4   chuan2 lai2,9
9346,传出 一,chuan2 chu1   yi1,9
10001,又 传来,you4   chuan2 lai2,8
10943,传来 的,chuan2 lai2   de,8
11037,突然 传来 一 阵,tu1 ran2   chuan2 lai2   yi1   zhen4,7
11107,头 传来,tou2   chuan2 lai2,7
11534,里 传出,li3   chuan2 chu1,7
12327,上传 来,shang4 chuan2   lai2,7
13076,传 了,chuan2   le,7
14112,里 传来 一,li3   chuan2 lai2   yi1,6
15361,那 头 传来,na4   tou2   chuan2 lai2,6
15557,里 传来 了,li3   chuan2 lai2   le,6
15654,猫头鹰 传书,mao1 tou2 ying1   chuan2 shu1,6
15900,他们 身后 传来,ta1 men   shen1 hou4   chuan2 lai2,6
16233,传递 消息,chuan2 di4   xiao1 xi1,6
19362,后面 传来 一,hou4 mian4   chuan2 lai2   yi1,5
20547,的 地方 传来,de   di4 fang1   chuan2 lai2,5
20615,他们 身后 传来 一,ta1 men   shen1 hou4   chuan2 lai2   yi1,5
21050,传来 了 脚步声,chuan2 lai2   le   jiao3 bu4 sheng1,5
