Order Number,Item,Pinyin,Frequency
767,的 身体,de   shen1 ti3,58
2220,的 尸体,de   shi1 ti3,26
6613,自己 的 身体,zi4 ji3   de   shen1 ti3,11
6951,他 的 身体,ta1   de   shen1 ti3,11
8063,的 液体,de   ye4 ti3,10
8359,身体 里,shen1 ti3   li3,9
9837,魔法 体育,mo2 fa3   ti3 yu4,8
10081,把 身体,ba3   shen1 ti3,8
10104,身体 的,shen1 ti3   de,8
11025,体面 的,ti3 mian4   de,7
11194,体育场 的,ti3 yu4 chang3   de,7
11198,体育 运动,ti3 yu4   yun4 dong4,7
13187,塞德里克 的 尸体,sai1 de2 li3 ke4   de   shi1 ti3,6
13347,着 身体,zhe   shen1 ti3,6
16566,体育 运动司,ti3 yu4   yun4 dong4 si1,5
17519,身体 的 重量,shen1 ti3   de   zhong4 liang4,5
19290,整个 体育场,zheng3 ge4   ti3 yu4 chang3,5
19292,整个 身体,zheng3 ge4   shen1 ti3,5
20162,他 身体,ta1   shen1 ti3,5
20464,的 体育场,de   ti3 yu4 chang3,5
20485,的 具体,de   ju4 ti3,5
