Order Number,Item,Pinyin,Frequency
19,你 的,ni3   de,493
106,你 不,ni3   bu4,207
128,你 是,ni3   shi4,184
140,你 知道,ni3   zhi1 dao4,173
141,你 在,ni3   zai4,173
174,你 说,ni3   shuo1,155
196,给 你,gei3   ni3,145
209,如果 你,ru2 guo3   ni3,139
214,是 你,shi4   ni3,136
256,把 你,ba3   ni3,122
401,你 会,ni3   hui4,89
405,你 怎么,ni3   zen3 me,88
406,你 能,ni3   neng2,88
413,知道 你,zhi1 dao4   ni3,87
419,你 好,ni3   hao3,86
480,告诉 你,gao4 su4   ni3,81
492,你 就,ni3   jiu4,79
513,你 这,ni3   zhe4,77
529,你们 的,ni3 men   de,75
571,对 你,dui4   ni3,71
581,跟 你,gen1   ni3,70
605,让 你,rang4   ni3,68
637,你 也,ni3   ye3,65
667,你 还,ni3   hai2,63
788,在 你,zai4   ni3,57
809,你 把,ni3   ba3,56
819,了 你,le   ni3,56
866,你们 俩,ni3 men   lia3,54
876,谢谢 你,xie4 xie4   ni3,53
930,你 看,ni3   kan4,51
954,你 想,ni3   xiang3,51
966,你 没,ni3   mei2,50
983,你 要,ni3   yao4,50
1007,说 你,shuo1   ni3,49
1013,你 认为,ni3   ren4 wei2,49
1015,你 可以,ni3   ke3 yi3,49
1032,你 有,ni3   you3,48
1043,你 一,ni3   yi1,48
1063,你 必须,ni3   bi4 xu1,47
1079,你 为什么,ni3   wei4 shen2 me,46
1099,你 和,ni3   he2,46
1115,你 没有,ni3   mei2 you3,45
1116,你 去,ni3   qu4,45
1190,你们 在,ni3 men   zai4,43
1235,你们 知道,ni3 men   zhi1 dao4,42
1293,希望 你,xi1 wang4   ni3,40
1295,你 了,ni3   le,40
1329,过 你,guo4   ni3,40
1396,你 爸爸,ni3   ba4 ba4,38
1459,你 父亲,ni3   fu4 qin1,37
1468,你们 都,ni3 men   dou1,37
1484,你们 不,ni3 men   bu4,37
1489,把 你 的,ba3   ni3   de,37
1507,你 已经,ni3   yi3 jing1,36
1621,是 你 的,shi4   ni3   de,34
1688,告诉 你们,gao4 su4   ni3 men,33
1716,你 最好,ni3   zui4 hao3,32
1736,你们 两,ni3 men   liang3,32
1819,你 呢,ni3   ne,31
1853,求求 你,qiu2 qiu2   ni3,30
1856,你 自己,ni3   zi4 ji3,30
1871,你 能 不 能,ni3   neng2   bu4   neng2,30
1884,你们 两 个,ni3 men   liang3   ge4,30
1896,你 能 不,ni3   neng2   bu4,30
1972,你 应该,ni3   ying1 gai1,29
1976,如果 你们,ru2 guo3   ni3 men,29
2058,以为 你,yi3 wei2   ni3,28
2073,是 你们,shi4   ni3 men,28
2097,认为 你,ren4 wei2   ni3,28
2111,祝 你,zhu4   ni3,27
2135,请 你,qing3   ni3,27
2139,你 没 事,ni3   mei2   shi4,27
2200,想 你,xiang3   ni3,27
2225,你 不 能,ni3   bu4   neng2,26
2253,你 没 事 吧,ni3   mei2   shi4   ba,26
2261,你 需要,ni3   xu1 yao4,26
2340,你 再,ni3   zai4,25
2360,你 来,ni3   lai2,25
2409,你 不 会,ni3   bu4   hui4,25
2427,使 你,shi3   ni3,25
2428,和 你,he2   ni3,25
2447,我 想 你,wo3   xiang3   ni3,24
2455,我 知道 你,wo3   zhi1 dao4   ni3,24
2496,为 你,wei4   ni3,24
2602,你 是 不,ni3   shi4   bu4,23
2651,你 给,ni3   gei3,23
2654,你 很,ni3   hen3,23
2698,你 不 是,ni3   bu4   shi4,23
2713,那 你,na4   ni3,23
2740,告诉 过 你,gao4 su4   guo4   ni3,22
2778,你 现在,ni3   xian4 zai4,22
2802,给 你们,gei3   ni3 men,22
2805,你 看看,ni3   kan4 kan4,22
2813,你 真的,ni3   zhen1 de,22
2829,你 不 知道,ni3   bu4   zhi1 dao4,22
2836,不 知道 你,bu4   zhi1 dao4   ni3,22
2857,你们 说,ni3 men   shuo1,22
2869,你 做,ni3   zuo4,22
2876,看 你,kan4   ni3,22
2880,看见 你,kan4 jian4   ni3,21
2889,向 你,xiang4   ni3,21
2938,要 你,yao4   ni3,21
2944,你 是 怎么,ni3   shi4   zen3 me,21
2946,你 这 是,ni3   zhe4   shi4,21
2997,你 说 什么,ni3   shuo1   shen2 me,21
3029,你们 可以,ni3 men   ke3 yi3,21
3033,见到 你,jian4 dao4   ni3,21
3062,你 对,ni3   dui4,21
3078,相信 你,xiang1 xin4   ni3,21
3092,你 吧,ni3   ba,20
3099,着 你,zhe   ni3,20
3123,你 这 个,ni3   zhe4   ge4,20
3155,让 你们,rang4   ni3 men,20
3160,有 你,you3   ni3,20
3163,但 你,dan4   ni3,20
3175,你 的 名字,ni3   de   ming2 zi4,20
3185,你 真,ni3   zhen1,20
3189,你 知道 吗,ni3   zhi1 dao4   ma,20
3196,像 你,xiang4   ni3,20
3271,了 你 的,le   ni3   de,19
3298,等 你,deng3   ni3,19
3303,难道 你,nan2 dao4   ni3,19
3310,你 愿意,ni3   yuan4 yi4,19
3313,你 是 不 是,ni3   shi4   bu4   shi4,19
3329,你们 大家,ni3 men   da4 jia1,19
3462,你 说 过,ni3   shuo1   guo4,19
3479,你 一定,ni3   yi2 ding4,19
3519,对 你 说,dui4   ni3   shuo1,18
3552,你 可,ni3   ke3,18
3555,你 告诉,ni3   gao4 su4,18
3558,给 你 的,gei3   ni3   de,18
3596,你 有没有,ni3   you3 mei2 you3,18
3612,你 父母,ni3   fu4 mu3,18
3630,把 你们,ba3   ni3 men,18
3632,你 看见,ni3   kan4 jian4,18
3642,不过 你,bu4 guo4   ni3,18
3699,你 一 个,ni3   yi1   ge4,18
3765,你 听,ni3   ting1,17
3774,跟 你 说,gen1   ni3   shuo1,17
3788,祝 你 好运,zhu4   ni3   hao3 yun4,17
3807,不 是 你,bu4   shi4   ni3,17
3820,你 好运,ni3   hao3 yun4,17
3831,你 是 个,ni3   shi4   ge4,17
3849,你 肯定,ni3   ken3 ding4,17
3868,你 是 说,ni3   shi4   shuo1,17
3925,可 你,ke3   ni3,17
4034,你 别,ni3   bie2,17
4103,你 从,ni3   cong2,16
4114,你 吗,ni3   ma,16
4117,你 在 说,ni3   zai4   shuo1,16
4118,你 大概,ni3   da4 gai4,16
4120,你 妈妈,ni3   ma1 ma1,16
4129,你 怎么 知道,ni3   zen3 me   zhi1 dao4,16
4145,你 的 父母,ni3   de   fu4 mu3,16
4156,如果 你 不,ru2 guo3   ni3   bu4,16
