Order Number,Item,Pinyin,Frequency
1777,倒 在,dao4   zai4,31
2935,倒 是,dao4   shi4,21
3165,我 倒,wo3   dao4,20
3572,倒 了,dao4   le,18
4552,倒霉 的,dao3 mei2   de,15
5287,倒抽 了 一,dao4 chou1   le   yi1,13
5467,倒抽 了,dao4 chou1   le,13
5484,倒抽 了 一 口,dao4 chou1   le   yi1   kou3,13
6083,瘫倒 在,tan1 dao4   zai4,12
6113,摔倒 在,shuai1 dao3   zai4,12
6857,这 倒,zhe4   dao4,11
7623,倒抽 了 一 口 冷气,dao4 chou1   le   yi1   kou3   leng3 qi4,10
7753,昏昏 倒地,hun1 hun1   dao3 di4,10
8676,倒 不,dao4   bu4,9
8699,扑倒 在,pu1 dao4   zai4,9
8906,晕倒 了,yun1 dao3   le,9
10168,摔倒 在 地,shuai1 dao3   zai4   di4,8
11345,跌倒 在,die1 dao3   zai4,7
11915,倒 吸,dao4   xi1,7
13730,倒 想,dao4   xiang3,6
13772,跪倒 在,gui4 dao3   zai4,6
14019,那 倒,na4   dao4,6
14517,我 倒 想,wo3   dao4   xiang3,6
14937,撞倒 了,zhuang4 dao4   le,6
15558,里 倒,li3   dao4,6
16758,绊倒 了,ban4 dao3   le,5
16880,翻倒 巷,fan1 dao3   xiang4,5
19204,摔倒 了,shuai1 dao3   le,5
19615,更 倒霉,geng4   dao3 mei2,5
