Order Number,Item,Pinyin,Frequency
535,不 停,bu4   ting2,75
799,不停 地,bu4 ting2   di4,57
1110,停止 了,ting2 zhi3   le,45
1498,个 不 停,ge4   bu4   ting2,36
1515,停 地,ting2   di4,36
1542,不 停 地,bu4   ting2   di4,36
1646,停住 了,ting2 zhu4   le,34
2014,停 在,ting2   zai4,28
2066,停住 脚步,ting2 zhu4   jiao3 bu4,28
2089,停 下来,ting2   xia4 lai2,28
3376,停 了,ting2   le,19
5510,停下 脚步,ting2 xia4   jiao3 bu4,13
6809,停 了 下来,ting2   le   xia4 lai2,11
7311,突然 停住,tu1 ran2   ting2 zhu4,10
8688,他 不停,ta1   bu4 ting2,9
8690,他 不停 地,ta1   bu4 ting2   di4,9
8767,停下 了,ting2 xia4   le,9
11038,突然 停住 了,tu1 ran2   ting2 zhu4   le,7
11370,停住 话头,ting2 zhu4   hua4 tou2,7
11762,说 个 不 停,shuo1   ge4   bu4   ting2,7
11998,他 停住,ta1   ting2 zhu4,7
12554,都 停止 了,dou1   ting2 zhi3   le,7
12559,都 停止,dou1   ting2 zhi3,7
12678,猛地 停住,meng3 di4   ting2 zhu4,7
14625,又 停住,you4   ting2 zhu4,6
15778,在 不停,zai4   bu4 ting2,6
15782,在 不停 地,zai4   bu4 ting2   di4,6
16610,突然 停止,tu1 ran2   ting2 zhi3,5
17542,停 在 一,ting2   zai4   yi1,5
17550,停住 了 脚步,ting2 zhu4   le   jiao3 bu4,5
17556,停靠 在,ting2 kao4   zai4,5
20083,没有 停 下来,mei2 you3   ting2   xia4 lai2,5
20084,没有 停,mei2 you3   ting2,5
