Order Number,Item,Pinyin,Frequency
1256,孪生 兄弟,luan2 sheng1   xiong1 di4,41
4879,韦斯莱 兄弟,wei2 si1 lai2   xiong1 di4,14
5698,兄弟 中,xiong1 di4   zhong1,13
5756,韦斯莱 孪生 兄弟,wei2 si1 lai2   luan2 sheng1   xiong1 di4,13
7474,孪生 兄弟 中,luan2 sheng1   xiong1 di4   zhong1,10
8385,兄弟 中 的,xiong1 di4   zhong1   de,9
9548,孪生 兄弟 中 的,luan2 sheng1   xiong1 di4   zhong1   de,8
11415,兄弟 俩,xiong1 di4   lia3,7
13704,对 孪生 兄弟,dui4   luan2 sheng1   xiong1 di4,6
13895,兄弟 的,xiong1 di4   de,6
17205,孪生 兄弟 中 的 一 个,luan2 sheng1   xiong1 di4   zhong1   de   yi1   ge4,5
17210,孪生 兄弟 中 的 一,luan2 sheng1   xiong1 di4   zhong1   de   yi1,5
17662,兄弟 中 的 一 个,xiong1 di4   zhong1   de   yi1   ge4,5
17664,兄弟 中 的 一,xiong1 di4   zhong1   de   yi1,5
20584,的 孪生 兄弟,de   luan2 sheng1   xiong1 di4,5
