Order Number,Item,Pinyin,Frequency
75,格兰芬 多,ge2 lan2 fen1   duo1,261
542,格兰芬 多 的,ge2 lan2 fen1   duo1   de,74
1203,格兰芬 多 塔楼,ge2 lan2 fen1   duo1   ta3 lou2,43
1222,格兰芬 多 队,ge2 lan2 fen1   duo1   dui4,42
1308,格兰杰 小姐,ge2 lan2 jie2   xiao3 jie3,40
2036,在 格兰芬,zai4   ge2 lan2 fen1,28
2046,在 格兰芬 多,zai4   ge2 lan2 fen1   duo1,28
2872,格兰芬多 学院,ge2 lan2 fen1 duo1   xue2 yuan4,22
3976,格兰芬 多 队 的,ge2 lan2 fen1   duo1   dui4   de,17
5180,格拉普兰 教授,ge2 la1 pu3 lan2   jiao4 shou4,14
5277,格兰芬 多 的 公共 休息室,ge2 lan2 fen1   duo1   de   gong1 gong4   xiu1 xi1 shi4,13
5338,了 格兰芬,le   ge2 lan2 fen1,13
5488,了 格兰芬 多,le   ge2 lan2 fen1   duo1,13
5620,格兰芬 多 公共 休息室,ge2 lan2 fen1   duo1   gong1 gong4   xiu1 xi1 shi4,13
5621,格兰芬 多 公共,ge2 lan2 fen1   duo1   gong1 gong4,13
5622,格兰芬 多 的 公共,ge2 lan2 fen1   duo1   de   gong1 gong4,13
5684,爱尔兰队 的,ai4 er3 lan2 dui4   de,13
5887,格兰芬 多 的 学生,ge2 lan2 fen1   duo1   de   xue2 sheng1,12
6206,木兰 花,mu4 lan2   hua1,12
6881,是 格兰芬 多,shi4   ge2 lan2 fen1   duo1,11
6882,是 格兰芬,shi4   ge2 lan2 fen1,11
6954,格兰芬多 学院 的,ge2 lan2 fen1 duo1   xue2 yuan4   de,11
8050,在 格兰芬 多 的,zai4   ge2 lan2 fen1   duo1   de,10
8052,的 格兰芬 多,de   ge2 lan2 fen1   duo1,10
8053,的 格兰芬,de   ge2 lan2 fen1,10
8993,格兰芬多 的,ge2 lan2 fen1 duo1   de,9
10280,是 格兰芬多,shi4   ge2 lan2 fen1 duo1,8
10425,格兰芬 多 塔楼 的,ge2 lan2 fen1   duo1   ta3 lou2   de,8
10428,格兰芬多 球队,ge2 lan2 fen1 duo1   qiu2 dui4,8
10446,为 格兰芬,wei4   ge2 lan2 fen1,8
10450,为 格兰芬 多,wei4   ge2 lan2 fen1   duo1,8
11100,给 格兰芬,gei3   ge2 lan2 fen1,7
11101,给 格兰芬 多,gei3   ge2 lan2 fen1   duo1,7
11356,给 格兰芬多,gei3   ge2 lan2 fen1 duo1,7
11388,返回 格兰芬,fan3 hui2   ge2 lan2 fen1,7
12131,返回 格兰芬 多,fan3 hui2   ge2 lan2 fen1   duo1,7
12425,木兰 花 新月,mu4 lan2   hua1   xin1 yue4,7
12427,木兰 花 新月 街,mu4 lan2   hua1   xin1 yue4   jie1,7
12467,格兰芬 多 的 桌子,ge2 lan2 fen1   duo1   de   zhuo1 zi,7
12468,格兰芬 多 的 公共 休息室 里,ge2 lan2 fen1   duo1   de   gong1 gong4   xiu1 xi1 shi4   li3,7
12469,格兰芬 多 赢得,ge2 lan2 fen1   duo1   ying2 de2,7
12889,的 格兰芬多,de   ge2 lan2 fen1 duo1,7
13843,返回 格兰芬 多 塔楼,fan3 hui2   ge2 lan2 fen1   duo1   ta3 lou2,6
15370,格兰芬 多 塔楼 里,ge2 lan2 fen1   duo1   ta3 lou2   li3,6
15631,爱尔兰 的,ai4 er3 lan2   de,6
15701,回到 格兰芬,hui2 dao4   ge2 lan2 fen1,6
15707,回到 格兰芬 多,hui2 dao4   ge2 lan2 fen1   duo1,6
15963,在 格兰芬 多 塔楼,zai4   ge2 lan2 fen1   duo1   ta3 lou2,6
17010,好 朋友 赫敏•格兰杰,hao3   peng2 you3   he4 min3 • ge2 lan2 jie2,5
17044,了 格兰芬多,le   ge2 lan2 fen1 duo1,5
19513,是 格兰芬多 学院 的,shi4   ge2 lan2 fen1 duo1   xue2 yuan4   de,5
19514,是 格兰芬多 学院,shi4   ge2 lan2 fen1 duo1   xue2 yuan4,5
19515,是 格兰芬 多 的,shi4   ge2 lan2 fen1   duo1   de,5
19652,和 格兰杰,he2   ge2 lan2 jie2,5
19737,朋友 赫敏•格兰杰,peng2 you3   he4 min3 • ge2 lan2 jie2,5
19775,朝格兰芬 多,chao2 ge2 lan2 fen1   duo1,5
19882,格兰芬 多 餐桌,ge2 lan2 fen1   duo1   can1 zhuo1,5
19893,格兰芬多 的 其他,ge2 lan2 fen1 duo1   de   qi2 ta1,5
20393,回格兰芬 多 塔楼,hui2 ge2 lan2 fen1   duo1   ta3 lou2,5
20394,回格兰芬 多,hui2 ge2 lan2 fen1   duo1,5
20659,在 木兰 花,zai4   mu4 lan2   hua1,5
20660,在 木兰,zai4   mu4 lan2,5
20672,在 格兰芬多,zai4   ge2 lan2 fen1 duo1,5
