Order Number,Item,Pinyin,Frequency
213,公共 休息室,gong1 gong4   xiu1 xi1 shi4,137
938,公共 休息室 里,gong1 gong4   xiu1 xi1 shi4   li3,51
1422,的 公共,de   gong1 gong4,38
1530,的 公共 休息室,de   gong1 gong4   xiu1 xi1 shi4,36
2368,公共 汽车,gong1 gong4   qi4 che1,25
2699,在 公共,zai4   gong1 gong4,23
2787,在 公共 休息室,zai4   gong1 gong4   xiu1 xi1 shi4,22
3511,骑士 公共 汽车,qi2 shi4   gong1 gong4   qi4 che1,18
3710,骑士 公共,qi2 shi4   gong1 gong4,18
4681,在 公共 休息室 里,zai4   gong1 gong4   xiu1 xi1 shi4   li3,15
4782,多 的 公共 休息室,duo1   de   gong1 gong4   xiu1 xi1 shi4,14
4783,多 的 公共,duo1   de   gong1 gong4,14
5211,多 公共,duo1   gong1 gong4,13
5246,多 公共 休息室,duo1   gong1 gong4   xiu1 xi1 shi4,13
5277,格兰芬 多 的 公共 休息室,ge2 lan2 fen1   duo1   de   gong1 gong4   xiu1 xi1 shi4,13
5620,格兰芬 多 公共 休息室,ge2 lan2 fen1   duo1   gong1 gong4   xiu1 xi1 shi4,13
5621,格兰芬 多 公共,ge2 lan2 fen1   duo1   gong1 gong4,13
5622,格兰芬 多 的 公共,ge2 lan2 fen1   duo1   de   gong1 gong4,13
5823,了 公共,le   gong1 gong4,12
6327,的 公共 休息室 里,de   gong1 gong4   xiu1 xi1 shi4   li3,12
6470,了 公共 休息室,le   gong1 gong4   xiu1 xi1 shi4,11
7410,公共 休息室 的,gong1 gong4   xiu1 xi1 shi4   de,10
7826,公共 休息室 里 的,gong1 gong4   xiu1 xi1 shi4   li3   de,10
11190,多 的 公共 休息室 里,duo1   de   gong1 gong4   xiu1 xi1 shi4   li3,7
12468,格兰芬 多 的 公共 休息室 里,ge2 lan2 fen1   duo1   de   gong1 gong4   xiu1 xi1 shi4   li3,7
13466,一共 有,yi1 gong4   you3,6
15698,回到 公共 休息室,hui2 dao4   gong1 gong4   xiu1 xi1 shi4,6
15700,回到 公共,hui2 dao4   gong1 gong4,6
17798,公共 休息室 时,gong1 gong4   xiu1 xi1 shi4   shi2,5
