Order Number,Item,Pinyin,Frequency
416,其他 人,qi2 ta1   ren2,87
1242,的 其他,de   qi2 ta1,42
1444,和 其他,he2   qi2 ta1,37
1650,其他 同学,qi2 ta1   tong2 xue2,34
2226,其中 一,qi2 zhong1   yi1,26
3806,其他 人 都,qi2 ta1   ren2   dou1,17
3922,其中 一 个,qi2 zhong1   yi1   ge4,17
5193,和 其他 人,he2   qi2 ta1   ren2,13
5906,其他 队员,qi2 ta1   dui4 yuan2,12
7373,其他 老师,qi2 ta1   lao3 shi1,10
7857,其他 勇士,qi2 ta1   yong3 shi4,10
8984,哈利 和 其他,ha1 li4   he2   qi2 ta1,9
9188,的 其他 同学,de   qi2 ta1   tong2 xue2,9
10418,其中 的,qi2 zhong1   de,8
10431,其他 同学 都,qi2 ta1   tong2 xue2   dou1,8
10441,其他 的,qi2 ta1   de,8
12373,有 其他,you3   qi2 ta1,7
12461,其中 两,qi2 zhong1   liang3,7
12482,其他 学生,qi2 ta1   xue2 sheng1,7
12528,比 其他,bi3   qi2 ta1,7
13863,还 有 其他,hai2   you3   qi2 ta1,6
14025,其中 两 个,qi2 zhong1   liang3   ge4,6
14644,上 其他,shang4   qi2 ta1,6
15351,哈利 和 其他 人,ha1 li4   he2   qi2 ta1   ren2,6
15398,其实 他,qi2 shi2   ta1,6
16340,了 其他,le   qi2 ta1,5
17602,像 其他,xiang4   qi2 ta1,5
17855,其 后,qi2   hou4,5
17857,其他 东西,qi2 ta1   dong1 xi1,5
17859,其他 人 的,qi2 ta1   ren2   de,5
17864,其他 同学 一起,qi2 ta1   tong2 xue2   yi4 qi3,5
17871,其他 巫师,qi2 ta1   wu1 shi1,5
17878,其余 的,qi2 yu2   de,5
17884,其实 不,qi2 shi2   bu4,5
17899,其实 根本,qi2 shi2   gen1 ben3,5
18060,里 的 其他,li3   de   qi2 ta1,5
18844,上 其他 同学,shang4   qi2 ta1   tong2 xue2,5
18875,及 其,ji2   qi2,5
19893,格兰芬多 的 其他,ge2 lan2 fen1 duo1   de   qi2 ta1,5
20343,班 上 其他 同学,ban1   shang4   qi2 ta1   tong2 xue2,5
20345,班 上 其他,ban1   shang4   qi2 ta1,5
20486,的 其他 学生,de   qi2 ta1   xue2 sheng1,5
20491,的 其他 人,de   qi2 ta1   ren2,5
