Order Number,Item,Pinyin,Frequency
315,家养 小,jia1 yang3   xiao3,105
329,家养 小 精灵,jia1 yang3   xiao3   jing1 ling2,102
1798,的 家养,de   jia1 yang3,31
2572,的 家养 小 精灵,de   jia1 yang3   xiao3   jing1 ling2,23
2722,的 家养 小,de   jia1 yang3   xiao3,23
3943,个 家养,ge4   jia1 yang3,17
4522,家养 小精灵,jia1 yang3   xiao3 jing1 ling2,15
5408,家养 小 精灵 的,jia1 yang3   xiao3   jing1 ling2   de,13
5560,个 家养 小,ge4   jia1 yang3   xiao3,13
5563,个 家养 小 精灵,ge4   jia1 yang3   xiao3   jing1 ling2,13
6970,一 个 家养,yi1   ge4   jia1 yang3,11
9052,一 个 家养 小,yi1   ge4   jia1 yang3   xiao3,9
9145,一 个 家养 小 精灵,yi1   ge4   jia1 yang3   xiao3   jing1 ling2,9
11040,着 家养,zhe   jia1 yang3,7
12412,他 的 家养,ta1   de   jia1 yang3,7
12416,他 的 家养 小,ta1   de   jia1 yang3   xiao3,7
12420,他 的 家养 小 精灵,ta1   de   jia1 yang3   xiao3   jing1 ling2,7
12830,的 家养 小精灵,de   jia1 yang3   xiao3 jing1 ling2,7
13140,着 家养 小,zhe   jia1 yang3   xiao3,6
13143,着 家养 小 精灵,zhe   jia1 yang3   xiao3   jing1 ling2,6
15098,是 家养 小,shi4   jia1 yang3   xiao3,6
15099,是 家养 小 精灵,shi4   jia1 yang3   xiao3   jing1 ling2,6
15100,是 家养,shi4   jia1 yang3,6
18290,饲养 火龙,si4 yang3   huo3 long2,5
