Order Number,Item,Pinyin,Frequency
1254,有 翼 兽,you3   yi4   shou4,41
1258,翼 兽,yi4   shou4,41
1283,马身 有 翼 兽,ma3 shen1   you3   yi4   shou4,41
1369,头 马身 有 翼 兽,tou2   ma3 shen1   you3   yi4   shou4,39
1487,鹰 头 马身 有 翼 兽,ying1   tou2   ma3 shen1   you3   yi4   shou4,37
4538,独角兽 的,du2 jiao3 shou4   de,15
6918,有 翼兽,you3   yi4 shou4,11
7148,马身 有 翼兽,ma3 shen1   you3   yi4 shou4,11
7372,头 马身 有 翼兽,tou2   ma3 shen1   you3   yi4 shou4,10
8521,鹰 头 马身 有 翼兽,ying1   tou2   ma3 shen1   you3   yi4 shou4,9
12059,只 独角兽,zhi3   du2 jiao3 shou4,7
13242,石头 怪兽,shi2 tou   guai4 shou4,6
15923,的 怪兽,de   guai4 shou4,6
16798,头 怪兽,tou2   guai4 shou4,5
16812,头 马身 有 翼兽 的,tou2   ma3 shen1   you3   yi4 shou4   de,5
16879,翼兽 的,yi4 shou4   de,5
18306,马身 有 翼兽 的,ma3 shen1   you3   yi4 shou4   de,5
19454,一 只 独角兽,yi1   zhi3   du2 jiao3 shou4,5
19530,是 独角兽,shi4   du2 jiao3 shou4,5
19726,有 翼兽 的,you3   yi4 shou4   de,5
20299,独角兽 的 血,du2 jiao3 shou4   de   xue4,5
