Order Number,Item,Pinyin,Frequency
516,再 也,zai4   ye3,76
578,不 再,bu4   zai4,70
1226,再 说,zai4   shuo1,42
1384,再 也 不,zai4   ye3   bu4,38
1934,能 再,neng2   zai4,29
2032,他 再,ta1   zai4,28
2324,我 再,wo3   zai4,25
2340,你 再,ni3   zai4,25
2764,不 能 再,bu4   neng2   zai4,22
2841,想 再,xiang3   zai4,22
3039,别 再,bie2   zai4,21
3318,要 再,yao4   zai4,19
3378,再 过,zai4   guo4,19
3695,再 去,zai4   qu4,18
3984,再 把,zai4   ba3,17
4472,再 来,zai4   lai2,15
4644,再 一,zai4   yi1,15
4698,会 再,hui4   zai4,15
4838,再 有,zai4   you3,14
5212,不 想 再,bu4   xiang3   zai4,13
5311,再 一 次,zai4   yi1   ci4,13
5521,不 要 再,bu4   yao4   zai4,13
5649,再 说 一,zai4   shuo1   yi1,13
5909,我们 再,wo3 men   zai4,12
6105,就 再,jiu4   zai4,12
6577,再 也 不 能,zai4   ye3   bu4   neng2,11
6622,再 跟,zai4   gen1,11
6991,没有 再,mei2 you3   zai4,11
7659,他 再 也,ta1   zai4   ye3,10
7878,再 也 没有,zai4   ye3   mei2 you3,10
7892,再 给,zai4   gei3,10
7894,再 试,zai4   shi4,10
8068,以后 再,yi3 hou4   zai4,10
8443,再 不,zai4   bu4,9
8458,再 谈,zai4   tan2,9
8599,我 再 也,wo3   zai4   ye3,9
9016,再 也 不 会,zai4   ye3   bu4   hui4,9
9751,再 是,zai4   shi4,8
9755,再 试 一 次,zai4   shi4   yi1   ci4,8
9758,再 说 什么,zai4   shuo1   shen2 me,8
10151,就 再 也,jiu4   zai4   ye3,8
10404,哈利 再,ha1 li4   zai4,8
10482,再 加,zai4   jia1,8
10502,再 试 一,zai4   shi4   yi1,8
10537,再见 吧,zai4 jian4   ba,8
10594,然后 再,ran2 hou4   zai4,8
10605,不 会 再,bu4   hui4   zai4,8
10731,不 再 是,bu4   zai4   shi4,8
11504,再 做,zai4   zuo4,7
11513,再 看看,zai4   kan4 kan4,7
11821,我 再 也 不,wo3   zai4   ye3   bu4,7
12566,再 说话,zai4   shuo1 hua4,7
13128,了 再,le   zai4,6
14067,再 多,zai4   duo1,6
14084,再 说 一 个,zai4   shuo1   yi1   ge4,6
15294,哈利 不再,ha1 li4   bu4 zai4,6
15479,再 说 一 个 字,zai4   shuo1   yi1   ge4   zi4,6
15517,再 说 一 遍,zai4   shuo1   yi1   bian4,6
15625,也 不 再,ye3   bu4   zai4,6
15711,他们 再,ta1 men   zai4,6
15897,需要 再,xu1 yao4   zai4,6
16898,她 再,ta1   zai4,5
17786,已经 不 再,yi3 jing1   bu4   zai4,5
17912,再 仔细,zai4   zi3 xi4,5
17923,再 往,zai4   wang3,5
17927,再 待,zai4   dai4,5
17934,再 给 你,zai4   gei3   ni3,5
17936,再 见到,zai4   jian4 dao4,5
17952,再 说 下去,zai4   shuo1   xia4 qu4,5
17969,应该 再,ying1 gai1   zai4,5
17972,再 问,zai4   wen4,5
17975,再见 了,zai4 jian4   le,5
17976,再 过 几,zai4   guo4   ji3,5
17977,再 走近,zai4   zou3 jin4,5
18859,他 不再,ta1   bu4 zai4,5
19247,可能 再,ke3 neng2   zai4,5
19277,敢 再,gan3   zai4,5
20045,没 再,mei2   zai4,5
