Order Number,Item,Pinyin,Frequency
2238,冒 了,mao4   le,26
2386,冒 了 出来,mao4   le   chu1 lai2,25
4711,冒出 一,mao4 chu1   yi1,15
5035,冒 出来,mao4   chu1 lai2,14
5659,冒 着,mao4   zhe,13
5977,里 冒,li3   mao4,12
6884,冒出 了,mao4 chu1   le,11
9764,里 冒 了,li3   mao4   le,8
10565,里 冒 了 出来,li3   mao4   le   chu1 lai2,8
12621,里 冒出,li3   mao4 chu1,7
14105,冒烟 的,mao4 yan1   de,6
16134,地 冒,di4   mao4,6
16609,突然 冒出,tu1 ran2   mao4 chu1,5
17994,冒 出来 的,mao4   chu1 lai2   de,5
18832,上 冒出,shang4   mao4 chu1,5
20490,的 冒险,de   mao4 xian3,5
