Order Number,Item,Pinyin,Frequency
1570,冰冷 的,bing1 leng3   de,35
2287,冷冰冰 的,leng3 bing1 bing1   de,26
2626,冷冷 地,leng3 leng3   di4,23
2895,口 冷气,kou3   leng3 qi4,21
3447,一 口 冷气,yi1   kou3   leng3 qi4,19
4270,冷冷 地 说,leng3 leng3   di4   shuo1,16
4548,了 一 口 冷气,le   yi1   kou3   leng3 qi4,15
5009,寒冷 的,han2 leng3   de,14
6324,冰冷 的 声音,bing1 leng3   de   sheng1 yin1,12
7338,寒冷 刺骨,han2 leng3   ci4 gu3,10
7623,倒抽 了 一 口 冷气,dao4 chou1   le   yi1   kou3   leng3 qi4,10
7931,哈利冷冷 地,ha1 li4 leng3 leng3   di4,10
8471,冷酷 的,leng3 ku4   de,9
9090,哈利冷冷 地 说,ha1 li4 leng3 leng3   di4   shuo1,9
9724,那 冰冷,na4   bing1 leng3,8
10410,那 冰冷 的,na4   bing1 leng3   de,8
11555,冷冰冰 地,leng3 bing1 bing1   di4,7
11561,冷漠 的,leng3 mo4   de,7
12164,斯内普冷冷 地,si1 nei4 pu3 leng3 leng3   di4,7
12679,冷酷 的 声音,leng3 ku4   de   sheng1 yin1,7
14021,那 冰冷 的 声音,na4   bing1 leng3   de   sheng1 yin1,6
14136,冷 又,leng3   you4,6
14143,冷冷 的,leng3 leng3   de,6
14146,冷静 地,leng3 jing4   di4,6
14624,又 冷,you4   leng3,6
14628,又 冷 又,you4   leng3   you4,6
15000,斯内普冷冷 地 说,si1 nei4 pu3 leng3 leng3   di4   shuo1,6
17680,先生 冷冷,xian1 sheng1   leng3 leng3,5
18059,冷 了,leng3   le,5
18063,冷冰冰 地 说,leng3 bing1 bing1   di4   shuo1,5
18064,冷 得,leng3   de2,5
18092,冷静 地 说,leng3 jing4   di4   shuo1,5
18961,个 冰冷 的,ge4   bing1 leng3   de,5
18962,个 冰冷,ge4   bing1 leng3,5
