Order Number,Item,Pinyin,Frequency
2604,准备 好,zhun3 bei4   hao3,23
2715,不 准,bu4   zhun3,23
3070,准备 好 了,zhun3 bei4   hao3   le,21
5274,你 准备,ni3   zhun3 bei4,13
6802,做好 准备,zuo4 hao3   zhun3 bei4,11
7041,准备 好 了 吗,zhun3 bei4   hao3   le   ma,11
7962,准 是,zhun3   shi4,10
8304,标准 咒语,biao1 zhun3   zhou4 yu3,9
9132,准备 了,zhun3 bei4   le,9
10120,拿 不 准,na2   bu4   zhun3,8
11569,准备 离开,zhun3 bei4   li2 kai1,7
12013,他 准备,ta1   zhun3 bei4,7
13131,了 准备,le   zhun3 bei4,6
13726,对准 了,dui4 zhun3   le,6
14520,我 准备,wo3   zhun3 bei4,6
17528,做好 了 准备,zuo4 hao3   le   zhun3 bei4,5
18091,准备 一,zhun3 bei4   yi1,5
18110,准确 地,zhun3 que4   di4,5
18799,我们 准备,wo3 men   zhun3 bei4,5
19925,正 准备,zheng4   zhun3 bei4,5
20386,他们 准备,ta1 men   zhun3 bei4,5
