Order Number,Item,Pinyin,Frequency
766,分钟 后,fen1 zhong1   hou4,58
1022,十 分钟,shi2   fen1 zhong1,48
1446,五 分钟,wu3   fen1 zhong1,37
1538,分院 帽,fen1 yuan4   mao4,36
1541,一 分钟,yi1   fen1 zhong1,36
2079,几 分钟,ji3   fen1 zhong1,28
3759,一 部分,yi1   bu4 fen4,17
4053,十 分钟 后,shi2   fen1 zhong1   hou4,16
4369,显得 十分,xian3 de   shi2 fen1,16
4620,二十 分钟,er4 shi2   fen1 zhong1,15
5356,被 分到,bei4   fen1 dao4,13
5932,五 分钟 后,wu3   fen1 zhong1   hou4,12
5968,一 分,yi1   fen1,12
6406,五 分,wu3   fen1,12
6633,几 分钟 后,ji3   fen1 zhong1   hou4,11
7158,分院 仪式,fen1 yuan4   yi2 shi4,11
7737,的 分儿 上,de   fen1 er2   shang4,10
7999,的 分儿,de   fen1 er2,10
8091,分儿 上,fen1 er2   shang4,10
8417,老天 的 分儿 上,lao3 tian1   de   fen1 er2   shang4,9
8441,老天 的 分儿,lao3 tian1   de   fen1 er2,9
9122,了 一 分钟,le   yi1   fen1 zhong1,9
9165,的 一 部分,de   yi1   bu4 fen4,9
9198,一 分钟 后,yi1   fen1 zhong1   hou4,9
9281,分成 两,fen1 cheng2   liang3,9
9424,大部分 时间,da4 bu4 fen4   shi2 jian1,8
9449,太 过分 了,tai4   guo4 fen4   le,8
9617,太 过分,tai4   guo4 fen4,8
9660,过分 了,guo4 fen4   le,8
10700,的 分数,de   fen1 shu4,8
10925,得分 了,de2 fen1   le,8
11018,神情 十分,shen2 qing2   shi2 fen1,7
11653,分钟 前,fen1 zhong1   qian2,7
11655,分钟 就,fen1 zhong1   jiu4,7
11781,感到 十分,gan3 dao4   shi2 fen1,7
11802,十分 震惊,shi2 fen1   zhen4 jing1,7
11837,两 分钟,liang3   fen1 zhong1,7
12027,他 十分,ta1   shi2 fen1,7
12377,有 十 分钟,you3   shi2   fen1 zhong1,7
12813,的 大部分,de   da4 bu4 fen4,7
13142,了 几 分钟,le   ji3   fen1 zhong1,6
14178,几 分,ji3   fen1,6
14301,得 十分,de2   shi2 fen1,6
14309,分钟 他,fen1 zhong1   ta1,6
14313,分钟 左右,fen1 zhong1   zuo3 you4,6
14316,分钟 才,fen1 zhong1   cai2,6
14321,分钟 的 时间,fen1 zhong1   de   shi2 jian1,6
14326,分钟 的,fen1 zhong1   de,6
14492,十五 分钟,shi2 wu3   fen1 zhong1,6
16021,在 老天 的 分儿,zai4   lao3 tian1   de   fen1 er2,6
16022,在 老天 的 分儿 上,zai4   lao3 tian1   de   fen1 er2   shang4,6
16206,看 在 老天 的 分儿 上,kan4   zai4   lao3 tian1   de   fen1 er2   shang4,6
16207,看 在 老天 的 分儿,kan4   zai4   lao3 tian1   de   fen1 er2,6
16547,种 十分,zhong3   shi2 fen1,5
16697,大部分 时间 都,da4 bu4 fen4   shi2 jian1   dou1,5
17723,二十 分钟 后,er4 shi2   fen1 zhong1   hou4,5
18152,一 分 一 秒,yi1   fen1   yi1   miao3,5
18153,一 分 一,yi1   fen1   yi1,5
18272,领先 五十分,ling3 xian1   wu3 shi2 fen1,5
18295,分 一 秒,fen1   yi1   miao3,5
18296,分 一,fen1   yi1,5
18307,分到 了,fen1 dao4   le,5
18615,十 分钟 就,shi2   fen1 zhong1   jiu4,5
18621,十分 坚决,shi2 fen1   jian1 jue2,5
19602,和 分院,he2   fen1 yuan4,5
19604,和 分院 帽,he2   fen1 yuan4   mao4,5
20075,一 种 十分,yi1   zhong3   shi2 fen1,5
