Order Number,Item,Pinyin,Frequency
105,到 了,dao4   le,209
285,不 到,bu4   dao4,113
327,注意 到,zhu4 yi4   dao4,103
606,意识 到,yi4 shi2   dao4,68
631,哈利 感到,ha1 li4   gan3 dao4,66
665,看到 了,kan4 dao4   le,63
751,没 想到,mei2   xiang3 dao4,59
773,他 感到,ta1   gan3 dao4,58
810,到 他,dao4   ta1,56
813,直 到,zhi2   dao4,56
818,哈利 看到,ha1 li4   kan4 dao4,56
1092,感觉 到,gan3 jue2   dao4,46
1233,看到 哈利,kan4 dao4   ha1 li4,42
1391,他 看到,ta1   kan4 dao4,38
1408,到处 都,dao4 chu4   dou1,38
1428,找到 了,zhao3 dao4   le,38
1477,回到 了,hui2 dao4   le,37
1490,来到 了,lai2 dao4   le,37
1509,听到 了,ting1 dao4   le,36
1548,看到 他,kan4 dao4   ta1,35
1636,他们 来到,ta1 men   lai2 dao4,34
1660,到 这里,dao4   zhe4 li3,33
1696,到底 是,dao4 di3   shi4,33
1922,要 到,yao4   dao4,29
2017,到处 都 是,dao4 chu4   dou1   shi4,28
2109,看到 的,kan4 dao4   de,27
2216,到 一,dao4   yi1,26
2306,到 的,dao4   de,26
2318,到 自己,dao4   zi4 ji3,26
2320,感到 自己,gan3 dao4   zi4 ji3,25
2380,没有 注意 到,mei2 you3   zhu4 yi4   dao4,25
2430,得到 了,de2 dao4   le,25
2475,能 看到,neng2   kan4 dao4,24
2548,感到 很,gan3 dao4   hen3,24
2558,找 不 到,zhao3   bu4   dao4,24
2721,碰到 了,peng4 dao4   le,23
2775,又 回到,you4   hui2 dao4,22
2785,受到 了,shou4 dao4   le,22
2851,到 我,dao4   wo3,22
2855,到 现在,dao4   xian4 zai4,22
2932,哈利 注意 到,ha1 li4   zhu4 yi4   dao4,21
2950,到 这里 来,dao4   zhe4 li3   lai2,21
3007,听到 的,ting1 dao4   de,21
3033,见到 你,jian4 dao4   ni3,21
3250,就 到,jiu4   dao4,20
3265,看到 一,kan4 dao4   yi1,19
3293,来到 一,lai2 dao4   yi1,19
3350,拿到 了,na2 dao4   le,19
3483,感到 一,gan3 dao4   yi1,19
3488,感到 非常,gan3 dao4   fei1 chang2,19
3550,我 看到,wo3   kan4 dao4,18
3713,到 他 的,dao4   ta1   de,18
3718,到 这,dao4   zhe4,18
3757,看到 他们,kan4 dao4   ta1 men,17
3761,地 看到,di4   kan4 dao4,17
3853,他 走到,ta1   zou3 dao4,17
3873,能 做到,neng2   zuo4 dao4,17
3891,没有 想到,mei2 you3   xiang3 dao4,17
3893,他 听到,ta1   ting1 dao4,17
4006,会 感到,hui4   gan3 dao4,17
4024,他们 看到,ta1 men   kan4 dao4,17
4334,意识 到 自己,yi4 shi2   dao4   zi4 ji3,16
4370,会 看到,hui4   kan4 dao4,16
4374,得到 的,de2 dao4   de,16
4385,他 来到,ta1   lai2 dao4,15
4568,他 到,ta1   dao4,15
4676,到 它,dao4   ta1,15
4690,到 霍格沃茨,dao4   huo4 ge2 wo4 ci2,15
4729,地 意识 到,di4   yi4 shi2   dao4,15
4740,看到 你,kan4 dao4   ni3,14
4752,一 想到,yi1   xiang3 dao4,14
4765,遇到 了,yu4 dao4   le,14
4805,使 他 感到,shi3   ta1   gan3 dao4,14
4842,能 找到,neng2   zhao3 dao4,14
4875,到 这儿,dao4   zhe4 er2,14
4881,得 到处,de2   dao4 chu4,14
4898,快 到,kuai4   dao4,14
4900,能 得到,neng2   de2 dao4,14
4902,到 他们,dao4   ta1 men,14
4911,到底 是 什么,dao4 di3   shi4   shen2 me,14
4948,弄到 了,nong4 dao4   le,14
4970,回到 他,hui2 dao4   ta1,14
5069,哈利 听到,ha1 li4   ting1 dao4,14
5123,到 这儿 来,dao4   zhe4 er2   lai2,14
5172,你 到底,ni3   dao4 di3,14
5356,被 分到,bei4   fen1 dao4,13
5401,想到 了,xiang3 dao4   le,13
5402,想到 他,xiang3 dao4   ta1,13
5410,感到 一 阵,gan3 dao4   yi1   zhen4,13
5421,我 到,wo3   dao4,13
5481,找到 一,zhao3 dao4   yi1,13
5527,撞到 了,zhuang4 dao4   le,13
5611,来到 外面,lai2 dao4   wai4 mian4,13
5651,哈利 看到 他,ha1 li4   kan4 dao4   ta1,13
5733,他们 走到,ta1 men   zou3 dao4,13
5763,得 到处 都 是,de2   dao4 chu4   dou1   shi4,13
5764,得 到处 都,de2   dao4 chu4   dou1,13
5774,会 受到,hui4   shou4 dao4,13
5815,地 走到,di4   zou3 dao4,12
5952,没有 意识 到,mei2 you3   yi4 shi2   dao4,12
5956,落到 了,luo4 dao4   le,12
5989,到 哪儿,dao4   na3 er2,12
5990,到 她,dao4   ta1,12
6007,感到 有些,gan3 dao4   you3 xie1,12
6180,收到 了,shou1 dao4   le,12
6187,迟到 了,chi2 dao4   le,12
6197,已经 到,yi3 jing1   dao4,12
6226,哈利 回到,ha1 li4   hui2 dao4,12
6274,注意 到 了,zhu4 yi4   dao4   le,12
6320,他们 听到,ta1 men   ting1 dao4,12
6361,不 到 的,bu4   dao4   de,12
6428,看 不 到,kan4   bu4   dao4,12
6547,你 到,ni3   dao4,11
6580,我们 到,wo3 men   dao4,11
6654,能 听到,neng2   ting1 dao4,11
6666,到 一 个,dao4   yi1   ge4,11
6668,到 三,dao4   san1,11
6669,到 什么,dao4   shen2 me,11
6670,到 你,dao4   ni3,11
6671,到 哈利,dao4   ha1 li4,11
6674,到 我们,dao4   wo3 men,11
6676,到 那,dao4   na4,11
6678,到 那里,dao4   na4 li3,11
6680,到处 乱,dao4 chu4   luan4,11
6751,又 回到 了,you4   hui2 dao4   le,11
6776,找到 他,zhao3 dao4   ta1,11
6800,做到 这,zuo4 dao4   zhe4,11
6847,他 回到,ta1   hui2 dao4,11
6922,遭到 了,zao1 dao4   le,11
7168,刚 走到,gang1   zou3 dao4,11
7305,突然 意识 到,tu1 ran2   yi4 shi2   dao4,10
7346,带到 了,dai4 dao4   le,10
7498,到 下面,dao4   xia4 mian4,10
7506,到 地面,dao4   di4 mian4,10
7518,到底 是 怎么,dao4 di3   shi4   zen3 me,10
7539,想到 这,xiang3 dao4   zhe4,10
7541,想到 这里,xiang3 dao4   zhe4 li3,10
7550,感到 他,gan3 dao4   ta1,10
7551,感到 吃惊,gan3 dao4   chi1 jing1,10
7587,我 感到,wo3   gan3 dao4,10
7632,走到 门口,zou3 dao4   men2 kou3,10
7678,抓到 了,zhua1 dao4   le,10
7712,可以 感觉 到,ke3 yi3   gan3 jue2   dao4,10
7713,可以 看到,ke3 yi3   kan4 dao4,10
7821,已经 到 了,yi3 jing1   dao4   le,10
7830,已经 来到,yi3 jing1   lai2 dao4,10
7872,哈利 感到 自己,ha1 li4   gan3 dao4   zi4 ji3,10
7906,没有 收到,mei2 you3   shou1 dao4,10
7970,回到 他 的,hui2 dao4   ta1   de,10
7984,也 感到,ye3   gan3 dao4,10
8034,不 到 他,bu4   dao4   ta1,10
8039,降落 到,jiang4 luo4   dao4,10
8140,看到 那,kan4 dao4   na4,10
8155,地 落到,di4   luo4 dao4,9
8276,来到 门厅,lai2 dao4   men2 ting1,9
8400,而 感到,er2   gan3 dao4,9
8419,遇到 的,yu4 dao4   de,9
8461,开始 感到,kai1 shi3   gan3 dao4,9
8468,里 看到,li3   kan4 dao4,9
8519,见到 他,jian4 dao4   ta1,9
8537,到 哪儿 去,dao4   na3 er2   qu4,9
8541,到 现在 为止,dao4   xian4 zai4   wei2 zhi3,9
8551,到 魔法,dao4   mo2 fa3,9
8554,到底 想,dao4 di3   xiang3,9
8559,到底 是 怎么 回,dao4 di3   shi4   zen3 me   hui2,9
8560,到底 是 怎么 回 事,dao4 di3   shi4   zen3 me   hui2   shi4,9
8580,想到 的,xiang3 dao4   de,9
8695,走到 哪儿,zou3 dao4   na3 er2,9
8696,才 意识 到,cai2   yi4 shi2   dao4,9
8719,找到 的,zhao3 dao4   de,9
8724,把 他 带到,ba3   ta1   dai4 dao4,9
8839,他 得到,ta1   de2 dao4,9
8978,来到 了 一,lai2 dao4   le   yi1,9
8986,他 带到,ta1   dai4 dao4,9
9058,没有 找到,mei2 you3   zhao3 dao4,9
9200,他们 来到 了,ta1 men   lai2 dao4   le,9
9223,里 到处,li3   dao4 chu4,9
9321,地 回到,di4   hui2 dao4,9
9341,看到 哈利 脸上,kan4 dao4   ha1 li4   lian3 shang4,9
9343,看到 罗恩,kan4 dao4   luo2 en1,9
9355,看到 什么,kan4 dao4   shen2 me,8
9357,看到 过,kan4 dao4   guo4,8
9441,你 听到,ni3   ting1 dao4,8
9532,突然 想到,tu1 ran2   xiang3 dao4,8
9612,他 看到 哈利,ta1   kan4 dao4   ha1 li4,8
9634,躲 到,duo3   dao4,8
9687,一直 到,yi4 zhi2   dao4,8
9720,一直 等到,yi4 zhi2   deng3 dao4,8
9771,落到 地上,luo4 dao4   di4 shang4,8
9775,一起 来到,yi4 qi3   lai2 dao4,8
9867,快 到 了,kuai4   dao4   le,8
9878,到 一边,dao4   yi1 bian1,8
9885,到 哪里,dao4   na3 li3,8
9892,到 我 的,dao4   wo3   de,8
9893,到 海格,dao4   hai3 ge2,8
9910,想 不 到,xiang3   bu4   dao4,8
9918,想 得到,xiang3   de2 dao4,8
9937,感到 难过,gan3 dao4   nan2 guo4,8
