Order Number,Item,Pinyin,Frequency
965,刺耳 的,ci4 er3   de,50
5996,刺耳 的 声音,ci4 er3   de   sheng1 yin1,12
7338,寒冷 刺骨,han2 leng3   ci4 gu3,10
7688,尖厉 刺耳,jian1 li4   ci4 er3,10
8761,尖厉 刺耳 的,jian1 li4   ci4 er3   de,9
9462,声 刺耳,sheng1   ci4 er3,8
9467,声 刺耳 的,sheng1   ci4 er3   de,8
11738,刺 得,ci4   de2,7
12688,一 声 刺耳,yi1   sheng1   ci4 er3,7
12739,一 声 刺耳 的,yi1   sheng1   ci4 er3   de,7
13328,一 阵 刺耳,yi1   zhen4   ci4 er3,6
14442,刺骨 的,ci4 gu3   de,6
15817,阵 刺耳,zhen4   ci4 er3,6
16435,一 阵 刺耳 的,yi1   zhen4   ci4 er3   de,5
18169,阵 刺耳 的,zhen4   ci4 er3   de,5
18512,刺激 的,ci4 ji1   de,5
18915,发出 一 声 刺耳 的,fa1 chu1   yi1   sheng1   ci4 er3   de,5
18916,发出 一 声 刺耳,fa1 chu1   yi1   sheng1   ci4 er3,5
