Order Number,Item,Pinyin,Frequency
2620,半 个,ban4   ge4,23
3724,了 一半,le   yi2 ban4,18
3894,半 小时,ban4   xiao3 shi2,17
4332,在 半空,zai4   ban4 kong1,16
5227,了 半,le   ban4,13
5419,半空 中,ban4 kong1   zhong1,13
5648,一半 的,yi2 ban4   de,13
6016,半 个 小时,ban4   ge4   xiao3 shi2,12
6702,半夜 三,ban4 ye4   san1,11
6703,半夜 三 更,ban4 ye4   san1   geng4,11
7009,的 半,de   ban4,11
9201,在 半空 中,zai4   ban4 kong1   zhong1,9
9950,半月形 的,ban4 yue4 xing2   de,8
9963,两 半,liang3   ban4,8
10338,有 一半,you3   yi2 ban4,8
10717,在 半夜,zai4   ban4 ye4,8
11335,走到 一半,zou3 dao4   yi2 ban4,7
12745,的 一半,de   yi2 ban4,7
13578,一半 是,yi2 ban4   shi4,6
14432,悬 在 半空,xuan2   zai4   ban4 kong1,6
14511,半 人,ban4   ren2,6
16433,了 半空,le   ban4 kong1,5
18434,到 一半,dao4   yi2 ban4,5
18638,半夜 里,ban4 ye4   li3,5
18639,半 是,ban4   shi4,5
19716,有 半,you3   ban4,5
20534,在 半夜 三 更,zai4   ban4 ye4   san1   geng4,5
20535,在 半夜 三,zai4   ban4 ye4   san1,5
20543,在 半空中,zai4   ban4 kong1 zhong1,5
21008,了 两 半,le   liang3   ban4,5
