Order Number,Item,Pinyin,Frequency
1011,门厅 里,men2 ting1   li3,49
2236,在 门厅,zai4   men2 ting1,26
2511,的 门厅,de   men2 ting1,24
3661,在 门厅 里,zai4   men2 ting1   li3,18
6326,门厅 的,men2 ting1   de,12
6413,的 门厅 里,de   men2 ting1   li3,12
6546,客厅 里,ke4 ting1   li3,11
8276,来到 门厅,lai2 dao4   men2 ting1,9
8710,了 门厅,le   men2 ting1,9
8808,过 门厅,guo4   men2 ting1,9
9919,客厅 的,ke4 ting1   de,8
10750,在 客厅,zai4   ke4 ting1,8
11222,穿过 门厅,chuan1 guo4   men2 ting1,7
11646,餐厅 里,can1 ting1   li3,7
15296,朝 门厅,chao2   men2 ting1,6
15739,门厅 里 的,men2 ting1   li3   de,6
15888,的 客厅,de   ke4 ting1,6
16739,了 客厅,le   ke4 ting1,5
17429,走 过 门厅,zou3   guo4   men2 ting1,5
17447,走进 门厅,zou3 jin4   men2 ting1,5
17804,通往 门厅 的,tong1 wang3   men2 ting1   de,5
17805,通往 门厅,tong1 wang3   men2 ting1,5
18130,门厅 时,men2 ting1   shi2,5
20594,在 客厅 里,zai4   ke4 ting1   li3,5
