Order Number,Item,Pinyin,Frequency
1186,严厉 地,yan2 li4   di4,43
1838,厉害 了,li4 hai4   le,30
2147,严厉 地 说,yan2 li4   di4   shuo1,27
2453,厉声 说,li4 sheng1   shuo1,24
2748,厉害 的,li4 hai4   de,22
2887,更 厉害,geng4   li4 hai4,21
3278,更 厉害 了,geng4   li4 hai4   le,19
4636,得 更 厉害,de2   geng4   li4 hai4,15
4886,得 更 厉害 了,de2   geng4   li4 hai4   le,14
6491,太 厉害,tai4   li4 hai4,11
6573,尖厉 的,jian1 li4   de,11
7688,尖厉 刺耳,jian1 li4   ci4 er3,10
7818,很 厉害,hen3   li4 hai4,10
8086,得 厉害,de2   li4 hai4,10
8213,太 厉害 了,tai4   li4 hai4   le,9
8761,尖厉 刺耳 的,jian1 li4   ci4 er3   de,9
10000,严厉 的,yan2 li4   de,8
10628,凄厉 的,qi1 li4   de,8
10864,得 太 厉害,de2   tai4   li4 hai4,8
14310,得 太 厉害 了,de2   tai4   li4 hai4   le,6
14350,麦格 教授 严厉 地,mai4 ge2   jiao4 shou4   yan2 li4   di4,6
14352,麦格 教授 严厉,mai4 ge2   jiao4 shou4   yan2 li4,6
14544,厉声 说道,li4 sheng1   shuo1 dao4,6
14548,厉声 问道,li4 sheng1   wen4 dao4,6
14617,严厉 地 问,yan2 li4   di4   wen4,6
14966,教授 严厉,jiao4 shou4   yan2 li4,6
14967,教授 严厉 地,jiao4 shou4   yan2 li4   di4,6
15200,最 厉害,zui4   li4 hai4,6
15202,最 厉害 的,zui4   li4 hai4   de,6
15326,哈利 厉声,ha1 li4   li4 sheng1,6
16906,她 厉声,ta1   li4 sheng1,5
17128,姨父 厉声,yi2 fu4   li4 sheng1,5
17146,要 厉害,yao4   li4 hai4,5
17372,赫敏 严厉 地 说,he4 min3   yan2 li4   di4   shuo1,5
17373,赫敏 严厉 地,he4 min3   yan2 li4   di4,5
17374,赫敏 严厉,he4 min3   yan2 li4,5
17537,尖厉 的 声音,jian1 li4   de   sheng1 yin1,5
18188,很 厉害 的,hen3   li4 hai4   de,5
18695,厉声 吼道,li4 sheng1   hou3 dao4,5
18707,厉害 的 一,li4 hai4   de   yi1,5
19255,教授 厉声,jiao4 shou4   li4 sheng1,5
