Order Number,Item,Pinyin,Frequency
579,压低 声音,ya1 di1   sheng1 yin1,70
2293,压低 声音 说,ya1 di1   sheng1 yin1   shuo1,26
7584,压 得,ya1   de2,10
7842,哈利 压低,ha1 li4   ya1 di1,10
8616,压低 声音 问,ya1 di1   sheng1 yin1   wen4,9
9643,罗恩 压低,luo2 en1   ya1 di1,8
9976,压低 声音 对,ya1 di1   sheng1 yin1   dui4,8
10406,哈利 压低 声音,ha1 li4   ya1 di1   sheng1 yin1,8
11113,罗恩 压低 声音,luo2 en1   ya1 di1   sheng1 yin1,7
11852,压根儿 就,ya4 gen1 er2   jiu4,7
13225,声音 压,sheng1 yin1   ya1,6
13226,声音 压 得,sheng1 yin1   ya1   de2,6
14549,压 在,ya1   zai4,6
14759,把 声音 压,ba3   sheng1 yin1   ya1,6
14760,把 声音 压 得,ba3   sheng1 yin1   ya1   de2,6
14806,他 压低,ta1   ya1 di1,6
18702,压低 了,ya1 di1   le,5
18706,压抑 的,ya1 yi4   de,5
19006,他 压低 声音,ta1   ya1 di1   sheng1 yin1,5
