Order Number,Item,Pinyin,Frequency
2680,原来 是,yuan2 lai2   shi4,23
3065,原来 的,yuan2 lai2   de,21
3077,的 原因,de   yuan2 yin1,21
4094,原原本本 地,yuan2 yuan2 ben3 ben3   di4,16
6341,在 原地,zai4   yuan2 di4,12
6707,请 原谅,qing3   yuan2 liang4,11
8619,原 以为,yuan2   yi3 wei2,9
10083,他 原先,ta1   yuan2 xian1,8
11858,原原本本 地 告诉,yuan2 yuan2 ben3 ben3   di4   gao4 su4,7
11860,原谅 我,yuan2 liang4   wo3,7
14209,待 在 原地,dai4   zai4   yuan2 di4,6
16432,了 原来,le   yuan2 lai2,5
16714,你 原先,ni3   yuan2 xian1,5
17653,事情 原原本本 地,shi4 qing2   yuan2 yuan2 ben3 ben3   di4,5
17658,事情 原原本本,shi4 qing2   yuan2 yuan2 ben3 ben3,5
18652,我 原,wo3   yuan2,5
18718,原先 的,yuan2 xian1   de,5
