Order Number,Item,Pinyin,Frequency
180,去 了,qu4   le,151
473,去 找,qu4   zhao3,81
536,要 去,yao4   qu4,75
558,了 过去,le   guo4 qu4,72
639,了 出去,le   chu1 qu4,65
730,我 去,wo3   qu4,60
777,了 进去,le   jin4 qu4,58
782,不 去,bu4   qu4,57
939,去 看,qu4   kan4,51
1116,你 去,ni3   qu4,45
1137,一起 去,yi4 qi3   qu4,44
1429,了 下去,le   xia4 qu4,38
1508,去 吧,qu4   ba,36
1536,哪儿 去,na3 er2   qu4,36
1553,去 的,qu4   de,35
1583,他 去,ta1   qu4,35
1612,失去 了,shi1 qu4   le,34
1676,他 看上去,ta1   kan4 shang4 qu4,33
1729,走 过去,zou3   guo4 qu4,32
1749,想 去,xiang3   qu4,32
1751,去 拿,qu4   na2,32
1817,里 去,li3   qu4,31
1953,我们 去,wo3 men   qu4,29
2096,哪儿 去 了,na3 er2   qu4   le,28
2167,了 上去,le   shang4 qu4,27
2315,就 去,jiu4   qu4,26
2830,过去 了,guo4 qu4   le,22
2917,我 要 去,wo3   yao4   qu4,21
3047,去 上,qu4   shang4,21
3142,能 去,neng2   qu4,20
3173,去 想,qu4   xiang3,20
3174,去 看看,qu4   kan4 kan4,20
3281,看上去 像,kan4 shang4 qu4   xiang4,19
3349,去 参加,qu4   can1 jia1,19
3366,上 哪儿 去,shang4   na3 er2   qu4,19
3556,去 霍格莫德,qu4   huo4 ge2 mo4 de2,18
3695,再 去,zai4   qu4,18
3702,走去 时,zou3 qu4   shi2,18
3748,去 哪儿,qu4   na3 er2,18
3792,了 回去,le   hui2 qu4,17
3836,走 了 出去,zou3   le   chu1 qu4,17
4030,说 下去,shuo1   xia4 qu4,17
4052,看上去 很,kan4 shang4 qu4   hen3,16
4062,伸手 去,shen1 shou3   qu4,16
4160,着 去,zhe   qu4,16
4322,上 哪儿 去 了,shang4   na3 er2   qu4   le,16
4340,会 去,hui4   qu4,16
4383,进去 了,jin4 qu4   le,15
4384,上去 了,shang4 qu4   le,15
4451,去 过,qu4   guo4,15
4543,去 见,qu4   jian4,15
4654,下去 了,xia4 qu4   le,15
4946,去 呢,qu4   ne,14
5052,过去 的,guo4 qu4   de,14
5198,城堡 走去,cheng2 bao3   zou3 qu4,13
5289,去 问,qu4   wen4,13
5340,没有 去,mei2 you3   qu4,13
5376,出去 了,chu1 qu4   le,13
5399,没 去,mei2   qu4,13
5444,去 买,qu4   mai3,13
5447,去 吃,qu4   chi1,13
5449,去 抓,qu4   zhua1,13
5491,他们 去,ta1 men   qu4,13
5635,死去 的,si3 qu4   de,13
5703,回去 睡觉,hui2 qu4   shui4 jiao4,13
5824,离去 了,li2 qu4   le,12
5878,哈利 去,ha1 li4   qu4,12
5898,去 观看,qu4   guan1 kan4,12
5944,那里 去,na4 li3   qu4,12
5994,它 看上去,ta1   kan4 shang4 qu4,12
6009,医院 去,yi1 yuan4   qu4,12
6043,去 跟,qu4   gen1,12
6205,朝 城堡 走去,chao2   cheng2 bao3   zou3 qu4,12
6245,那儿 去,na4 er2   qu4,12
6390,飞 了 出去,fei1   le   chu1 qu4,12
6560,去 给,qu4   gei3,11
6658,别 去,bie2   qu4,11
6692,人 去,ren2   qu4,11
6729,去 医院,qu4   yi1 yuan4,11
6730,去 吗,qu4   ma,11
6865,是 去,shi4   qu4,11
7032,不 会 去,bu4   hui4   qu4,11
7395,而 去,er2   qu4,10
7432,自己 去,zi4 ji3   qu4,10
7491,必须 去,bi4 xu1   qu4,10
7596,去 图书馆,qu4   tu2 shu1 guan3,10
7599,去 把,qu4   ba3,10
7619,走 了 进去,zou3   le   jin4 qu4,10
7708,可以 去,ke3 yi3   qu4,10
7932,快 去,kuai4   qu4,10
7938,冲 过去,chong1   guo4 qu4,10
7951,不 下去,bu4   xia4 qu4,10
7982,门口 走去,men2 kou3   zou3 qu4,10
8089,得 去,de2   qu4,10
8156,看上去 比,kan4 shang4 qu4   bi3,9
8186,地方 去,di4 fang1   qu4,9
8343,赶 出去,gan3   chu1 qu4,9
8358,头 去,tou2   qu4,9
8537,到 哪儿 去,dao4   na3 er2   qu4,9
8584,宿舍 去,su4 she4   qu4,9
8623,去 伦敦,qu4   lun2 dun1,9
8624,去 做,qu4   zuo4,9
8625,去 叫,qu4   jiao4,9
8629,去 国王,qu4   guo2 wang2,9
8630,去 国王 十字,qu4   guo2 wang2   shi2 zi4,9
8633,去 国王 十字 车站,qu4   guo2 wang2   shi2 zi4   che1 zhan4,9
8637,去 捡,qu4   jian3,9
8640,去 睡觉,qu4   shui4 jiao4,9
8645,去 问问,qu4   wen4 wen4,9
8646,去 霍格沃茨,qu4   huo4 ge2 wo4 ci2,9
8655,不 能 去,bu4   neng2   qu4,9
8668,俯冲 下去,fu3 chong1   xia4 qu4,9
8728,跑 过去,pao3   guo4 qu4,9
8803,摔 下去,shuai1   xia4 qu4,9
9149,回去 了,hui2 qu4   le,9
9307,地 去,di4   qu4,9
9339,看上去 就,kan4 shang4 qu4   jiu4,9
9382,最好 去,zui4 hao3   qu4,8
9787,往前 走去,wang3 qian2   zou3 qu4,8
9882,怎么 去,zen3 me   qu4,8
9958,我 去 找,wo3   qu4   zhao3,8
9983,去 一,qu4   yi1,8
9986,去 寻找,qu4   xun2 zhao3,8
10316,上前 去,shang4 qian2   qu4,8
10444,楼上 去,lou2 shang4   qu4,8
10587,里 去 了,li3   qu4   le,8
10774,不 去 想,bu4   qu4   xiang3,8
10965,不 想 去,bu4   xiang3   qu4,7
11013,礼堂 走去,li3 tang2   zou3 qu4,7
11073,大门 走去,da4 men2   zou3 qu4,7
11164,她 看上去,ta1   kan4 shang4 qu4,7
11169,塔楼 去,ta3 lou2   qu4,7
11326,走 了 过去,zou3   le   guo4 qu4,7
11350,跟 了 过去,gen1   le   guo4 qu4,7
11382,就 去 找,jiu4   qu4   zhao3,7
11457,进去 吧,jin4 qu4   ba,7
11546,冲 了 过去,chong1   le   guo4 qu4,7
11556,里 走来走去,li3   zou3 lai2 zou3 qu4,7
11612,隐去 了,yin3 qu4   le,7
11639,学校 去,xue2 xiao4   qu4,7
11686,它 去,ta1   qu4,7
11693,什么 地方 去,shen2 me   di4 fang1   qu4,7
11761,办公室 去,ban4 gong1 shi4   qu4,7
11867,去 参加 舞会,qu4   can1 jia1   wu3 hui4,7
11870,去 对付,qu4   dui4 fu4,7
11871,去 找 邓布利多,qu4   zhao3   deng4 bu4 li4 duo1,7
11931,手 去,shou3   qu4,7
