Order Number,Item,Pinyin,Frequency
1518,得 及,de2   ji2,36
1544,来 得 及,lai2   de2   ji2,36
1995,不 及,bu4   ji2,29
2336,来 不 及,lai2   bu4   ji2,25
2963,不 及 了,bu4   ji2   le,21
3034,及 了,ji2   le,21
3093,迫不及待 地,po4 bu4 ji2 dai4   di4,20
3317,没 来 得 及,mei2   lai2   de2   ji2,19
3369,来 不 及 了,lai2   bu4   ji2   le,19
5024,还 没 来 得 及,hai2   mei2   lai2   de2   ji2,14
6257,没 来得及,mei2   lai2 de ji2,12
7382,还 没 来得及,hai2   mei2   lai2 de ji2,10
8947,已经 来 不 及,yi3 jing1   lai2   bu4   ji2,9
9710,已经 来 不 及 了,yi3 jing1   lai2   bu4   ji2   le,8
11464,迫不及待 地 想,po4 bu4 ji2 dai4   di4   xiang3,7
14303,得 及 回答,de2   ji2   hui2 da2,6
14703,及 回答,ji2   hui2 da2,6
15325,来 得 及 回答,lai2   de2   ji2   hui2 da2,6
15592,他 迫不及待,ta1   po4 bu4 ji2 dai4,6
15594,他 迫不及待 地,ta1   po4 bu4 ji2 dai4   di4,6
15991,以及 他,yi3 ji2   ta1,6
16938,能 及时,neng2   ji2 shi2,5
17623,还 没 来 得 及 回答,hai2   mei2   lai2   de2   ji2   hui2 da2,5
18875,及 其,ji2   qi2,5
20061,没 来 得 及 回答,mei2   lai2   de2   ji2   hui2 da2,5
20575,在 埃及,zai4   ai1 ji2,5
