Order Number,Item,Pinyin,Frequency
168,一 句,yi1   ju4,159
463,句 话,ju4   hua4,82
682,了 一 句,le   yi1   ju4,62
1208,几 句,ji3   ju4,43
1400,一 句 话,yi1   ju4   hua4,38
2479,说 一 句,shuo1   yi1   ju4,24
2614,说 了 一 句,shuo1   le   yi1   ju4,23
2867,几 句 话,ji3   ju4   hua4,22
4181,说 句,shuo1   ju4,16
4228,了 句,le   ju4,16
4303,说 了 句,shuo1   le   ju4,16
4499,说 几 句,shuo1   ji3   ju4,15
5120,这 句,zhe4   ju4,14
6302,这 句 话,zhe4   ju4   hua4,12
7336,说 句 实话,shuo1   ju4   shi2 hua4,10
7543,说 几 句 话,shuo1   ji3   ju4   hua4,10
7666,句 实话,ju4   shi2 hua4,10
8740,句 什么,ju4   shen2 me,9
9412,了 几 句,le   ji3   ju4,8
10040,一 句 话 也,yi1   ju4   hua4   ye3,8
10087,句 话 也,ju4   hua4   ye3,8
11278,说 一 句 话,shuo1   yi1   ju4   hua4,7
13545,你 一 句,ni3   yi1   ju4,6
14153,重复 了 一 句,chong2 fu4   le   yi1   ju4,6
14185,问 一 句,wen4   yi1   ju4,6
14462,加 了 一 句,jia1   le   yi1   ju4,6
16281,地 说 了 句,di4   shuo1   le   ju4,5
18268,顺便 说 一 句,shun4 bian4   shuo1   yi1   ju4,5
19000,句 咒语,ju4   zhou4 yu3,5
19004,句 话 吗,ju4   hua4   ma,5
19656,最后 一 句,zui4 hou4   yi1   ju4,5
