Order Number,Item,Pinyin,Frequency
13,一 只,yi1   zhi3,553
87,那 只,na4   zhi3,236
170,只 有,zhi3   you3,157
261,两 只,liang3   zhi3,121
297,只 是,zhi3   shi4,110
377,只 手,zhi3   shou3,93
394,只 见,zhi3   jian4,90
464,只 能,zhi3   neng2,82
617,只 猫头鹰,zhi3   mao1 tou2 ying1,67
653,这 只,zhe4   zhi3,64
680,一 只 手,yi1   zhi3   shou3,62
1075,只 有 一,zhi3   you3   yi1,47
1225,他 只,ta1   zhi3,42
1265,只 猫,zhi3   mao1,41
1280,了 一 只,le   yi1   zhi3,41
1362,我 只是,wo3   zhi3 shi4,39
1366,只 想,zhi3   xiang3,39
1423,我 只,wo3   zhi3,38
1426,一 只 猫头鹰,yi1   zhi3   mao1 tou2 ying1,38
1438,只 魔眼,zhi3   mo2 yan3,38
1456,那 只 魔眼,na4   zhi3   mo2 yan3,37
1577,着 一 只,zhe   yi1   zhi3,35
1640,的 一 只,de   yi1   zhi3,34
1727,有 一 只,you3   yi1   zhi3,32
1878,只 大,zhi3   da4,30
1955,的 那 只,de   na4   zhi3,29
2037,只 眼睛,zhi3   yan3 jing1,28
2074,只 是 一,zhi3   shi4   yi1,28
2151,只 剩下,zhi3   sheng4 xia4,27
2201,哈利 只,ha1 li4   zhi3,27
2460,另 一 只,ling4   yi1   zhi3,24
2571,是 一 只,shi4   yi1   zhi3,23
2611,把 一 只,ba3   yi1   zhi3,23
2718,只 有 一 个,zhi3   you3   yi1   ge4,23
2783,他们 只,ta1 men   zhi3,22
2795,我们 只,wo3 men   zhi3,22
2844,他 那 只,ta1   na4   zhi3,22
2977,只 游走,zhi3   you2 zou3,21
2982,他 只是,ta1   zhi3 shi4,21
3102,只 游走 球,zhi3   you2 zou3   qiu2,20
3302,伸出 一 只,shen1 chu1   yi1   zhi3,19
3384,只 胳膊,zhi3   ge1 bo2,19
3611,一 只 大,yi1   zhi3   da4,18
