Order Number,Item,Pinyin,Frequency
759,叫 着,jiao4   zhe,59
1114,尖 叫,jian1   jiao4,45
1684,我 叫,wo3   jiao4,33
2189,叫 了,jiao4   le,27
2222,的 叫声,de   jiao4 sheng1,26
2311,的 尖叫,de   jian1 jiao4,26
2474,尖 叫 着,jian1   jiao4   zhe,24
2647,尖叫 起来,jian1 jiao4   qi3 lai2,23
3197,叫 我,jiao4   wo3,20
3242,地 叫,di4   jiao4,20
3643,叫 他,jiao4   ta1,18
4236,叫 你,jiao4   ni3,16
4242,叫 他们,jiao4   ta1 men,16
4338,的 尖叫声,de   jian1 jiao4 sheng1,16
4779,在 尖叫,zai4   jian1 jiao4,14
5017,叫 一,jiao4   yi1,14
5018,叫 一 声,jiao4   yi1   sheng1,14
5536,叫 什么,jiao4   shen2 me,13
5537,叫 她,jiao4   ta1,13
5539,叫 了 一,jiao4   le   yi1,13
6102,叫 哈利,jiao4   ha1 li4,12
6123,叫 了 一 声,jiao4   le   yi1   sheng1,12
6307,地 尖叫,di4   jian1 jiao4,12
6478,大 叫,da4   jiao4,11
6817,叫 人,jiao4   ren2,11
6849,叫 道,jiao4   dao4,11
7265,失声 尖叫,shi1 sheng1   jian1 jiao4,10
7370,尖叫 棚屋,jian1 jiao4   peng2 wu1,10
7681,他 叫,ta1   jiao4,10
7784,吼叫 信,hou3 jiao4   xin4,10
8008,的 喊叫,de   han3 jiao4,10
8625,去 叫,qu4   jiao4,9
8783,叫 我们,jiao4   wo3 men,9
8786,叫 着 说,jiao4   zhe   shuo1,9
9749,那个 叫,na4 ge   jiao4,8
10144,叫 起来,jiao4   qi3 lai2,8
10996,声 尖叫,sheng1   jian1 jiao4,7
11080,你 叫,ni3   jiao4,7
11828,我 叫 你,wo3   jiao4   ni3,7
12021,个 叫,ge4   jiao4,7
12083,叫 了 起来,jiao4   le   qi3 lai2,7
12085,叫 你们,jiao4   ni3 men,7
12088,叫 得,jiao4   de2,7
12090,叫 它,jiao4   ta1,7
12758,一 声 尖叫,yi1   sheng1   jian1 jiao4,7
13007,地 叫 着,di4   jiao4   zhe,7
13283,大 叫 一 声,da4   jiao4   yi1   sheng1,6
13556,大 叫 一,da4   jiao4   yi1,6
13619,它 叫,ta1   jiao4,6
13784,尖 叫 着 说,jian1   jiao4   zhe   shuo1,6
13794,尖声 叫道,jian1 sheng1   jiao4 dao4,6
13824,就 叫,jiu4   jiao4,6
14085,人 叫,ren2   jiao4,6
14633,又 叫,you4   jiao4,6
14971,教授 叫,jiao4 shou4   jiao4,6
15085,是 叫,shi4   jiao4,6
16143,地 叫 了,di4   jiao4   le,6
16184,地 尖 叫,di4   jian1   jiao4,6
17248,一 个 叫,yi1   ge4   jiao4,5
17419,赫敏尖 叫,he4 min3 jian1   jiao4,5
17531,尖 叫 道,jian1   jiao4   dao4,5
17540,尖声 叫,jian1 sheng1   jiao4,5
17541,尖叫 道,jian1 jiao4   dao4,5
18845,一 本 名叫,yi1   ben3   ming2 jiao4,5
19144,叫 回去,jiao4   hui2 qu4,5
19342,名字 叫,ming2 zi4   jiao4,5
19788,本 名叫,ben3   ming2 jiao4,5
20371,也 叫,ye3   jiao4,5
20629,的 惨叫声,de   can3 jiao4 sheng1,5
20912,地 叫道,di4   jiao4 dao4,5
