Order Number,Item,Pinyin,Frequency
732,向 他,xiang4   ta1,60
838,向 他们,xiang4   ta1 men,55
1772,地 向,di4   xiang4,31
2027,的 方向,de   fang1 xiang4,28
2136,转向 哈利,zhuan3 xiang4   ha1 li4,27
2811,转向 了,zhuan3 xiang4   le,22
2889,向 你,xiang4   ni3,21
3863,要 向,yao4   xiang4,17
4308,向 哈利,xiang4   ha1 li4,16
4310,向 我,xiang4   wo3,16
4413,我 向,wo3   xiang4,15
5109,向 她,xiang4   ta1,14
6140,向 空中,xiang4   kong1 zhong1,12
6345,在 向,zai4   xiang4,12
6810,他 向,ta1   xiang4,11
8172,地 走向,di4   zou3 xiang4,9
8689,又 转向,you4   zhuan3 xiang4,9
8842,个 方向,ge4   fang1 xiang4,9
8858,向 他们 走来,xiang4   ta1 men   zou3 lai2,9
9166,他们 向,ta1 men   xiang4,9
9960,我 向 你,wo3   xiang4   ni3,8
10114,转向 了 哈利,zhuan3 xiang4   le   ha1 li4,8
10241,向 你们,xiang4   ni3 men,8
10413,哈利 向,ha1 li4   xiang4,8
10912,目光 投向,mu4 guang1   tou2 xiang4,8
11065,大步 走向,da4 bu4   zou3 xiang4,7
11368,转向 他,zhuan3 xiang4   ta1,7
11833,我 向 你 保证,wo3   xiang4   ni3   bao3 zheng4,7
12219,向 你 保证,xiang4   ni3   bao3 zheng4,7
12223,向 罗恩,xiang4   luo2 en1,7
12613,他 转向,ta1   zhuan3 xiang4,7
13106,眼睛 转向,yan3 jing1   zhuan3 xiang4,6
13413,罗恩 向,luo2 en1   xiang4,6
14078,都 向,dou1   xiang4,6
14094,人 向,ren2   xiang4,6
14490,我 一向,wo3   yi2 xiang4,6
14793,把 目光 投向,ba3   mu4 guang1   tou2 xiang4,6
15047,向 伏地魔,xiang4   fu2 di4 mo2,6
15054,向 海格,xiang4   hai3 ge2,6
16024,的 眼睛 转向,de   yan3 jing1   zhuan3 xiang4,6
16683,大步 向,da4 bu4   xiang4,5
16737,你 向,ni3   xiang4,5
18019,开始 向,kai1 shi3   xiang4,5
18328,魔杖 指向,mo2 zhang4   zhi3 xiang4,5
18525,想 向,xiang3   xiang4,5
18858,又 转向 哈利,you4   zhuan3 xiang4   ha1 li4,5
19315,方向 走去,fang1 xiang4   zou3 qu4,5
19382,向 右 一,xiang4   you4   yi1,5
19383,向 后,xiang4   hou4,5
19384,向 右,xiang4   you4,5
19386,向前 走,xiang4 qian2   zou3,5
19387,向前 跨,xiang4 qian2   kua4,5
19388,向前 走去,xiang4 qian2   zou3 qu4,5
19389,向 门口,xiang4   men2 kou3,5
19390,向 那,xiang4   na4,5
19394,向前 跨 了,xiang4 qian2   kua4   le,5
20198,游走球 击向,you2 zou3 qiu2   ji1 xiang4,5
20914,地 向 他们,di4   xiang4   ta1 men,5
