Order Number,Item,Pinyin,Frequency
1285,呆呆 地,dai1 dai1   di4,41
5748,呆呆 地 望,dai1 dai1   di4   wang4,13
6879,呆呆 地 望 着,dai1 dai1   di4   wang4   zhe,11
7519,惊呆 了,jing1 dai1   le,10
7785,呆住 了,dai1 zhu4   le,10
8124,目瞪口呆 地,mu4 deng4 kou3 dai1   di4,10
12561,哈利 目瞪口呆,ha1 li4   mu4 deng4 kou3 dai1,7
15122,呆呆 地 瞪着,dai1 dai1   di4   deng4 zhe,6
15125,呆滞 的,dai1 zhi4   de,6
19510,呆呆地 望 着,dai1 dai1 di4   wang4   zhe,5
19511,呆呆地 望,dai1 dai1 di4   wang4,5
20081,哈利 目瞪口呆 地,ha1 li4   mu4 deng4 kou3 dai1   di4,5
