Order Number,Item,Pinyin,Frequency
770,意味 着,yi4 wei4   zhe,58
3397,的 气味,de   qi4 wei4,19
4294,就 意味,jiu4   yi4 wei4,16
4296,就 意味 着,jiu4   yi4 wei4   zhe,16
4502,这 意味,zhe4   yi4 wei4,15
4615,这 意味 着,zhe4   yi4 wei4   zhe,15
6597,这 就 意味 着,zhe4   jiu4   yi4 wei4   zhe,11
6687,意味 着 什么,yi4 wei4   zhe   shen2 me,11
6864,这 就 意味,zhe4   jiu4   yi4 wei4,11
7110,的 滋味,de   zi1 wei4,11
7547,意味 深长,yi4 wei4   shen1 chang2,10
11773,意味 着 他,yi4 wei4   zhe   ta1,7
14471,意味 深长 地,yi4 wei4   shen1 chang2   di4,6
15829,的 味道,de   wei4 dao4,6
18991,口味 的,kou3 wei4   de,5
