Order Number,Item,Pinyin,Frequency
1370,气呼呼 地,qi4 hu1 hu1   di4,39
2068,呼神 护卫,hu1 shen2   hu4 wei4,28
3255,呼呼 地,hu1 hu1   di4,20
3459,屏住 呼吸,bing3 zhu4   hu1 xi1,19
3570,气呼呼 地 说,qi4 hu1 hu1   di4   shuo1,18
4361,呼哧 呼哧,hu1 chi1   hu1 chi1,16
5129,的 呼吸,de   hu1 xi1,14
6376,的 欢呼声,de   huan1 hu1 sheng1,12
8705,打 招呼,da3   zhao1 hu1,9
8896,呼哧 地,hu1 chi1   di4,9
9295,呼哧 呼哧 地,hu1 chi1   hu1 chi1   di4,9
9679,罗恩气 呼呼,luo2 en1 qi4   hu1 hu1,8
9680,罗恩气 呼呼 地,luo2 en1 qi4   hu1 hu1   di4,8
10456,欢呼 喝彩,huan1 hu1   he4 cai3,8
10795,的 欢呼,de   huan1 hu1,8
12298,呼吸 急促,hu1 xi1   ji2 cu4,7
12300,呼呼 地 说,hu1 hu1   di4   shuo1,7
13248,了 呼吸,le   hu1 xi1,6
15154,呼噜呼噜 的,hu1 lu1 hu1 lu1   de,6
15442,哈利 气呼呼,ha1 li4   qi4 hu1 hu1,6
15445,哈利 气呼呼 地,ha1 li4   qi4 hu1 hu1   di4,6
16857,罗恩气 呼呼 地 说,luo2 en1 qi4   hu1 hu1   di4   shuo1,5
17389,赫敏 屏住 呼吸,he4 min3   bing3 zhu4   hu1 xi1,5
18385,鼓掌 欢呼,gu3 zhang3   huan1 hu1,5
19109,他 呼吸,ta1   hu1 xi1,5
19563,呼哧 呼哧 的,hu1 chi1   hu1 chi1   de,5
19565,呼哧 的,hu1 chi1   de,5
19734,他 的 呼吸,ta1   de   hu1 xi1,5
20014,气呼呼 地 瞪,qi4 hu1 hu1   di4   deng4,5
