Order Number,Item,Pinyin,Frequency
7380,奖品 陈列室,jiang3 pin3   chen2 lie4 shi4,10
8795,麻瓜 物品,ma2 gua1   wu4 pin3,9
9402,禁止 滥用 麻瓜 物品 办公室,jin4 zhi3   lan4 yong4   ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
9505,禁止 滥用 麻瓜 物品,jin4 zhi3   lan4 yong4   ma2 gua1   wu4 pin3,8
10576,滥用 麻瓜 物品 办公室,lan4 yong4   ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
10577,滥用 麻瓜 物品,lan4 yong4   ma2 gua1   wu4 pin3,8
10607,物品 办公室,wu4 pin3   ban4 gong1 shi4,8
10926,麻瓜 物品 办公室,ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
16722,精品 店,jing1 pin3   dian4,5
18320,魁地奇 精品 店,kui2 di4 qi2   jing1 pin3   dian4,5
18321,魁地奇 精品,kui2 di4 qi2   jing1 pin3,5
