Order Number,Item,Pinyin,Frequency
2265,嘶哑 地,si1 ya3   di4,26
2878,嘶哑 地 说,si1 ya3   di4   shuo1,21
4420,声音 嘶哑,sheng1 yin1   si1 ya3,15
5058,声音 嘶哑 地,sheng1 yin1   si1 ya3   di4,14
5238,声音 嘶哑 地 说,sheng1 yin1   si1 ya3   di4   shuo1,13
7412,沙哑 的,sha1 ya3   de,10
9486,声音 粗哑 地,sheng1 yin1   cu1 ya3   di4,8
9488,声音 粗哑,sheng1 yin1   cu1 ya3,8
9583,粗哑 地,cu1 ya3   di4,8
10494,沙哑 的 声音,sha1 ya3   de   sheng1 yin1,8
13246,声音 粗哑 地 说,sheng1 yin1   cu1 ya3   di4   shuo1,6
13354,粗哑 地 说,cu1 ya3   di4   shuo1,6
14817,个 哑炮,ge4   ya3 pao4,6
14890,他 嘶哑,ta1   si1 ya3,6
15058,是 个 哑炮,shi4   ge4   ya3 pao4,6
15675,嘶哑 着,si1 ya3   zhe,6
20349,嘶哑 着 声音,si1 ya3   zhe   sheng1 yin1,5
