Order Number,Item,Pinyin,Frequency
349,嘴 里,zui3   li3,99
1763,的 嘴,de   zui3,32
2575,了 嘴巴,le   zui3 ba1,23
2634,的 嘴巴,de   zui3 ba1,23
3247,的 嘴唇,de   zui3 chun2,20
3872,着 嘴,zhe   zui3,17
3905,嘴 笑,zui3   xiao4,17
4458,张大 了 嘴巴,zhang1 da4   le   zui3 ba1,15
4528,咧嘴 笑,lie3 zui3   xiao4,15
4938,咧开 嘴,lie3 kai1   zui3,14
5221,咧嘴 一,lie3 zui3   yi1,13
5222,咧开 嘴 笑,lie3 kai1   zui3   xiao4,13
5422,咧嘴 一 笑,lie3 zui3   yi1   xiao4,13
5540,他 嘴里,ta1   zui3 li3,13
5695,嘴 笑 了,zui3   xiao4   le,13
5863,了 嘴,le   zui3,12
6200,咧嘴 笑 着,lie3 zui3   xiao4   zhe,12
6201,咧开 嘴 笑 了,lie3 kai1   zui3   xiao4   le,12
6749,嘴巴 张,zui3 ba1   zhang1,11
6952,哈利 咧嘴,ha1 li4   lie3 zui3,11
8009,的 嘴 里,de   zui3   li3,10
8185,着 嘴巴,zhe   zui3 ba1,9
8825,捂住 嘴巴,wu3 zhu4   zui3 ba1,9
9129,嘴 里 叼,zui3   li3   diao1,9
9130,嘴 里 叼 着,zui3   li3   diao1   zhe,9
9364,着 嘴唇,zhe   zui3 chun2,8
10063,把 嘴,ba3   zui3,8
10128,他 咧嘴,ta1   lie3 zui3,8
10571,哈利嘴 里,ha1 li4 zui3   li3,8
10635,嘴巴 张 得,zui3 ba1   zhang1   de2,8
10655,张开 嘴巴,zhang1 kai1   zui3 ba1,8
10915,地 张大 了 嘴巴,di4   zhang1 da4   le   zui3 ba1,8
11758,从 他 嘴里,cong2   ta1   zui3 li3,7
12163,吃惊 地 张大 了 嘴巴,chi1 jing1   di4   zhang1 da4   le   zui3 ba1,7
12465,哈利 咧嘴 笑,ha1 li4   lie3 zui3   xiao4,7
15260,咬 着 嘴唇,yao3   zhe   zui3 chun2,6
15665,嘴 里 叼 着 一,zui3   li3   diao1   zhe   yi1,6
15666,嘴 里 的,zui3   li3   de,6
15668,嘴巴 张 得 大大,zui3 ba1   zhang1   de2   da4 da4,6
15669,嘴巴 张 得 大大 的,zui3 ba1   zhang1   de2   da4 da4   de,6
15672,嘴里 发出,zui3 li3   fa1 chu1,6
16445,塞进 嘴里,sai1 jin4   zui3 li3,5
16781,了 张嘴,le   zhang1 zui3,5
17329,说漏 了 嘴,shuo1 lou4   le   zui3,5
18084,张 嘴,zhang1   zui3,5
18086,张 了 张嘴,zhang1   le   zhang1 zui3,5
18101,张 着 嘴巴,zhang1   zhe   zui3 ba1,5
18857,手 捂住 嘴巴,shou3   wu3 zhu4   zui3 ba1,5
18966,把 嘴巴,ba3   zui3 ba1,5
19738,他 的 嘴,ta1   de   zui3,5
19870,哈利 咧嘴 笑 着,ha1 li4   lie3 zui3   xiao4   zhe,5
20330,嘴 角,zui3   jiao3,5
20340,嘴唇 颤抖,zui3 chun2   chan4 dou3,5
20565,在 嘴,zai4   zui3,5
