Order Number,Item,Pinyin,Frequency
2484,国王 十字,guo2 wang2   shi2 zi4,24
2533,国王 十字 车站,guo2 wang2   shi2 zi4   che1 zhan4,24
6321,国际 魔法,guo2 ji4   mo2 fa3,12
7665,国际 巫师,guo2 ji4   wu1 shi1,10
8629,去 国王,qu4   guo2 wang2,9
8630,去 国王 十字,qu4   guo2 wang2   shi2 zi4,9
8633,去 国王 十字 车站,qu4   guo2 wang2   shi2 zi4   che1 zhan4,9
9170,国际 巫师 联合会,guo2 ji4   wu1 shi1   lian2 he2 hui4,9
10680,国际 魔法 合作司,guo2 ji4   mo2 fa3   he2 zuo4 si1,8
15842,的 国际,de   guo2 ji4,6
19548,是 英国,shi4   ying1 guo2,5
20433,国王 十字 车站 的,guo2 wang2   shi2 zi4   che1 zhan4   de,5
