Order Number,Item,Pinyin,Frequency
92,坐 在,zuo4   zai4,223
532,坐 了,zuo4   le,75
974,坐 了 下来,zuo4   le   xia4 lai2,50
1769,坐 下来,zuo4   xia4 lai2,31
1796,坐 着,zuo4   zhe,31
2117,坐 在 那里,zuo4   zai4   na4 li3,27
3022,地 坐,di4   zuo4,21
3279,坐 在 一,zuo4   zai4   yi1,19
3280,坐下 吧,zuo4 xia4   ba,19
3337,坐 了 起来,zuo4   le   qi3 lai2,19
3923,一 屁股 坐,yi1   pi4 gu3   zuo4,17
4038,屁股 坐,pi4 gu3   zuo4,17
4373,哈利 坐,ha1 li4   zuo4,16
4591,一 屁股 坐 在,yi1   pi4 gu3   zuo4   zai4,15
4720,屁股 坐 在,pi4 gu3   zuo4   zai4,15
5772,地 坐 在,di4   zuo4   zai4,13
6109,他 坐,ta1   zuo4,12
6144,他 坐在,ta1   zuo4 zai4,12
6192,就 坐,jiu4   zuo4,12
6481,坐 在一起,zuo4   zai4 yi4 qi3,11
6733,赫敏 坐,he4 min3   zuo4,11
6921,就 坐 在,jiu4   zuo4   zai4,11
7237,坐 在 他,zuo4   zai4   ta1,10
8991,哈利 坐 了,ha1 li4   zuo4   le,9
9175,他们 坐,ta1 men   zuo4,9
9418,坐 起来,zuo4   qi3 lai2,8
9420,坐满 了,zuo4 man3   le,8
10064,上 坐下,shang4   zuo4 xia4,8
10509,都 坐,dou1   zuo4,8
11049,坐 着 一,zuo4   zhe   yi1,7
11051,坐在 了,zuo4 zai4   le,7
11541,人 坐,ren2   zuo4,7
12016,上 坐,shang4   zuo4,7
12608,海格 坐,hai3 ge2   zuo4,7
13153,坐 在 那儿,zuo4   zai4   na4 er2,6
13154,坐 的,zuo4   de,6
13159,坐下 后,zuo4 xia4   hou4,6
13161,坐下 时,zuo4 xia4   shi2,6
14122,人 坐 在,ren2   zuo4   zai4,6
14134,一起 坐,yi4 qi3   zuo4,6
14588,赫敏 坐 在,he4 min3   zuo4   zai4,6
15751,他们 坐 在,ta1 men   zuo4   zai4,6
16178,地 坐 着,di4   zuo4   zhe,6
16361,坐 在 这里,zuo4   zai4   zhe4 li3,5
16362,坐 在 哈利,zuo4   zai4   ha1 li4,5
16363,坐 在 一 张,zuo4   zai4   yi1   zhang1,5
16364,坐 在 一 个,zuo4   zai4   yi1   ge4,5
16373,坐 着 一 个,zuo4   zhe   yi1   ge4,5
16380,坐满 了 人,zuo4 man3   le   ren2,5
16381,坐在 桌子,zuo4 zai4   zhuo1 zi,5
17793,已经 坐,yi3 jing1   zuo4,5
18151,一起 坐 在,yi4 qi3   zuo4   zai4,5
18869,个 人 坐,ge4   ren2   zuo4,5
18877,个 人 坐 在,ge4   ren2   zuo4   zai4,5
19262,教授 坐 在,jiao4 shou4   zuo4   zai4,5
19263,教授 坐,jiao4 shou4   zuo4,5
19317,旁 坐下,pang2   zuo4 xia4,5
19884,哈利 坐 了 下来,ha1 li4   zuo4   le   xia4 lai2,5
20164,海格 坐 在,hai3 ge2   zuo4   zai4,5
20213,哈利坐 在 那里,ha1 li4 zuo4   zai4   na4 li3,5
20219,哈利坐 在,ha1 li4 zuo4   zai4,5
