Order Number,Item,Pinyin,Frequency
233,一 块,yi1   kuai4,130
2056,那 块,na4   kuai4,28
2703,大 块,da4   kuai4,23
3215,一 大 块,yi1   da4   kuai4,20
4088,的 一 块,de   yi1   kuai4,16
4741,着 一 块,zhe   yi1   kuai4,14
6392,了 一 块,le   yi1   kuai4,12
6483,块 巧克力,kuai4   qiao3 ke4 li4,11
7245,块 石头,kuai4   shi2 tou,10
9530,大 块头,da4   kuai4 tou2,8
9657,像 一 块,xiang4   yi1   kuai4,8
10220,掏出 一 块,tao1 chu1   yi1   kuai4,8
10333,有 一 块,you3   yi1   kuai4,8
11158,一 小 块,yi1   xiao3   kuai4,7
11591,几 块,ji3   kuai4,7
11948,小 块,xiao3   kuai4,7
12992,的 那 块,de   na4   kuai4,7
13164,块 地方,kuai4   di4 fang1,6
14001,巴波 块茎,ba1 bo1   kuai4 jing1,6
15850,的 块头,de   kuai4 tou2,6
16385,块 巨大 的,kuai4   ju4 da4   de,5
16386,块 巨大,kuai4   ju4 da4,5
16387,块 松动 的,kuai4   song1 dong4   de,5
16389,块 松动 的 地板,kuai4   song1 dong4   de   di4 ban3,5
16390,块 松动,kuai4   song1 dong4,5
16391,块 大,kuai4   da4,5
16394,块茎 的,kuai4 jing1   de,5
19096,个 大 块头,ge4   da4   kuai4 tou2,5
19274,吃 一 块,chi1   yi1   kuai4,5
20076,一 块 巧克力,yi1   kuai4   qiao3 ke4 li4,5
20132,一 块 巨大 的,yi1   kuai4   ju4 da4   de,5
20133,一 块 巨大,yi1   kuai4   ju4 da4,5
20191,一 块 石头,yi1   kuai4   shi2 tou,5
20802,了 一 大 块,le   yi1   da4   kuai4,5
