Order Number,Item,Pinyin,Frequency
1367,城堡 里,cheng2 bao3   li3,39
1378,城堡 的,cheng2 bao3   de,38
2237,在 城堡,zai4   cheng2 bao3,26
4238,朝 城堡,chao2   cheng2 bao3,16
4274,返回 城堡,fan3 hui2   cheng2 bao3,16
5137,在 城堡 里,zai4   cheng2 bao3   li3,14
5198,城堡 走去,cheng2 bao3   zou3 qu4,13
5255,了 城堡,le   cheng2 bao3,13
6205,朝 城堡 走去,chao2   cheng2 bao3   zou3 qu4,12
8180,离开 城堡,li2 kai1   cheng2 bao3,9
9203,的 城堡,de   cheng2 bao3,9
9428,城堡 里 的,cheng2 bao3   li3   de,8
11337,走回 城堡,zou3 hui2   cheng2 bao3,7
12719,回 城堡,hui2   cheng2 bao3,7
13173,城堡 大门,cheng2 bao3   da4 men2,6
13174,城堡 时,cheng2 bao3   shi2,6
16405,城堡 去,cheng2 bao3   qu4,5
17992,座 城堡,zuo4   cheng2 bao3,5
18212,霍格沃茨 城堡,huo4 ge2 wo4 ci2   cheng2 bao3,5
18613,从 城堡,cong2   cheng2 bao3,5
