Order Number,Item,Pinyin,Frequency
376,墙 上,qiang2   shang4,93
2478,在 墙,zai4   qiang2,24
2528,的 墙壁,de   qiang2 bi4,24
3314,在 墙 上,zai4   qiang2   shang4,19
4035,的 墙,de   qiang2,17
4223,墙 上 的,qiang2   shang4   de,16
5135,的 墙 上,de   qiang2   shang4,14
5844,墙 边,qiang2   bian1,12
7131,的 隔墙,de   ge2 qiang2,11
9455,墙壁 上,qiang2 bi4   shang4,8
13202,墙壁 和,qiang2 bi4   he2,6
13204,墙角 的,qiang2 jiao3   de,6
13396,墙 上 挂,qiang2   shang4   gua4,6
14147,一 个 墙角,yi1   ge4   qiang2 jiao3,6
14262,靠 在 墙,kao4   zai4   qiang2,6
14484,从 墙,cong2   qiang2,6
14838,个 墙角,ge4   qiang2 jiao3,6
15854,的 墙壁 上,de   qiang2 bi4   shang4,6
16444,墙 上 挂 着,qiang2   shang4   gua4   zhe,5
16650,站台 之间 的 隔墙,zhan4 tai2   zhi1 jian1   de   ge2 qiang2,5
16663,第10 站台 之间 的 隔墙,di4 10  zhan4 tai2   zhi1 jian1   de   ge2 qiang2,5
18183,隔墙 走去,ge2 qiang2   zou3 qu4,5
18241,靠 在 墙 上,kao4   zai4   qiang2   shang4,5
18612,从 墙 上,cong2   qiang2   shang4,5
19367,后面 的 墙 上,hou4 mian4   de   qiang2   shang4,5
19368,后面 的 墙,hou4 mian4   de   qiang2,5
19660,和 第10 站台 之间 的 隔墙,he2   di4 10  zhan4 tai2   zhi1 jian1   de   ge2 qiang2,5
20188,之间 的 隔墙,zhi1 jian1   de   ge2 qiang2,5
