Order Number,Item,Pinyin,Frequency
10,的 声音,de   sheng1 yin1,596
32,一 声,yi1   sheng1,422
215,声音 说,sheng1 yin1   shuo1,136
330,了 一 声,le   yi1   sheng1,102
342,小声 说,xiao3 sheng1   shuo1,100
460,的 声音 说,de   sheng1 yin1   shuo1,82
579,压低 声音,ya1 di1   sheng1 yin1,70
585,的 一 声,de   yi1   sheng1,70
655,大声 说,da4 sheng1   shuo1,64
710,个 声音,ge4   sheng1 yin1,61
797,低声 说,di1 sheng1   shuo1,57
800,轻声 说,qing1 sheng1   shuo1,57
907,发出 一 声,fa1 chu1   yi1   sheng1,52
1024,他 的 声音,ta1   de   sheng1 yin1,48
1122,的 脚步声,de   jiao3 bu4 sheng1,45
1170,声音 在,sheng1 yin1   zai4,44
1397,哈利 小声,ha1 li4   xiao3 sheng1,38
1726,一 个 声音,yi1   ge4   sheng1 yin1,32
1935,声音 说道,sheng1 yin1   shuo1 dao4,29
2005,的 声音 在,de   sheng1 yin1   zai4,29
2013,赫敏 小声,he4 min3   xiao3 sheng1,28
2170,小声 问,xiao3 sheng1   wen4,27
2222,的 叫声,de   jiao4 sheng1,26
2231,声音 里,sheng1 yin1   li3,26
2293,压低 声音 说,ya1 di1   sheng1 yin1   shuo1,26
2453,厉声 说,li4 sheng1   shuo1,24
2675,他 轻声,ta1   qing1 sheng1,23
2686,声音 很,sheng1 yin1   hen3,23
2837,地 小声,di4   xiao3 sheng1,22
2898,声音 问,sheng1 yin1   wen4,21
2909,哈利 大声,ha1 li4   da4 sheng1,21
2913,粗声粗气 地,cu1 sheng1 cu1 qi4   di4,21
2934,他 小声,ta1   xiao3 sheng1,21
3019,的 笑声,de   xiao4 sheng1,21
3115,哈利 低声,ha1 li4   di1 sheng1,20
3167,哼 了 一 声,heng1   le   yi1   sheng1,20
3319,大声 说道,da4 sheng1   shuo1 dao4,19
3353,的 说话声,de   shuo1 hua4 sheng1,19
3540,那 个 声音,na4   ge4   sheng1 yin1,18
3554,赫敏 小声 说,he4 min3   xiao3 sheng1   shuo1,18
3649,喊 一 声,han3   yi1   sheng1,18
3803,大声 喊道,da4 sheng1   han3 dao4,17
3858,这 声音,zhe4   sheng1 yin1,17
3911,他 低声,ta1   di1 sheng1,17
3927,他 大声,ta1   da4 sheng1,17
3953,的 声音 说道,de   sheng1 yin1   shuo1 dao4,17
4026,吼 一 声,hou3   yi1   sheng1,17
4055,传来 一 声,chuan2 lai2   yi1   sheng1,16
4104,那 声音,na4   sheng1 yin1,16
4202,粗声粗气 地 说,cu1 sheng1 cu1 qi4   di4   shuo1,16
4290,哈利 小声 说,ha1 li4   xiao3 sheng1   shuo1,16
4298,地 小声 说,di4   xiao3 sheng1   shuo1,16
4338,的 尖叫声,de   jian1 jiao4 sheng1,16
4390,小声 地,xiao3 sheng1   di4,15
4416,声音 从,sheng1 yin1   cong2,15
4417,声音 又,sheng1 yin1   you4,15
4420,声音 嘶哑,sheng1 yin1   si1 ya3,15
4423,砰 的 一 声,peng1   de   yi1   sheng1,15
4574,尖声 说,jian1 sheng1   shuo1,15
4607,无声 地,wu2 sheng1   di4,15
