Order Number,Item,Pinyin,Frequency
968,外面 的,wai4 mian4   de,50
1183,窗 外,chuang1   wai4,43
1624,另外 一,ling4 wai4   yi1,34
1673,在 外面,zai4   wai4 mian4,33
2126,外 的,wai4   de,27
2916,门 外,men2   wai4,21
4194,着 窗 外,zhe   chuang1   wai4,16
5500,另外 的,ling4 wai4   de,13
5611,来到 外面,lai2 dao4   wai4 mian4,13
6466,在 外面 的,zai4   wai4 mian4   de,11
6533,窗 外 的,chuang1   wai4   de,11
6797,另外 一 个,ling4 wai4   yi1   ge4,11
6798,另外 两,ling4 wai4   liang3,11
7675,另外 几,ling4 wai4   ji3,10
7819,在 外,zai4   wai4,10
8746,另外 两 个,ling4 wai4   liang3   ge4,9
8870,是 另外,shi4   ling4 wai4,9
8871,是 另外 一,shi4   ling4 wai4   yi1,9
8958,望 着 窗 外,wang4   zhe   chuang1   wai4,9
11020,外面 的 场地,wai4 mian4   de   chang3 di4,7
11225,了 外面,le   wai4 mian4,7
11772,意外 事故,yi4 wai4   shi4 gu4,7
11775,意外 的,yi4 wai4   de,7
12036,另外 一 个 人,ling4 wai4   yi1   ge4   ren2,7
12885,在 校外,zai4   xiao4 wai4,7
13255,外面 的 场地 上,wai4 mian4   de   chang3 di4   shang4,6
14822,另外 还,ling4 wai4   hai2,6
14823,另外 还 有,ling4 wai4   hai2   you3,6
15166,显得 格外,xian3 de   ge2 wai4,6
15338,来到 外面 的,lai2 dao4   wai4 mian4   de,6
15362,校外 使用 魔法,xiao4 wai4   shi3 yong4   mo2 fa3,6
15363,校外 使用,xiao4 wai4   shi3 yong4,6
15960,在 校外 使用,zai4   xiao4 wai4   shi3 yong4,6
15961,在 校外 使用 魔法,zai4   xiao4 wai4   shi3 yong4   mo2 fa3,6
15995,以外 的,yi3 wai4   de,6
16464,了 另外,le   ling4 wai4,5
16470,了 另外 一,le   ling4 wai4   yi1,5
16521,外 有,wai4   you3,5
16528,外面 漆黑,wai4 mian4   qi1 hei1,5
16531,外边 的,wai4 bian1   de,5
17442,走到 外面,zou3 dao4   wai4 mian4,5
18126,门 外 的,men2   wai4   de,5
18271,额外 的,e2 wai4   de,5
19020,另外 三,ling4 wai4   san1,5
19022,另外 两 个 人,ling4 wai4   liang3   ge4   ren2,5
19027,另外 几 个,ling4 wai4   ji3   ge4,5
19715,有 另外,you3   ling4 wai4,5
19955,此外 还,ci3 wai4   hai2,5
20515,的 另外,de   ling4 wai4,5
20635,在 户外,zai4   hu4 wai4,5
20850,在 门外,zai4   men2 wai4,5
