Order Number,Item,Pinyin,Frequency
1521,不 够,bu4   gou4,36
1984,够 了,gou4   le,29
5877,够 不,gou4   bu4,12
6524,够 多,gou4   duo1,11
6838,还 不 够,hai2   bu4   gou4,11
7824,已经 够,yi3 jing1   gou4,10
8730,受够 了,shou4 gou4   le,9
11029,够 不 着,gou4   bu4   zhe,7
11603,人 能够,ren2   neng2 gou4,7
12962,得 够呛,de2   gou4 qiang4,7
13281,够 多 的,gou4   duo1   de,6
14523,我 受够,wo3   shou4 gou4,6
14524,我 受够 了,wo3   shou4 gou4   le,6
16588,够 多 的 了,gou4   duo1   de   le,5
17062,你 能够,ni3   neng2 gou4,5
17603,就 够,jiu4   gou4,5
18301,得 够,de2   gou4,5
20044,他 能够,ta1   neng2 gou4,5
21058,真 够,zhen1   gou4,5
